"source","relation","target","raw_label","existing_clean_edges","legacy_path","proposed_action","proposed_target","proposed_relation","proposal_confidence","reviewer_note"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","bauteiltyp/Fliese","Dachziegel / roof tiles / vingetegl","belongs_to_fallstudie->fallstudie/Svanen_Kindergarten_Gladsaxe; belongs_to_projekt->projekt/Svanen_Kindergarten_Gladsaxe; has_bauteiltyp->bauteiltyp/Dach; has_huerde->huerde/Bruch_Beschaedigungsrisiko; has_huerde->huerde/Materialqualitaet_Unklar; installed_in_bauobjekt->bauobjekt/Svanen_Kindergarten_Gladsaxe; uses_material->material/Keramik; uses_material->material/Ziegel","Gebäude\Svanen_Kindergarten_Gladsaxe.md","candidate_split","bauteiltyp/Dach; material/Ziegel","has_bauteiltyp; uses_material","REVIEW","Roof tile belongs to roof context and brick/clay material; not generic tile."
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","has_bauteiltyp","bauteiltyp/Fliese","Teppichfliesen","belongs_to_fallstudie->fallstudie/Brighton_Waste_House_Brighton; belongs_to_projekt->projekt/Brighton_Waste_House_Brighton; has_huerde->huerde/Unkonventionelles_Material; installed_in_bauobjekt->bauobjekt/Brighton_Waste_House_Brighton; uses_material->material/Kunststoff; uses_material->material/Textil","Gebäude\Brighton_Waste_House_Brighton.md","candidate_split","bauteiltyp/Boden; material/Textil","has_bauteiltyp; uses_material","REVIEW","Carpet/textile tile is floor finish plus textile material, not generic Fliese."
"reuse_einsatz/Ferme_du_Rail_Paris__008__textile_rezyklierte_Fasern","has_bauteiltyp","bauteiltyp/Fliese","textile / rezyklierte Fasern","belongs_to_fallstudie->fallstudie/Ferme_du_Rail_Paris; belongs_to_projekt->projekt/Ferme_du_Rail_Paris; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Recycling_Nicht_Direct_Reuse; has_huerde->huerde/Materialqualitaet_Unklar; installed_in_bauobjekt->bauobjekt/Ferme_du_Rail_Paris","Gebäude\Ferme_du_Rail_Paris.md","candidate_split","bauteiltyp/Boden; material/Textil","has_bauteiltyp; uses_material","REVIEW","Carpet/textile tile is floor finish plus textile material, not generic Fliese."
"reuse_einsatz/Verbiest_Karreveld_Brussels__006__Verbiest_Dachfliesen","has_bauteiltyp","bauteiltyp/Fliese","Verbiest Dachfliesen","belongs_to_fallstudie->fallstudie/Verbiest_Karreveld_Brussels; belongs_to_projekt->projekt/Verbiest_Karreveld_Brussels; has_huerde->huerde/Witterung_Feuchte; installed_in_bauobjekt->bauobjekt/Verbiest_Karreveld_Brussels","Gebäude\Verbiest_Karreveld_Brussels.md","candidate_split","bauteiltyp/Dach; material/Ziegel","has_bauteiltyp; uses_material","REVIEW","Roof tile belongs to roof context and brick/clay material; not generic tile."
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","Wandfliesen","belongs_to_fallstudie->fallstudie/Chiro_d_Itterbeek_Dilbeek; belongs_to_projekt->projekt/Chiro_d_Itterbeek_Dilbeek; has_bauteiltyp->bauteiltyp/Wand; has_huerde->huerde/Kompatibilitaetsproblem; has_huerde->huerde/Mengenunsicherheit; installed_in_bauobjekt->bauobjekt/Chiro_d_Itterbeek_Dilbeek; uses_material->material/Keramik","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","candidate_split","bauteiltyp/Wand; material/Keramik","has_bauteiltyp; uses_material","REVIEW","Wall tile context; verify whether material is ceramic/fayence or another surface material."
"reuse_einsatz/Maison_Vignette_Auderghem__003__Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","Wandfliesen","belongs_to_fallstudie->fallstudie/Maison_Vignette_Auderghem; belongs_to_projekt->projekt/Maison_Vignette_Auderghem; has_bauteiltyp->bauteiltyp/Wand; has_huerde->huerde/Mengenunsicherheit; installed_in_bauobjekt->bauobjekt/Maison_Vignette_Auderghem; uses_material->material/Naturstein","Gebäude\Maison_Vignette_Auderghem.md","candidate_split","bauteiltyp/Wand; material/Keramik","has_bauteiltyp; uses_material","REVIEW","Wall tile context; verify whether material is ceramic/fayence or another surface material."
"reuse_einsatz/Brighton_Waste_House_Brighton__012__Austernschalen_Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","Austernschalen-Wandfliesen","belongs_to_fallstudie->fallstudie/Brighton_Waste_House_Brighton; belongs_to_projekt->projekt/Brighton_Waste_House_Brighton; has_bauteiltyp->bauteiltyp/Wand; has_huerde->huerde/Unkonventionelles_Material; installed_in_bauobjekt->bauobjekt/Brighton_Waste_House_Brighton","Gebäude\Brighton_Waste_House_Brighton.md","keep_review","","","REVIEW_REQUIRED","Oyster shell tile is unusual material/product; source context needed before creating a material or component knot."
"reuse_einsatz/Ferme_du_Rail_Paris__006__Fliesen_Fayence","has_bauteiltyp","bauteiltyp/Fliese","Fliesen / Fayence","belongs_to_fallstudie->fallstudie/Ferme_du_Rail_Paris; belongs_to_projekt->projekt/Ferme_du_Rail_Paris; has_huerde->huerde/Witterung_Feuchte; installed_in_bauobjekt->bauobjekt/Ferme_du_Rail_Paris; uses_material->material/Keramik","Gebäude\Ferme_du_Rail_Paris.md","keep_review","","","REVIEW_REQUIRED","Fliese is too broad without wall/floor/roof/material context."
"reuse_einsatz/Grande_Halle_de_Colombelles__009__Fliesen_Fayence","has_bauteiltyp","bauteiltyp/Fliese","Fliesen / Fayence","belongs_to_fallstudie->fallstudie/Grande_Halle_de_Colombelles; belongs_to_projekt->projekt/Grande_Halle_de_Colombelles; has_huerde->huerde/Heterogenitaet_Chargen; installed_in_bauobjekt->bauobjekt/Grande_Halle_de_Colombelles; uses_material->material/Keramik","Gebäude\Grande_Halle_de_Colombelles.md","keep_review","","","REVIEW_REQUIRED","Fliese is too broad without wall/floor/roof/material context."
"reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","has_bauteiltyp","bauteiltyp/Fliese","Fliesen / Kronkorken-Mosaik","belongs_to_fallstudie->fallstudie/Recyclinghaus_Hannover; belongs_to_projekt->projekt/Recyclinghaus_Hannover; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Moebel_Dekoration_Nicht_Direct_Reuse; installed_in_bauobjekt->bauobjekt/Recyclinghaus_Hannover; uses_material->material/Keramik","Gebäude\Recyclinghaus_Hannover.md","keep_review","","","REVIEW_REQUIRED","Fliese is too broad without wall/floor/roof/material context."
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__005__Fliesen_unter_Traufe_Regenf_nger_Rand","has_bauteiltyp","bauteiltyp/Fliese","Fliesen unter Traufe / Regenfänger-Rand","belongs_to_fallstudie->fallstudie/Kamikatsu_Zero_Waste_Center_Hotel_WHY; belongs_to_projekt->projekt/Kamikatsu_Zero_Waste_Center_Hotel_WHY; installed_in_bauobjekt->bauobjekt/Kamikatsu_Zero_Waste_Center_Hotel_WHY; uses_material->material/Keramik","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","keep_review","","","REVIEW_REQUIRED","Fliese is too broad without wall/floor/roof/material context."
"reuse_einsatz/Verbiest_Karreveld_Brussels__011__Verbiest_dekorative_Fliesen","has_bauteiltyp","bauteiltyp/Fliese","Verbiest dekorative Fliesen","belongs_to_fallstudie->fallstudie/Verbiest_Karreveld_Brussels; belongs_to_projekt->projekt/Verbiest_Karreveld_Brussels; has_huerde->huerde/Mengenunsicherheit; installed_in_bauobjekt->bauobjekt/Verbiest_Karreveld_Brussels; uses_material->material/Keramik","Gebäude\Verbiest_Karreveld_Brussels.md","keep_review","","","REVIEW_REQUIRED","Fliese is too broad without wall/floor/roof/material context."
"reuse_einsatz/Verbiest_Karreveld_Brussels__009__Verbiest_Fliesen","has_bauteiltyp","bauteiltyp/Fliese","Verbiest Fliesen","belongs_to_fallstudie->fallstudie/Verbiest_Karreveld_Brussels; belongs_to_projekt->projekt/Verbiest_Karreveld_Brussels; has_huerde->huerde/Heterogenitaet_Chargen; installed_in_bauobjekt->bauobjekt/Verbiest_Karreveld_Brussels; uses_material->material/Naturstein","Gebäude\Verbiest_Karreveld_Brussels.md","keep_review","","","REVIEW_REQUIRED","Fliese is too broad without wall/floor/roof/material context."
"reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","has_bauteiltyp","bauteiltyp/Kern","Fassadenbekleidung externer Kern","belongs_to_fallstudie->fallstudie/55_Great_Suffolk_Street_London; belongs_to_projekt->projekt/55_Great_Suffolk_Street_London; has_bauteiltyp->bauteiltyp/Fassade; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Kein_Direct_Reuse_Nachweis; has_huerde->huerde/Datenluecke; installed_in_bauobjekt->bauobjekt/55_Great_Suffolk_Street_London","Gebäude\55_Great_Suffolk_Street_London.md","candidate_move","bauteiltyp/Fassade","has_bauteiltyp","CONFIDENT_IF_SOURCE_CLEAR","Facade cladding of a core is facade component, not core component."
"reuse_einsatz/Montessori_Maassluis__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","bauteiltyp/Kern","Hohlkörperdecken / hollow core slabs","belongs_to_fallstudie->fallstudie/Montessori_Maassluis; belongs_to_projekt->projekt/Montessori_Maassluis; has_bauteiltyp->bauteiltyp/Decke; has_huerde->huerde/Anschlussproblem; has_huerde->huerde/Materialqualitaet_Unklar; installed_in_bauobjekt->bauobjekt/Montessori_Maassluis; uses_material->material/Beton; uses_material->material/Stahl","Gebäude\Montessori_Maassluis.md","candidate_move","bauteiltyp/Decke","has_bauteiltyp","CONFIDENT_IF_SOURCE_CLEAR","Hollow-core slabs are deck/slab elements, not Kern."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","bauteiltyp/Kern","Hohlkörperdecken / hollow-core slabs","belongs_to_fallstudie->fallstudie/KA13_Kristian_Augusts_gate_13_Oslo; belongs_to_projekt->projekt/KA13_Kristian_Augusts_gate_13_Oslo; has_bauteiltyp->bauteiltyp/Decke; has_huerde->huerde/Anschlussproblem; has_pruefung_nachweis->pruefung_nachweis/Materialpruefung; installed_in_bauobjekt->bauobjekt/KA13_Kristian_Augusts_gate_13_Oslo; uses_material->material/Beton; uses_material->material/Stahl","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","candidate_move","bauteiltyp/Decke","has_bauteiltyp","CONFIDENT_IF_SOURCE_CLEAR","Hollow-core slabs are deck/slab elements, not Kern."
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_bauteiltyp","bauteiltyp/Kern","Stahlprofile für neuen externen Kern","belongs_to_fallstudie->fallstudie/55_Great_Suffolk_Street_London; belongs_to_projekt->projekt/55_Great_Suffolk_Street_London; has_bauteiltyp->bauteiltyp/Traeger; has_huerde->huerde/Aufbereitungsaufwand; has_huerde->huerde/Toleranzen; has_pruefung_nachweis->pruefung_nachweis/Materialpruefung; installed_in_bauobjekt->bauobjekt/55_Great_Suffolk_Street_London; references_norm->norm/EN_1090; uses_material->material/Stahl","Gebäude\55_Great_Suffolk_Street_London.md","candidate_split","tragwerksprinzip/Wand_Kern_Tragwerk; bauteiltyp/Traeger","has_tragwerksprinzip; has_bauteiltyp","REVIEW","Core context plus steel profiles; derive structural principle and precise member only after source check."
"reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","has_bauteiltyp","bauteiltyp/Kern","Brückenlinks zum Kern","belongs_to_fallstudie->fallstudie/55_Great_Suffolk_Street_London; belongs_to_projekt->projekt/55_Great_Suffolk_Street_London; has_huerde->huerde/Anschlussproblem; installed_in_bauobjekt->bauobjekt/55_Great_Suffolk_Street_London; uses_material->material/Stahl","Gebäude\55_Great_Suffolk_Street_London.md","keep_review","","","REVIEW_REQUIRED","Bridge links to core are connection/object-context, not a clean Kern component."
"reuse_einsatz/Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","has_bauteiltyp","bauteiltyp/Kueche","Kaffeesatz-Arbeitsplatte","belongs_to_fallstudie->fallstudie/Brighton_Waste_House_Brighton; belongs_to_projekt->projekt/Brighton_Waste_House_Brighton; has_bauteiltyp->bauteiltyp/Platte_Paneel; installed_in_bauobjekt->bauobjekt/Brighton_Waste_House_Brighton; uses_material->material/Composite","Gebäude\Brighton_Waste_House_Brighton.md","candidate_move","bauteiltyp/Festes_Einbauteil","has_bauteiltyp","REVIEW","Countertop/counter is fixed fit-out rather than the category Kueche."
"reuse_einsatz/Charles_Malis_Molenbeek__005__Schalter_Counter","has_bauteiltyp","bauteiltyp/Kueche","Schalter/Counter","belongs_to_fallstudie->fallstudie/Charles_Malis_Molenbeek; belongs_to_projekt->projekt/Charles_Malis_Molenbeek; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Kein_Direct_Reuse_Nachweis; installed_in_bauobjekt->bauobjekt/Charles_Malis_Molenbeek","Gebäude\Charles_Malis_Molenbeek.md","candidate_move","bauteiltyp/Festes_Einbauteil","has_bauteiltyp","REVIEW","Countertop/counter is fixed fit-out rather than the category Kueche."
"reuse_einsatz/The_Green_House_Utrecht__010__TGA_K_che_Solar","has_bauteiltyp","bauteiltyp/Kueche","TGA / Küche / Solar","belongs_to_fallstudie->fallstudie/The_Green_House_Utrecht; belongs_to_projekt->projekt/The_Green_House_Utrecht; has_bauteiltyp->bauteiltyp/Technik_TGA; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Kein_Direct_Reuse_Nachweis; installed_in_bauobjekt->bauobjekt/The_Green_House_Utrecht","Gebäude\The_Green_House_Utrecht.md","candidate_split","bauteiltyp/Technik_TGA; bauteiltyp/Festes_Einbauteil; bauteiltyp/PV_Anlage","has_bauteiltyp","REVIEW","Mixed kitchen/TGA/solar label; split only after source check."
"reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","has_bauteiltyp","bauteiltyp/Kueche","Feste Einbauten/Küchenteile","belongs_to_fallstudie->fallstudie/BedZED_London_Hackbridge; belongs_to_projekt->projekt/BedZED_London_Hackbridge; has_bauteiltyp->bauteiltyp/Festes_Einbauteil; has_bauteiltyp->bauteiltyp/Innenausbau; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Recycling_Nicht_Direct_Reuse; installed_in_bauobjekt->bauobjekt/BedZED_London_Hackbridge; uses_material->material/Kunststoff","Gebäude\BedZED_London_Hackbridge.md","keep_review","","","REVIEW_REQUIRED","Kitchen-like label needs fit-out vs furniture vs equipment decision."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__010__gebrauchte_K_che","has_bauteiltyp","bauteiltyp/Kueche","gebrauchte Küche","belongs_to_fallstudie->fallstudie/Kindergarten_Moeoeslistrasse_Manegg_Zuerich; belongs_to_projekt->projekt/Kindergarten_Moeoeslistrasse_Manegg_Zuerich; installed_in_bauobjekt->bauobjekt/Kindergarten_Moeoeslistrasse_Manegg_Zuerich","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","keep_review","","","REVIEW_REQUIRED","Kitchen-like label needs fit-out vs furniture vs equipment decision."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_bauteiltyp","bauteiltyp/Kueche","Küche / Küchenunit","belongs_to_fallstudie->fallstudie/Superlocal_Expogebouw_Bleijerheide; belongs_to_projekt->projekt/Superlocal_Expogebouw_Bleijerheide; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Moebel_Dekoration_Nicht_Direct_Reuse; installed_in_bauobjekt->bauobjekt/Superlocal_Expogebouw_Bleijerheide","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","keep_review","","","REVIEW_REQUIRED","Kitchen-like label needs fit-out vs furniture vs equipment decision."
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__006__K_chenbl_cke","has_bauteiltyp","bauteiltyp/Kueche","Küchenblöcke","belongs_to_fallstudie->fallstudie/Woongroep_Boschgaard_Den_Bosch; belongs_to_projekt->projekt/Woongroep_Boschgaard_Den_Bosch; installed_in_bauobjekt->bauobjekt/Woongroep_Boschgaard_Den_Bosch","Gebäude\Woongroep_Boschgaard_Den_Bosch.md","keep_review","","","REVIEW_REQUIRED","Kitchen-like label needs fit-out vs furniture vs equipment decision."
"reuse_einsatz/PLP_London_HQ_Circular_Studio_Fitout__001__Terrazzo_Arbeitsfl_chen_K_chenfl_chen","has_bauteiltyp","bauteiltyp/Kueche","Terrazzo-Arbeitsflächen / Küchenflächen","belongs_to_fallstudie->fallstudie/PLP_London_HQ_Circular_Studio_Fitout; belongs_to_projekt->projekt/PLP_London_HQ_Circular_Studio_Fitout; has_bauteiltyp->bauteiltyp/Boden; has_huerde->huerde/Materialqualitaet_Unklar; installed_in_bauobjekt->bauobjekt/PLP_London_HQ_Circular_Studio_Fitout","Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","keep_review","","","REVIEW_REQUIRED","Kitchen-like label needs fit-out vs furniture vs equipment decision."
"reuse_einsatz/TRAE_High_Rise_Aarhus__006__Boden_Decken_aus_Gellerupparken","has_bauteiltyp","bauteiltyp/Landschaftselement","Boden/Decken aus Gellerupparken","belongs_to_fallstudie->fallstudie/TRAE_High_Rise_Aarhus; belongs_to_projekt->projekt/TRAE_High_Rise_Aarhus; has_bauteiltyp->bauteiltyp/Decke; has_huerde->huerde/Materialqualitaet_Unklar; installed_in_bauobjekt->bauobjekt/TRAE_High_Rise_Aarhus; uses_material->material/Beton; uses_material->material/Holz","Gebäude\TRAE_High_Rise_Aarhus.md","candidate_move_or_split","bauteiltyp/Boden; bauteiltyp/Decke","has_bauteiltyp","REVIEW","Raw label points to floor/slab components; source must decide actual object."
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__006__Eichenparkett","has_bauteiltyp","bauteiltyp/Landschaftselement","Eichenparkett","belongs_to_fallstudie->fallstudie/Zinneke_Feder_Masui4ever_Brussels; belongs_to_projekt->projekt/Zinneke_Feder_Masui4ever_Brussels; has_bauteiltyp->bauteiltyp/Boden; installed_in_bauobjekt->bauobjekt/Zinneke_Feder_Masui4ever_Brussels; uses_material->material/Holz","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","candidate_split","bauteiltyp/Boden; material/Holz","has_bauteiltyp; uses_material","REVIEW","Parkett is floor component plus wood material, not landscape element."
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__010__Fahrradst_nder","has_bauteiltyp","bauteiltyp/Landschaftselement","Fahrradständer","belongs_to_fallstudie->fallstudie/Svanen_Kindergarten_Gladsaxe; belongs_to_projekt->projekt/Svanen_Kindergarten_Gladsaxe; installed_in_bauobjekt->bauobjekt/Svanen_Kindergarten_Gladsaxe; uses_material->material/Stahl","Gebäude\Svanen_Kindergarten_Gladsaxe.md","keep_review","","","REVIEW_REQUIRED","Outdoor/landscape object is outside the current clean component scope; consider future outdoor/infrastructure ontology."
"reuse_einsatz/Big_Dig_Building_Boston__004__Landscape_elevated_landscape_elements","has_bauteiltyp","bauteiltyp/Landschaftselement","Landscape / elevated landscape elements","belongs_to_fallstudie->fallstudie/Big_Dig_Building_Boston; belongs_to_projekt->projekt/Big_Dig_Building_Boston; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Ungebaut_Nicht_Realisierte_Wiederverwendung; installed_in_bauobjekt->bauobjekt/Big_Dig_Building_Boston; uses_material->material/Beton; uses_material->material/Stahl","Gebäude\Big_Dig_Building_Boston.md","keep_review","","","REVIEW_REQUIRED","Outdoor/landscape object is outside the current clean component scope; consider future outdoor/infrastructure ontology."
"reuse_einsatz/Musee_de_Folklore_Mouscron__004__Park_Au_enraum","has_bauteiltyp","bauteiltyp/Landschaftselement","Park / Außenraum","belongs_to_fallstudie->fallstudie/Musee_de_Folklore_Mouscron; belongs_to_projekt->projekt/Musee_de_Folklore_Mouscron; has_bewertungslogik_abgrenzung->bewertungslogik_abgrenzung/Kein_Direct_Reuse_Nachweis; installed_in_bauobjekt->bauobjekt/Musee_de_Folklore_Mouscron","Gebäude\Musee_de_Folklore_Mouscron.md","keep_review","","","REVIEW_REQUIRED","Outdoor/landscape object is outside the current clean component scope; consider future outdoor/infrastructure ontology."
