"target_primary","target_index","legacy_source_count","legacy_paths"
"huerde/Gewaehrleistung","_graph\huerde\Gewaehrleistung\index.md","1","huerde\Gewaehrleistung.md"
"huerde/Haftung","_graph\huerde\Haftung\index.md","1","huerde\Haftung.md"
"huerde/Logistikproblem","_graph\huerde\Logistikproblem\index.md","1","huerde\Logistikproblem.md"
"huerde/Schadstoffbelastung","_graph\huerde\Schadstoffbelastung\index.md","1","huerde\Schadstoffbelastung.md"
"huerde/Terminunsicherheit","_graph\huerde\Terminunsicherheit\index.md","1","huerde\Terminunsicherheit.md"
"huerde/Toleranzen","_graph\huerde\Toleranzen\index.md","1","huerde\Toleranzen.md"
"huerde/Verfuegbarkeitsproblem","_graph\huerde\Verfuegbarkeitsproblem\index.md","1","huerde\Verfuegbarkeitsproblem.md"
"kennwertdefinition/CO2_Einsparung","_graph\kennwertdefinition\CO2_Einsparung\index.md","1","kennwert\CO2_Einsparung.md"
"kennwertdefinition/Demontagegrad","_graph\kennwertdefinition\Demontagegrad\index.md","1","kennwert\Demontagegrad.md"
"kennwertdefinition/Graue_Energie","_graph\kennwertdefinition\Graue_Energie\index.md","1","kennwert\Graue_Energie.md"
"kennwertdefinition/Materialwert","_graph\kennwertdefinition\Materialwert\index.md","1","kennwert\Materialwert.md"
"kennwertdefinition/Wiederverwendungsquote","_graph\kennwertdefinition\Wiederverwendungsquote\index.md","1","kennwert\Wiederverwendungsquote.md"
"leistungsanforderung/Brandschutz","_graph\leistungsanforderung\Brandschutz\index.md","1","leistungsanforderung\Brandschutz.md"
"leistungsanforderung/Dauerhaftigkeit","_graph\leistungsanforderung\Dauerhaftigkeit\index.md","1","leistungsanforderung\Dauerhaftigkeit.md"
"leistungsanforderung/Feuchteschutz","_graph\leistungsanforderung\Feuchteschutz\index.md","1","leistungsanforderung\Feuchteschutz.md"
"leistungsanforderung/Rueckbaubarkeit","_graph\leistungsanforderung\Rueckbaubarkeit\index.md","1","leistungsanforderung\Rueckbaubarkeit.md"
"leistungsanforderung/Schadstofffreiheit","_graph\leistungsanforderung\Schadstofffreiheit\index.md","1","leistungsanforderung\Schadstofffreiheit.md"
"leistungsanforderung/Schallschutz","_graph\leistungsanforderung\Schallschutz\index.md","1","leistungsanforderung\Schallschutz.md"
"leistungsanforderung/Tragfaehigkeit","_graph\leistungsanforderung\Tragfaehigkeit\index.md","1","leistungsanforderung\Tragfaehigkeit.md"
"leistungsanforderung/Waermeschutz","_graph\leistungsanforderung\Waermeschutz\index.md","1","leistungsanforderung\Waermeschutz.md"
"logistik/Lagerflaeche","_graph\logistik\Lagerflaeche\index.md","1","logistik\Lagerflaeche.md"
"logistik/Lagerung","_graph\logistik\Lagerung\index.md","1","logistik\Lagerung.md"
"logistik/Materialmatching","_graph\logistik\Materialmatching\index.md","1","logistik\Materialmatching.md"
"logistik/Materialverfuegbarkeit","_graph\logistik\Materialverfuegbarkeit\index.md","1","logistik\Materialverfuegbarkeit.md"
"bauobjektklasse/Reuse_Centre","_graph\bauobjektklasse\Reuse_Centre\index.md","1","logistik\ReUse_Centre.md"
"logistik/Transport","_graph\logistik\Transport\index.md","1","logistik\Transport.md"
"logistik/Zwischenlagerung","_graph\logistik\Zwischenlagerung\index.md","1","logistik\Zwischenlagerung.md"
"material/Beton","_graph\material\Beton\index.md","1","material\Beton.md"
"material/Brettschichtholz","_graph\material\Brettschichtholz\index.md","1","material\Brettschichtholz.md"
"material/Brettsperrholz","_graph\material\Brettsperrholz\index.md","1","material\Brettsperrholz.md"
"material/Glas","_graph\material\Glas\index.md","1","material\Glas.md"
"material/Holz","_graph\material\Holz\index.md","1","material\Holz.md"
"material/Keramik","_graph\material\Keramik\index.md","1","material\Keramik.md"
"material/Lehm","_graph\material\Lehm\index.md","1","material\Lehm.md"
"material/Recyclingbeton","_graph\material\Recyclingbeton\index.md","1","material\Recyclingbeton.md"
"material/Sanitarkeramik","_graph\material\Sanitarkeramik\index.md","1","material\Sanitarkeramik.md"
"material/Sekundaerstahl","_graph\material\Sekundaerstahl\index.md","1","material\Sekundaerstahl.md"
"material/Stahl","_graph\material\Stahl\index.md","1","material\Stahl.md"
"material/Stroh","_graph\material\Stroh\index.md","1","material\Stroh.md"
"methode/Bauteilkatalogisierung","_graph\methode\Bauteilkatalogisierung\index.md","1","methode\Bauteilkatalogisierung.md"
"reuse_strategie/Bestandserhalt","_graph\reuse_strategie\Bestandserhalt\index.md","1","methode\Bestandserhalt.md"
"methode/Building_Material_Scouting","_graph\methode\Building_Material_Scouting\index.md","1","methode\Building_Material_Scouting.md"
"reuse_strategie/Design_for_Disassembly","_graph\reuse_strategie\Design_for_Disassembly\index.md","2","methode\Design_for_Disassembly.md; reuse_strategie\Design_for_Disassembly.md"
"methode/Form_Follows_Availability","_graph\methode\Form_Follows_Availability\index.md","1","methode\Form_Follows_Availability.md"
"methode/Materialinventur","_graph\methode\Materialinventur\index.md","1","methode\Materialinventur.md"
"methode/ReUse_Assessment","_graph\methode\ReUse_Assessment\index.md","1","methode\ReUse_Assessment.md"
"methode/Reversibilitaet","_graph\methode\Reversibilitaet\index.md","1","methode\Reversibilitaet.md"
"methode/Urban_Mining","_graph\methode\Urban_Mining\index.md","1","methode\Urban_Mining.md"
"methode/Zirkulaere_Ausschreibung","_graph\methode\Zirkulaere_Ausschreibung\index.md","1","methode\Zirkulaere_Ausschreibung.md"
"norm/DIN_18940","_graph\norm\DIN_18940\index.md","1","norm\DIN_18940.md"
"norm/DIN_EN_15804","_graph\norm\DIN_EN_15804\index.md","1","norm\DIN_EN_15804.md"
"norm/DIN_EN_15978","_graph\norm\DIN_EN_15978\index.md","1","norm\DIN_EN_15978.md"
"norm/EN_15804","_graph\norm\EN_15804\index.md","1","norm\EN_15804.md"
"rechtliche_bedingung/EU_Taxonomie","_graph\rechtliche_bedingung\EU_Taxonomie\index.md","1","norm\EU_Taxonomie.md"
"norm/ISO_14040","_graph\norm\ISO_14040\index.md","1","norm\ISO_14040.md"
"norm/ISO_14044","_graph\norm\ISO_14044\index.md","1","norm\ISO_14044.md"
"norm/ISO_20887","_graph\norm\ISO_20887\index.md","1","norm\ISO_20887.md"
"norm/Wiederverwendungskriterien","_graph\norm\Wiederverwendungskriterien\index.md","1","norm\Wiederverwendungskriterien.md"
"ort/Barcelona","_graph\ort\Barcelona\index.md","1","ort\Barcelona.md"
"ort/Basel","_graph\ort\Basel\index.md","1","ort\Basel.md"
"ort/Berlin","_graph\ort\Berlin\index.md","1","ort\Berlin.md"
"ort/Berlin_Neukoelln","_graph\ort\Berlin_Neukoelln\index.md","1","ort\Berlin_Neukoelln.md"
"ort/Bruessel","_graph\ort\Bruessel\index.md","1","ort\Bruessel.md"
"ort/Deutschland","_graph\ort\Deutschland\index.md","1","ort\Deutschland.md"
"ort/Europa","_graph\ort\Europa\index.md","1","ort\Europa.md"
"ort/Evere","_graph\ort\Evere\index.md","1","ort\Evere.md"
"ort/Kindl_Areal_Standort","_graph\ort\Kindl_Areal_Standort\index.md","1","ort\Kindl_Areal_Standort.md"
"ort/Mueggelsee","_graph\ort\Mueggelsee\index.md","1","ort\Mueggelsee.md"
"ort/Schweiz","_graph\ort\Schweiz\index.md","1","ort\Scwheiz.md"
"ort/Walkeweg","_graph\ort\Walkeweg\index.md","1","ort\Walkeweg.md"
"prozessphase/Aufbereitung","_graph\prozessphase\Aufbereitung\index.md","1","prozessphase\Aufbereitung.md"
"prozessphase/Ausschreibung","_graph\prozessphase\Ausschreibung\index.md","1","prozessphase\Ausschreibung.md"
"prozessphase/Bestandserfassung","_graph\prozessphase\Bestandserfassung\index.md","1","prozessphase\Bestandserfassung.md"
"prozessphase/Betrieb_und_Rueckbauplanung","_graph\prozessphase\Betrieb_und_Rueckbauplanung\index.md","1","prozessphase\Betrieb_und_Rueckbauplanung.md"
"prozessphase/Entwurf","_graph\prozessphase\Entwurf\index.md","1","prozessphase\Entwurf.md"
"prozessphase/Lagerung","_graph\prozessphase\Lagerung\index.md","1","prozessphase\Lagerung.md"
"prozessphase/Rueckbau","_graph\prozessphase\Rueckbau\index.md","1","prozessphase\Rueckbau.md"
"prozessphase/Transport","_graph\prozessphase\Transport\index.md","1","prozessphase\Transport.md"
"prozessphase/Wiedereinbau","_graph\prozessphase\Wiedereinbau\index.md","1","prozessphase\Wiedereinbau.md"
"pruefung_nachweis/Abbrandbemessung","_graph\pruefung_nachweis\Abbrandbemessung\index.md","1","pruefung\Abbrandbemessung.md"
"pruefung_nachweis/Brandnachweis","_graph\pruefung_nachweis\Brandnachweis\index.md","1","pruefung\Brandnachweis.md"
"pruefung_nachweis/Eignungspruefung_Baulehm","_graph\pruefung_nachweis\Eignungspruefung_Baulehm\index.md","1","pruefung\Eignungspruefung_Baulehm.md"
"pruefung_nachweis/Geometrische_Vermessung","_graph\pruefung_nachweis\Geometrische_Vermessung\index.md","1","pruefung\Geometrische_Vermessung.md"
"pruefung_nachweis/Materialpruefung","_graph\pruefung_nachweis\Materialpruefung\index.md","1","pruefung\Materialpruefung.md"
"pruefung_nachweis/Schadstoffscreening","_graph\pruefung_nachweis\Schadstoffscreening\index.md","1","pruefung\Schadstoffscreening.md"
"pruefung_nachweis/Schweissbarkeitspruefung","_graph\pruefung_nachweis\Schweissbarkeitspruefung\index.md","1","pruefung\Schweissbarkeitspruefung.md"
"pruefung_nachweis/Sichtpruefung","_graph\pruefung_nachweis\Sichtpruefung\index.md","1","pruefung\Sichtpruefung.md"
"pruefung_nachweis/Statische_Nachweisfuehrung","_graph\pruefung_nachweis\Statische_Nachweisfuehrung\index.md","1","pruefung\Statische_Nachweisfuehrung.md"
"pruefung_nachweis/Zugversuch","_graph\pruefung_nachweis\Zugversuch\index.md","1","pruefung\Zugversuch.md"
"pruefung_nachweis/Zustandsbewertung","_graph\pruefung_nachweis\Zustandsbewertung\index.md","1","pruefung\Zustandsbewertung.md"
"rechtliche_bedingung/Bauordnungsrecht","_graph\rechtliche_bedingung\Bauordnungsrecht\index.md","1","recht\Bauordnungsrecht.md"
"rechtliche_bedingung/Gewaehrleistung","_graph\rechtliche_bedingung\Gewaehrleistung\index.md","1","recht\Gewaehrleistung.md"
"rechtliche_bedingung/Produkthaftung","_graph\rechtliche_bedingung\Produkthaftung\index.md","1","recht\Produkthaftung.md"
"rechtliche_bedingung/Vergaberecht","_graph\rechtliche_bedingung\Vergaberecht\index.md","1","recht\Vergaberecht.md"
"rechtliche_bedingung/Zulassung_im_Einzelfall","_graph\rechtliche_bedingung\Zulassung_im_Einzelfall\index.md","1","recht\Zulassung_im_Einzelfall.md"
"reuse_strategie/Adaptives_ReUse","_graph\reuse_strategie\Adaptives_ReUse\index.md","1","reuse_strategie\Adaptives_ReUse.md"
"reuse_strategie/Direkte_Wiederverwendung","_graph\reuse_strategie\Direkte_Wiederverwendung\index.md","1","reuse_strategie\Direkte_Wiederverwendung.md"
"reuse_strategie/Refurbishment","_graph\reuse_strategie\Refurbishment\index.md","1","reuse_strategie\Refurbishment.md"
"reuse_strategie/Umnutzung","_graph\reuse_strategie\Umnutzung\index.md","1","reuse_strategie\Umnutzung.md"
"reuse_strategie/Weiterbauen_im_Bestand","_graph\reuse_strategie\Weiterbauen_im_Bestand\index.md","1","reuse_strategie\Weiterbauen_im_Bestand.md"
"schadstoff/Asbest","_graph\schadstoff\Asbest\index.md","1","schadstoff\Asbest.md"
"schadstoff/Bleifarbe","_graph\schadstoff\Bleifarbe\index.md","1","schadstoff\Bleifarbe.md"
"schadstoff/Holzschutzmittel","_graph\schadstoff\Holzschutzmittel\index.md","1","schadstoff\Holzschutzmittel.md"
"schadstoff/PAK","_graph\schadstoff\PAK\index.md","1","schadstoff\PAK.md"
"schadstoff/PCB","_graph\schadstoff\PCB\index.md","1","schadstoff\PCB.md"
"fuegung_verbindung/Klemmverbindung","_graph\fuegung_verbindung\Klemmverbindung\index.md","1","verbindung\Klemmverbindung.md"
"fuegung_verbindung/Stahlseil","_graph\fuegung_verbindung\Stahlseil\index.md","1","verbindung\Stahlseil.md"
"fuegung_verbindung/Steckverbindung","_graph\fuegung_verbindung\Steckverbindung\index.md","1","verbindung\Steckverbindung.md"
"fuegung_verbindung/Verleimung","_graph\fuegung_verbindung\Verleimung\index.md","1","verbindung\Verleimung.md"
"fuegung_verbindung/Vermoertelung","_graph\fuegung_verbindung\Vermoertelung\index.md","1","verbindung\Vermoertelung.md"
"fuegung_verbindung/Verschraubung","_graph\fuegung_verbindung\Verschraubung\index.md","1","verbindung\Verschraubung.md"
"fuegung_verbindung/Verschweissung","_graph\fuegung_verbindung\Verschweissung\index.md","1","verbindung\Verschweissung.md"
"wirtschaft/Finanzierung","_graph\wirtschaft\Finanzierung\index.md","1","wirtschaft\Finanzierung.md"
"wirtschaft/Geschaeftsmodell","_graph\wirtschaft\Geschaeftsmodell\index.md","1","wirtschaft\Geschaeftsmodell.md"
"wirtschaft/Kostenvergleich","_graph\wirtschaft\Kostenvergleich\index.md","1","wirtschaft\Kostenvergleich.md"
"wirtschaft/Lebenszykluskosten","_graph\wirtschaft\Lebenszykluskosten\index.md","1","wirtschaft\Lebenszykluskosten.md"
"wirtschaft/Preisbildung","_graph\wirtschaft\Preisbildung\index.md","1","wirtschaft\Preisbildung.md"
"wirtschaft/Restwert","_graph\wirtschaft\Restwert\index.md","1","wirtschaft\Restwert.md"
