"target_primary","duplicate_count","legacy_path","action","risk_flags"
"software_digitaltool/globechain","2","bauteilboerse\globechain.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/globechain","2","werkzeug\Globechain.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/material_index","2","bauteilboerse\material-index.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/material_index","2","werkzeug\Material_Index.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/loopfront","2","bauteilboerse\loopfront.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/loopfront","2","werkzeug\Loopfront.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"bauteiltyp/Deckenplatte","2","bauteil\Deckenplatte.md","move_as_knot",""
"bauteiltyp/Deckenplatte","2","tragwerkssystem\to_sort\Deckenplatten.md","semantic_review_split","unsorted_content_do_not_autoload"
"akteur/index","2","akteur\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"akteur/index","2","person.md","merge_into_index","old_schema_file_not_content_node"
"rueckbauverfahren/index","2","abbruchmethode.md","merge_into_index","old_schema_file_not_content_node"
"rueckbauverfahren/index","2","abbruchmethode\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"aufbereitungsverfahren/index","2","aufbereitungsmethode.md","merge_into_index","old_schema_file_not_content_node"
"aufbereitungsverfahren/index","2","aufbereitungsmethode\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"bauteiltyp/Betonfertigteil","2","bauteil\Betonfertigteil.md","move_as_knot",""
"bauteiltyp/Betonfertigteil","2","tragwerkssystem\to_sort\Betonfertigteile.md","semantic_review_split","unsorted_content_do_not_autoload"
"bauteiltyp/index","2","bauteil.md","merge_into_index","old_schema_file_not_content_node"
"bauteiltyp/index","2","bauteil\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"software_digitaltool/material_reuse_portal","2","bauteilboerse\material-reuse-portal.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/material_reuse_portal","2","werkzeug\Material_Reuse_Portal.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"fallstudie/index","2","fallstudie.md","merge_into_index","old_schema_file_not_content_node"
"fallstudie/index","2","fallstudie\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"software_digitaltool/Opalis","2","dokument\Opalis_Datenbank.md","move_as_knot",""
"software_digitaltool/Opalis","2","fallstudie\Opalis.md","keep_or_split_case",""
"fallstudie/ELEMENTA","2","fallstudie\ELEMENTA.md","keep_or_split_case",""
"fallstudie/ELEMENTA","2","gebaeude\Elementa.md","split_into_case_graph",""
"foerderprogramm/index","2","foerderprogramm\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"foerderprogramm/index","2","förderprogramm.md","merge_into_index","old_schema_file_not_content_node"
"foerderprogramm/PREUSE","2","fallstudie\PREUSE.md","keep_or_split_case",""
"foerderprogramm/PREUSE","2","foerderprogramm\PREUSE.md","move_as_core_or_context",""
"dokumenttyp/Materialpass","2","dokument\Materialpass.md","move_as_knot",""
"dokumenttyp/Materialpass","2","methode\Materialpass.md","semantic_move",""
"software_digitaltool/rotordc","2","bauteilboerse\rotordc.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/rotordc","2","werkzeug\RotorDC.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/restado","2","bauteilboerse\restado.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/restado","2","werkzeug\Restado.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"software_digitaltool/salvoweb","2","bauteilboerse\salvoweb.md","split_platform_profile","duplicate_with_akteur_or_werkzeug"
"software_digitaltool/salvoweb","2","werkzeug\SalvoWEB.md","semantic_move","may_duplicate_bauteilboerse_or_akteur"
"dokumenttyp/index","2","dokument.md","merge_into_index","old_schema_file_not_content_node"
"dokumenttyp/index","2","dokument\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
"datenmodell/index","2","datenmodell.md","merge_into_index","old_schema_file_not_content_node"
"datenmodell/index","2","datenmodell\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists"
