Akteur;Rolle;Relevanz
Cycle Up;Reuse-Beratung;Berät, bewertet Reuse-Potenziale und vermittelt gebrauchte Bauteile digital.
Cycle Zéro;Vermittlungsplattform;Macht Baustoffangebote auffindbar und vermittelt ihre kostenlose Weitergabe.
DELAN PATRICK - Antiquaires;Bauteilhandel;Restauriert und verkauft historische Türen, Möbel und weitere Bauteile.
Depuis 1920;Demontage;Demontiert, transportiert und passt gebrauchte Fensterrahmen für neue Fassaden an.
Dussel Matériaux Anciens;Bauteilhandel;Lagert, bearbeitet und verkauft geborgene Bauteile aus Abbruchvorhaben.
Démolition William Perreault;Bauteilhandel;Verkauft geborgene Baustoffe aus dem eigenen Rückbaugeschäft zur erneuten Nutzung.
EKO reemploi;Bauteilhandel;Ein direkter Reuse-Bezug ist belegt, die konkrete Funktion bleibt jedoch unklar.
Encore Heureux;Architektur;Plant mit bestehenden Gebäuden und wiederverwendeten Materialien.
Enfin!Réemploi;Reuse-Beratung;Berät, sammelt und vermittelt gebrauchte Baustoffe für eine weitere Nutzung.
Envirobat Occitanie;Reuse-Beratung;Berät, qualifiziert und vernetzt Fachleute für operative Reuse-Projekte.
Fer et Pierre;Bauteilhandel;Aus den Informationen ist kein direkter Beitrag zur Wiederverwendung ableitbar.
Ferme du Rail Paris;Referenzprojekt;Verwendet Granit, Fenster, Holz, Fliesen und Metallbauteile erneut.
Gauthey Cheminées;Bauteilhandel;Berät zu historischen Kaminen, verkauft und baut sie fachgerecht ein.
Grand Huit;Architektur;Plant Bauprojekte mit hohen Anteilen wiederverwendeter Bauteile.
Grande Halle de Colombelles;Referenzprojekt;Erhält die Betonstruktur und integriert Türen, Sanitärobjekte und Dämmplatten erneut.
Grayo tailleur de pierre;Bauteilhandel;Bearbeitet, verkauft und verbaut historische Natursteinbauteile erneut.
Guérin Cheminées;Bauteilhandel;Restauriert historische Kamine und verkauft sie für eine weitere Nutzung.
Institut National de l'Économie Circulaire (INEC);Wissenstransfer;Vernetzt Fachleute und vermittelt Ansätze zu Beschaffung und Reuse-Zentren.
La Bois'Cyclerie;Bauteilhandel;Sammelt, bereitet Gebrauchtholz auf und verkauft es für neue Anwendungen.
La brocante du Bâtiment (entreprise DRS);Bauteilhandel;Reinigt und verkauft geborgene Bauteile, Sanitärobjekte und Mobiliar.
La Fab Bordeaux;Projektentwicklung;Verankert Sammlung und Wiedereinbau gebrauchter Materialien in Entwicklungsprojekten.
La Réserve des Matériaux;Bauteilhandel;Birgt Bauteile, fertigt daraus neue Produkte und verkauft Reuse-Materialien.
Labrouche Antiquaire de Matériaux;Bauteilhandel;Inventarisiert, lagert und verkauft wiederverwendbare Bauteile vor Abbrüchen.
Labrouche Matériaux Anciens;Bauteilhandel;Restauriert, verkauft und installiert historische Stein- und Holzbauteile.
Lascombes Matériaux Anciens;Bauteilhandel;Reinigt, arbeitet historische Baustoffe auf und verkauft sie zur erneuten Nutzung.
Lascombes Matériaux Anciens Sud-Ouest;Bauteilhandel;Lagert und verkauft historische Baustoffe für regionale Sanierungsprojekte.
Le Radiateur Fonte;Bauteilhandel;Prüft, erneuert und verkauft historische Gussheizkörper für weitere Nutzung.
Le WIP;Material- und Bauteilbeschaffung;Identifiziert und beschafft gebrauchte Bauteile und gibt sie an ausführende Firmen weiter.
Les Canaux;Programmmanagement;Betreibt ein Reuse-Demonstrationshaus und vermittelt dessen Materialkreisläufe.
MAISON CARRELLE;Bauteilhandel;Sucht ungenutzte Fliesenbestände und vermittelt sie mit technischer Beratung.
Maison des Canaux, Paris;Referenzprojekt;Nutzt geborgenes Parkett, Stoffe und weitere Materialien für Ausbau und Möbel erneut.
Maison du Réemploi;Bauteilhandel;Demontiert, bereitet Bauteile auf und verkauft sie für den Wiedereinbau.
Matériauthèque les Chutes de la Dore;Bauteilhandel;Sammelt wiederverwendbare Baustoffe und verkauft sie zu solidarischen Preisen.
Matériaux Anciens du Nord;Bauteilhandel;Reinigt, lagert und verkauft historische Fliesen und weitere gebrauchte Bauteile.
Matériaux Anciens du Pays d'Auge;Bauteilhandel;Verkauft geborgene Kamine, Böden, Türen und weitere historische Bauteile.
Matériaux Anciens du Sud;Bauteilhandel;Lagert, verkauft und vermittelt historische Baustoffe und Bauteile.
Matériaux d'Antan;Aufarbeitung / Bauteilhandel / Wiedereinbau;Birgt, restauriert, verkauft und montiert historische Bauteile für neue Projekte.
METAMO;Bauteilhandel;Qualifiziert Metallbauteile, bereitet sie auf und liefert sie für neue Projekte.
MOBIOUS;Bauteilhandel;Inventarisiert Bauteile, bereitet sie auf und liefert sie für Bauprojekte.
Mobius Réemploi;Bauteilinventarisierung;Inventarisiert Bauteile, bereitet sie auf und liefert sie für Bauprojekte.
Novaedia / Novædia;Bauherrschaft;Beauftragt den eigenen Neubau mit Fenstern, Ziegeln und Ausstattung aus Reuse.
ORAK;Zustandsbewertung;Bewertet, pflegt und bereitet Teppichfliesen für eine erneute Nutzung auf.
Pierres & Jardins d'Autrefois;Bauteilhandel;Passt historische Steinbauteile an, verkauft und verbaut sie in Bauprojekten.
Plateau Circulaire;Bauteilhandel;Baut Bauteile schonend aus, bereitet sie auf und verkauft sie einsatzbereit.
Plateforme de réemploi des matériaux de voirie de la Ville de Paris;Bergung;Birgt Straßensteine, arbeitet sie auf und lagert sie für neue Bauvorhaben.
Pouget Consultants;Reuse-Beratung;Berät Bauprojekte, inventarisiert Ressourcen und plant ihren Wiedereinsatz.
PROCLUS;Bauteilhandel;Prüft, erneuert und verkauft technische Gebäudeausrüstung für erneute Nutzung.
Provence Vieux Matériaux Brachet;Bauteilhandel;Restauriert, lagert und verkauft geborgene Baustoffe und historische Bauteile.
R-Place;Reuse-Beratung;Berät Projekte, sucht passende Gebrauchtbauteile und vermittelt sie online.
RAEDIFICARE;Reuse-Beratung;Berät Bauprojekte, inventarisiert Ressourcen und vermittelt sie digital.
Recyclo'Bat;Bauteilhandel;Sammelt Baustoffe, fertigt daraus Möbel und verkauft sie zu solidarischen Preisen.
Reemployez.fr;Material- und Bauteilbeschaffung;Kauft Materialien aus Rückbauvorhaben für eine erneute Verwendung an.
REFAIR Bordeaux;Vermittlungsplattform;Macht verfügbare Bauteile sichtbar und leitet Interessenten zur Übernahme weiter.
REMIX / matériaux réemploi;Reuse-Strategie;Plant Reuse-Prozesse, entwickelt Strategien und schult Baufachleute.
Rewood;Bauteilhandel;Sucht, prüft und verkauft gebrauchtes Holz für anspruchsvolle Bauprojekte.
Réempro;Bauteilhandel;Sucht auf Anfrage gebrauchte Materialien und verkauft sie über einen Onlineshop.
Réhabail;Bauherrschaft;Trieb Reuse voran, bündelte Materialquellen und stellte sie Baufirmen bereit.
Résilience;Referenzprojekt;Nutzt gebrauchte Fenster, Leuchten, Sanitärteile und Erdblöcke erneut.
Saint Emilion Matériaux;Bauteilhandel;Berät, schneidet und verkauft historische Steinbauteile für Bauprojekte.
Skop Marketplace;Vermittlungsplattform;Bündelt Angebote gebrauchter Bauteile und verbindet Fachkäufer mit Verkäufern.
SOCOTEC;Technische Prüfung;Prüft Risiken und technische Zulässigkeit wiederverwendeter Bauteile.
Soprema;Ausschreibung und Vergabe;Erstellt Leistungsvorgaben für den Wiedereinsatz von Fassaden- und Dachelementen.
Steel Alive;Vermittlungsplattform;Vermittelt gebrauchte Stahlbauteile über eine spezialisierte Onlineplattform.
Synéthic;Reuse-Beratung / Beschaffungsplanung;Berät Bauherrschaften und entwickelt reuse-taugliche Beschaffungsprozesse.
TEXTIFLOOR;Bauteilhandel;Berät zur Auswahl und liefert gebrauchte Teppich- und PVC-Bodenbeläge.
Toit de Paris;Bauteilhandel;Sortiert Dachbauteile und fertigt daraus Bauelemente und Gestaltungsprodukte.
Tonner Matériaux Anciens;Bauteilhandel;Verkauft historische Steinbauteile, Kamine, Böden und Gusseisenelemente.
Toulouse Métropole;Programmmanagement;Koordiniert Waste2Build und verankert Reuse in der öffentlichen Beschaffung.
Travail & Vie;Selektiver Rückbau;Demontiert, bereitet Bauteile auf und organisiert ihre Wiederverwendungslogistik.
Trost Carrelages Anciens;Bauteilhandel;Sortiert, liefert und verkauft historische Bauprodukte für eine erneute Nutzung.
Upcylight;Funktionsprüfung;Nimmt LED-Leuchten zurück, prüft sie und bereitet sie für erneute Nutzung auf.
Vieux Granits;Anpassung;Passt geborgenen Granit an, lagert ihn und verbaut ihn in Bauprojekten.
Ville de Paris;Bergung;Birgt, lagert und passt Straßensteine für neue Pariser Bauvorhaben an.
55 Great Suffolk Street;Referenzprojekt;Erhält den Bestand und nutzt zu 97 Prozent wiederverwendete Stahlbauteile.
AKT II;Tragwerksplanung;Entwickelte als Tragwerksplaner praktische Ansätze für die Wiederverwendung von Stahl.
Antique Wooden Floors;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Arc Reclamation Ltd;Bergung / Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bergung, Bauteilhandel.
Ashwells Reclaimed Timber;Bergung;Direkt belegt im baulichen Reuse-Kontext: Bergung.
BakerBrown;Architektur / Reuse-Beratung;Plant adaptive Wiederverwendung und erstellt Ressourcenkarten für nutzbare Bauteile.
BDP;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
BedZED;Referenzprojekt;Nutzt wiedergewonnenen Stahl und weitere rückgewonnene Baustoffe.
Brighton Waste House;Referenzprojekt;Waste House wurde tatsächlich mit Abfall- und Überschussmaterial neu gebaut.
Building Spares Market;Vermittlungsplattform;Betreibt einen britischen Online-Marktplatz für gebrauchte und übrige Baumaterialien.
CascadeUp;Referenzprojekt;Besteht aus Massivholzbauteilen, die aus geborgenem Abbruchholz gefertigt wurden.
Cat Fletcher / Freegle;Material- und Bauteilbeschaffung;Beschaffte mit Freegle gebrauchte Materialien für das Brighton Waste House.
Civic Engineers;Reuse-Strategie;Direkt belegt im baulichen Reuse-Kontext: Reuse-Strategie.
Cleveland Steel & Tubes;Bauteilhandel;Kauft und verkauft überschüssigen Stahl für die erneute Nutzung in Bauprojekten.
CS Architectural Salvage;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
E&A Reclamation;Bergung / Fertigung mit Reuse-Material;Direkt belegt im baulichen Reuse-Kontext: Bergung, Fertigung mit Reuse-Material.
Elliott Wood;Tragwerksplanung / Beschaffungsplanung;Plant Tragwerke mit wiedergewonnenem Stahl und organisiert dessen Einsatz.
English Salvage;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Enterprise Centre UEA;Referenzprojekt;Nutzt einen geborgenen Empfangstresen und wiederverwendete Holzbekleidung.
Enviromate;Vermittlungsplattform;Vermittelt überschüssige Baustoffe zum Verkauf, Tausch oder zur kostenlosen Weitergabe.
FORE Partnership;Projektentwicklung;Direkt belegt im baulichen Reuse-Kontext: Projektentwicklung.
Four Bay Structures;Zertifizierung / Aufarbeitung / Baustellenlogistik;Zertifiziert, überarbeitet und liefert gebrauchten Stahl zur Baustelle.
Frome Reclamation Ltd;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
futuREuse directory;Datenplattform;Macht Reuse-Händler und geborgene Baustoffe in einem Verzeichnis auffindbar.
Gardiner & Theobald;Projektsteuerung;Steuert die Initiative zur Beschaffung und Integration wiederverwendeter Stahlbauteile.
Globechain;Rückverfolgbarkeit / Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Rückverfolgbarkeit, Vermittlungsplattform.
Grants of Shoreditch;Bergung / Wiedereinbau;Bergt Naturstein aus Bestandsfassaden und setzt ihn in neuen Fassaden wieder ein.
Hastings Pier Visitor Centre;Referenzprojekt;Verkleidet das Besucherzentrum mit Holz, das den Brand des alten Piers überstand.
Hawkins\Brown;Architektur / Materialpass;Direkt belegt im baulichen Reuse-Kontext: Architektur, Materialpass.
Heyne Tillett Steel / HTS;Tragwerksplanung / Bauteilsuche / Softwareentwicklung;Entwickelt Stockmatcher, um verfügbaren Baustahl für Wiederverwendung zuzuordnen.
Holbein Gardens, London;Referenzprojekt;Erhält die Fassade und nutzt gebrauchten Stahl, Naturstein und Doppelboden.
House of Fraser;Referenzprojekt;Aus dem Gebäude werden 20 Tonnen Stahlträger für Tower Bridge Court geborgen.
London Reclaimed Brick Merchants;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
London Reclamation and Salvage Ltd;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Material Index;Reuse-Audit / Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Reuse-Audit, Vermittlungsplattform.
Material Reuse Portal;Vermittlungsplattform / Datenplattform;Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform, Datenplattform.
Method;Reuse-Beratung;Berät zur Auswahl langlebiger Möbel und zu ihrer Weiternutzung bei Büroumzügen.
Milton Keynes Antiques & Architectural Salvage;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Morgan Sindall;Reuse-Audit;Führt Rückbauaudits durch, um Bauteile für Wiederverwendung zu identifizieren.
National Lottery Heritage Fund;Fördermittelvergabe;Finanziert die Piererneuerung mit erhaltenem und wiederverwendetem Holz.
Opera Property & Asset Management;Projektsteuerung;Steuert die Sanierung mit Bestandserhalt und einem Tragwerk aus gebrauchtem Stahl.
PLP Architecture;Bauherrschaft / Innenarchitektur;Direkt belegt im baulichen Reuse-Kontext: Bauherrschaft, Innenarchitektur.
PLP Architecture London Studio Circular Fit-out;Referenzprojekt;Verwendet 92 Prozent des alten Studioinventars weiter oder gibt es zur Nutzung ab.
Reclaimed Brick Company;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Reclaimed World;Bergung;Direkt belegt im baulichen Reuse-Kontext: Bergung.
ReFrame;Referenzprojekt;Besteht als Bausatz zu mindestens 75 Prozent aus gebrauchtem oder umgenutztem Stahl.
ReLondon;Reuse-Beratung;Direkt belegt im baulichen Reuse-Kontext: Reuse-Beratung.
Reusefully;Reuse-Beratung;Direkt belegt im baulichen Reuse-Kontext: Reuse-Beratung.
Romsey Reclamation;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Roofslates.com;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Roots in the Sky;Referenzprojekt;Erhält Fundamente und Fassade und verbaut 30 Tonnen gebrauchten Stahl.
Salvo Ltd;Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform.
SalvoWEB;Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform.
Simple Works;Wissensvermittlung;Direkt belegt im baulichen Reuse-Kontext: Wissensvermittlung.
Stax Reclamation;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Studierende, Schulkinder und Freiwillige;Bauausführung;Baut das Waste House aus gebrauchten und überschüssigen Materialien mit.
Studio PDP;Reuse-Planung;Direkt belegt im baulichen Reuse-Kontext: Reuse-Planung.
Surplus Building & Plumbing Materials;Vermittlungsplattform;Vermittelt überschüssige und gebrauchte Bau- und Installationsmaterialien.
Sustainability Yard;Vermittlungsplattform;Vermittelt überschüssige Baustoffe zum Verkauf oder zur kostenlosen Weitergabe.
TFT Consultants;Reuse-Beratung / Reuse-Planung / Umweltbewertung;Berät Bauprojekte zu Wiederverwendung und bewertet Material- und Kohlenstoffwirkungen.
The Antique Oak Flooring Company;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
The Architectural Forum;Bergung;Direkt belegt im baulichen Reuse-Kontext: Bergung.
The Built Environment Trust;Pilotierung;Erprobte mit Projektpartnern die Anwendung zirkulärer Prinzipien im Hochbau.
The Engineers Reuse Collective (TERC);Netzwerkkoordination;Direkt belegt im baulichen Reuse-Kontext: Netzwerkkoordination.
The Old Slate Yard;Bauteilhandel;Verkauft gebrauchte Ziegel und weitere historische Baustoffe.
The Reclaimed Company;Bauteilhandel;Kauft und verkauft gebrauchte Baustoffe und historische Bauteile.
Timber Square London;Referenzprojekt;Erhält Keller und Tragwerk des Print Building und integriert sie in den Neubau.
UCL Circular Economy Lab;Angewandte Forschung;Direkt belegt im baulichen Reuse-Kontext: Angewandte Forschung.
UK CLT;Fertigung mit Reuse-Material;Direkt belegt im baulichen Reuse-Kontext: Fertigung mit Reuse-Material.
University of Brighton;Gebäudebetrieb;Direkt belegt im baulichen Reuse-Kontext: Gebäudebetrieb.
University of East Anglia;Bauherrschaft;Beauftragt und nutzt ein Gebäude mit Bauteilen aus dem eigenen Chemielabor.
Urban Miners;Demontage / Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Demontage, Bauteilhandel.
Warp It;Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform.
Watling Reclamation Yard;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Webb Yates Engineers;Reuse-Planung / Tragwerksplanung;Plant die tragwerksgerechte Integration gebrauchter Stahlträger in den Umbau.
Wells Reclamation;Lagerung / Bauteilhandel;Lagert und verkauft historische Bauteile sowie wiedergewonnene Baumaterialien.
Whitby Wood;Netzwerkkoordination;Direkt belegt im baulichen Reuse-Kontext: Netzwerkkoordination.
Willmott Dixon;Projektsteuerung / Reuse-Planung / Bauausführung;Identifiziert Reuse-Bauteile und verbaut Ziegel, Stahl und Ausstattung erneut.
Wilsons Yard;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Womack Building Supplies;Bergung / Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bergung, Bauteilhandel.
ABN AMRO;Bauherrschaft;Direkt belegt im baulichen Reuse-Kontext: Bauherrschaft.
ABT;Methodenentwicklung;Direkt belegt im baulichen Reuse-Kontext: Methodenentwicklung.
Alliander / Liander;Weitergabe;Direkt belegt im baulichen Reuse-Kontext: Weitergabe.
Aveco de Bondt;Reuse-Beratung;Direkt belegt im baulichen Reuse-Kontext: Reuse-Beratung.
Baars & Bloemhoff;Materialberatung / Bauteilhandel;Berät zu zirkulären Innenräumen und bietet Urban-Mining-Materialien an.
Ballast Nedam;Demontagegerechtes Design;Direkt belegt im baulichen Reuse-Kontext: Demontagegerechtes Design.
Bewohnerinitiative Boschgaard;Bauherrschaft;Direkt belegt im baulichen Reuse-Kontext: Bauherrschaft.
BioPartner 5;Referenzprojekt;Nutzt fast das gesamte Stahltragwerk eines früheren Labors und weitere Altbauteile erneut.
BlueCity Offices;Referenzprojekt;Transformiert ein früheres Schwimmbad mit rund 90 Prozent gebrauchten Materialien.
Bork (Stuifzand);Bergung / Weitergabe;Direkt belegt im baulichen Reuse-Kontext: Bergung, Weitergabe.
Bouwbedrijven Jongen;Wiedereinbau;Direkt belegt im baulichen Reuse-Kontext: Wiedereinbau.
bureau SLA;Architektur / Reuse-Planung;Direkt belegt im baulichen Reuse-Kontext: Architektur, Reuse-Planung.
Buurman;Bauteilhandel / Weiterbildung;Verkauft gebrauchtes Holz und vermittelt Wiederverwendung in Kursen und Workshops.
cepezed;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
Circl;Referenzprojekt;Verwendet überwiegend gebrauchte, demontierbare und erneut nutzbare Bauteile.
Circular Built Environment Hub / TU Delft;Angewandte Forschung;Direkt belegt im baulichen Reuse-Kontext: Angewandte Forschung.
City of Utrecht;Programmmanagement;Direkt belegt im baulichen Reuse-Kontext: Programmmanagement.
Construction Management and Engineering / University of Twente;Angewandte Forschung;Entwickelt Informationsmethoden für Bergung, Reuse-Entscheidungen und reversibles Bauen.
De Ceuvel;Referenzprojekt;Nutzt alte Hausboote, Pfähle und weitere Restmaterialien erneut.
De Groot & Visser;Modulare Systeme;Direkt belegt im baulichen Reuse-Kontext: Modulare Systeme.
DuSpot;Vermittlungsplattform;Erfasst und vermittelt Angebot und Nachfrage nach gebrauchten Baustoffen digital.
Dusseldorp;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
DWT Groep;Beschaffungsplanung;Prüft verfügbare zirkuläre Materialien früh und plant ihren Einsatz im Projekt.
Excess Materials Exchange (EME);Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform.
GP Groot recycling (Heiloo);Lagerung / Vermittlung;Direkt belegt im baulichen Reuse-Kontext: Lagerung, Vermittlung.
Gubbels (Helvoirt);Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
GWW Circulair (Broek op Langedijk);Bauteilhandel;Verkauft neue und gebrauchte Infrastrukturbauteile über einen Onlineshop.
Handelsonderneming Klepper;Bauteilhandel;Verkauft gebrauchte Bauhölzer, Fenster, Türen und weitere Bauteile.
HEEMwonen;Projektsteuerung;Steuert gemeinsam die Reuse-Ziele und Grundsätze des SUPERLOCAL-Expogebäudes.
Hoogeboom;Lagerung / Bauteilhandel;Lagert und verkauft gebrauchte Baustoffe in zwei zirkulären Bauteilhubs.
IBA Parkstad;Projektsteuerung;Steuert gemeinsam die Reuse-Ziele und Grundsätze des SUPERLOCAL-Expogebäudes.
IMd Raadgevende Ingenieurs;Tragwerksplanung / Demontagegerechtes Design / Normung;Plant Reuse-Tragwerke, lösbare Verbindungen und wirkt an der NTA 8713 mit.
Insert Marketplace;Vermittlungsplattform;Macht gebrauchte Bauteile auffindbar und verbindet Anbieter mit Käufern.
Jan van IJken Oude Bouwmaterialen;Aufarbeitung / Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Aufarbeitung, Bauteilhandel.
Jeugdkliniek Ithaka;Referenzprojekt;Verwendet geborgene Türen, Balken, Fensterrahmen und Holzschindeln im Klinikneubau.
Kraaijvanger Architects;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
Lagemaat Heerde;Selektiver Rückbau;Direkt belegt im baulichen Reuse-Kontext: Selektiver Rückbau.
lcp-circulair;Projektentwicklung;Entwickelt Projekte zur hochwertigen Wiederverwendung geborgener Bauteile.
Leiden University;Weitergabe;Direkt belegt im baulichen Reuse-Kontext: Weitergabe.
Liander;Referenzprojekt;Verwendet rund 85 Prozent der vorhandenen Materialien zweier Gebäude erneut.
Madaster / Materialpass-Kontext;Materialpass / Datenplattform;Dokumentiert Herkunft, Qualität und Lösbarkeit von Bauteilen in Materialpässen.
Maurer United;Architektur / Reuse-Planung;Entwirft das Expogebäude konsequent anhand verfügbarer gebrauchter Bauteile.
Montessori Maassluis;Referenzprojekt;Verwendet gebrauchte Betonhohldielen in der hybriden Schulkonstruktion.
New Horizon;Reuse-Beratung / Bauteilinventarisierung / Wertermittlung;Scannt Gebäude und bewertet Bauteile und Materialwerte für Wiederverwendung.
New Horizon UM;Bauteilinventarisierung;Direkt belegt im baulichen Reuse-Kontext: Bauteilinventarisierung.
Overtreders W;Architektur / Demontagegerechtes Design;Direkt belegt im baulichen Reuse-Kontext: Architektur, Demontagegerechtes Design.
Pieters;Tragwerksplanung / Demontagegerechtes Design;Plant Tragwerke mit demontierbaren Verbindungen für eine spätere Wiederverwendung.
Popma ter Steege Architecten / PTSA;Wissensvermittlung;Vermittelt praxiserprobtes Wissen zum Entwerfen mit wiederverwendeten Bauteilen.
Provincie Gelderland;Richtlinienentwicklung;Direkt belegt im baulichen Reuse-Kontext: Richtlinienentwicklung.
RAU;Architektur / Materialpass;Direkt belegt im baulichen Reuse-Kontext: Architektur, Materialpass.
Regts - Antieke Tegels;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Repurpose;Reuse-Beratung / Bauteilinventarisierung / Vermittlungsplattform;Scannt Bestandsgebäude und vermittelt wiederverwendbare Bauprodukte in neue Projekte.
ReSource Marktplaats;Vermittlungsplattform / Bestandsdatenmanagement;Digitalisiert Bestände und vermittelt gebrauchte Baustoffe zwischen Organisationen.
Rijkswaterstaat;Weitergabe;Direkt belegt im baulichen Reuse-Kontext: Weitergabe.
Rothuizen Architecten / Taco Tuinhof;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
Sagro used product shop ('s-Heerenhoek);Bauteilhandel;Verkauft gebrauchte Materialien und Produkte aus eigenen Rückbauprojekten online.
Snellen (Rijsbergen);Bergung / Bauteilhandel;Birgt Bauteile aus Rückbauprojekten und verkauft sie online und im Showroom.
Soekijad;Bauteilhandel;Kauft und verkauft alte Dachziegel, Mauersteine und weitere Bauteile.
Stadsmijn (Achterhoek);Fertigung mit Reuse-Material;Direkt belegt im baulichen Reuse-Kontext: Fertigung mit Reuse-Material.
Staedion;Materialpass;Direkt belegt im baulichen Reuse-Kontext: Materialpass.
Stiho;Bauteilhandel;Verkauft gebrauchte Fenster, Beschläge und Holzprodukte als Urban-Mining-Materialien.
SUPERLOCAL;Referenzprojekt;Nutzt Bauteile aus bestehenden Wohnblöcken für neue Häuser und Teilwiederaufbau.
SUPERLOCAL Expogebouw;Referenzprojekt;Besteht zu 95 Prozent aus Bauteilen einer rückgebauten Wohnhochhausanlage.
Superuse Studios / 2012Architecten;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
SURD Research Centre / Zuyd;Methodenentwicklung / Angewandte Forschung;Entwickelt und erprobt Methoden für Wiederverwendung und zirkuläre Bautechnologien.
Ter Velde & Den Besten;Bauteilinventarisierung / Digitale Bestandserfassung;Erfasst Circl per 3D-Scan und erstellt daraus die Bauteil-Ernteliste.
