id;cc;von;richtung;nach;beziehungsart;beschreibung;dauer;dauer_status;dauer_begruendung;dauer_warnung;type_correction;evidence_quote;evidence_url;dauer_evidence_quote;dauer_evidence_url
AT:K023;AT;Ferry-Dusika-Stadion Rückbau;B→A;Job-TransFair gemeinnützige GmbH;Projektbeteiligung, Aufgabe unklar;"Beteiligung; genaue Rolle noch offen.";projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair);https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair);https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
AT:K024;AT;Ferry-Dusika-Stadion Rückbau;B→A;pulswerk GmbH;Rückbau;Rückbau.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
AT:K029;AT;Ferry-Dusika-Stadion Rückbau;B→A;WSE Wiener Standortentwicklung GmbH;Betrieb;Projektsteuerung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Umgesetzt wird das Projekt vom Bauprojektmanagement-Team der WSE.;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Umgesetzt wird das Projekt vom Bauprojektmanagement-Team der WSE.;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
BE:K003;BE;Chiro d’Itterbeek;B→A;Franck;Bauteillieferung;Lieferte Reuse-Ziegel.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;The facade, for example, is entirely made of reusable bricks provided by Jan Franck.;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro;The facade, for example, is entirely made of reusable bricks provided by Jan Franck.;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro
BE:K005;BE;Chiro d’Itterbeek;B→A;RotorDC;Bauteillieferung;Lieferte Reuse-Bauteile.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;The interior of the sanitary block is mainly made of reuse materials sold by RotorDC.;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro;The interior of the sanitary block is mainly made of reuse materials sold by RotorDC.;https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro
BE:K006;BE;BLAF Architecten;A→B;Maison DnA;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;dnA House / BLAF Architecten (Architekt: BLAF Architecten);https://www.archdaily.com/423660/dna-house-blaf-architecten;dnA House / BLAF Architecten (Architekt: BLAF Architecten);https://www.archdaily.com/423660/dna-house-blaf-architecten
BE:K012;BE;Maison Vignette;B→A;Franck Bricks;Bauteillieferung;Lieferte Reuse-Ziegel.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Brique: Grote Boomse Steen, provenant de chez Franck;https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme;Brique: Grote Boomse Steen, provenant de chez Franck;https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme
BE:K023;BE;Musée de Folklore de Mouscron;B→A;Bureau Bouwtechniek;Fachplanung;Tragwerksplanung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;L'équipe formée par V+ (architecture), Projectiles (architecture, muséographie), Taktyk (paysage), Greisch, Daidalos Peutz et Bureau Bouwtechniek (bureaux d'études);https://www.architectura.be/fr/actualite/un-nouvel-ecrin-pour-le-musee-de-folklore-de-mouscron;L'équipe formée par V+ (architecture), Projectiles (architecture, muséographie), Taktyk (paysage), Greisch, Daidalos Peutz et Bureau Bouwtechniek (bureaux d'études);https://www.architectura.be/fr/actualite/un-nouvel-ecrin-pour-le-musee-de-folklore-de-mouscron
BE:K027;BE;Recypark Demets;B→A;51N4E;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure;https://rotordb.org/en/projects/recypark-anderlecht;51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure;https://rotordb.org/en/projects/recypark-anderlecht
BE:K028;BE;Recypark Demets;B→A;Rotor;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure;https://rotordb.org/en/projects/recypark-anderlecht;51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure;https://rotordb.org/en/projects/recypark-anderlecht
BE:K037;BE;Zinneke;B→A;Zinneke asbl;Bauherrschaft;Bauherrschaft.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.;https://rotordb.org/en/projects/zinneke-feder-masui4ever;In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.;https://rotordb.org/en/projects/zinneke-feder-masui4ever
BE:K041;BE;Zinneke;B→A;ERDF / FEDER Brüssel-Hauptstadt;Förderung;Förderung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;This project was made possible thanks to an ERDF subvention from the Brussels-Capital Region.;https://rotordb.org/en/projects/zinneke-feder-masui4ever;This project was made possible thanks to an ERDF subvention from the Brussels-Capital Region.;https://rotordb.org/en/projects/zinneke-feder-masui4ever
BE:K042;BE;Zinneke;B→A;Rotor;Fachplanung;Fachplanung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.;https://rotordb.org/en/projects/zinneke-feder-masui4ever;In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.;https://rotordb.org/en/projects/zinneke-feder-masui4ever
BE:K043;BE;Rotor;A→B;RotorDC;Gründung;Gründung als Spin-off.;einmalig;checked;Der Beleg beschreibt einen abgeschlossenen Einzelakt.;;;Please check our spin-off RotorDC's website.;https://rotordb.org/en/projects/oxy-centre-monnaie;Please check our spin-off RotorDC's website.;https://rotordb.org/en/projects/oxy-centre-monnaie
BE:K046;BE;Opalis;B→A;Brussels Environment;Trägerschaft;Unterstützte die Entwicklung.;einmalig;checked;Der Beleg beschreibt einen abgeschlossenen Einzelakt.;;;Opalis was developed with the support of Brussels Environment.;https://opalis.eu/en/about;Opalis was developed with the support of Brussels Environment.;https://opalis.eu/en/about
BE:K072;BE;Embuild;—;Buildwise;Zusammenarbeit, Art unklar;Entwickelten das Tool Circulair Gebouwd gemeinsam.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Embuild Vlaanderen en Buildwise hebben op 6 december ... de nieuwe tool 'Circulair Gebouwd' voorgesteld.;https://www.embuildvlaanderen.be/press-room/circulair-gebouwd/;Embuild Vlaanderen en Buildwise hebben op 6 december ... de nieuwe tool 'Circulair Gebouwd' voorgesteld.;https://www.embuildvlaanderen.be/press-room/circulair-gebouwd/
BE:K073;BE;Buildwise;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Konsortialpartner;Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;The work was performed by VITO, Buildwise, UHasselt and VUB.;https://researchportal.vub.be/en/publications/aanbevelingen-veranderingsgericht-verbouwen-eindrapportage-deelop;The work was performed by VITO, Buildwise, UHasselt and VUB.;https://researchportal.vub.be/en/publications/aanbevelingen-veranderingsgericht-verbouwen-eindrapportage-deelop
BE:K075;BE;BauMaB Kassel / Bauteilbörse Kassel;B→A;Stadt Kassel;Trägerschaft;Initiierte in Klimastrategie.;einmalig;checked;Der Beleg beschreibt einen abgeschlossenen Einzelakt.;;;Das Projekt wurde im Rahmen der Klimaschutzstrategie der Stadt Kassel initiiert.;https://baumab-kassel.de/konzept/;Das Projekt wurde im Rahmen der Klimaschutzstrategie der Stadt Kassel initiiert.;https://baumab-kassel.de/konzept/
BE:K086;BE;OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);A→B;Tracimat vzw;Regulatorische Anerkennung;Erkannte Tracimat als Sloopbeheerorganisation an.;dauerhaft;source_reopened;OVAM nennt Tracimat aktuell als einzige anerkannte Stelle.;;OVAM nennt Tracimat als einzige anerkannte Sloopbeheerorganisation.;Voor de sloopopvolging worden de standaarddocumenten van Tracimat gebruikt.;https://ovam.vlaanderen.be/bouw-sloopopvolging;Tracimat is momenteel de enige erkende sloopbeheerorganisatie.;https://ovam.vlaanderen.be/bouw-sloopopvolging
CH:K001;CH;Ressourcerie Lausanne / Matériuum / R-UUL;B→A;Matériuum;Konzernbindung;Führung als Zweigbetrieb.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;la Ressourcerie Matériuum Lausanne (RUUL) permet de stocker et de prolonger la durée de vie d'une grande quantité de matières;https://materiuum.ch/ressourcerie-lausanne-magasin-shop/;la Ressourcerie Matériuum Lausanne (RUUL) permet de stocker et de prolonger la durée de vie d'une grande quantité de matières;https://materiuum.ch/ressourcerie-lausanne-magasin-shop/
CH:K002;CH;Bauteilbörse Basel;—;Gruner ReUse;Gemeinsames Bauvorhaben;Inventarisierung und Vermarktung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.;https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live;Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.;https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live
CH:K003;CH;Bauteilbörse Basel;B→A;useagain / Bauteilclick;Dienstleistungsbeziehung;Stellt Marktplatz für ihren Bauteilverkauf.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.;https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live;Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.;https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live
CH:K004;CH;Bauteilvermittlung Zürichsee-Oberland;B→A;Stiftung Chance BauTeile Zürich / Glattbrugg;Dienstleistungsbeziehung;Prüft, demontiert und transportiert.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;Fachleute der Stiftung Chance prüfen die Bauteile, demontieren sie und übernehmen den Transport.;https://www.btvz.ch/portraet/;Fachleute der Stiftung Chance prüfen die Bauteile, demontieren sie und übernehmen den Transport.;https://www.btvz.ch/portraet/
CH:K006;CH;useagain / Bauteilclick;A→B;Bauteilladen Winterthur;Dienstleistungsbeziehung;Bauteilvermittlung.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;promotes direct exchange between various organisations, such as Bauteilbörse Basel, BauTeile Zürich and Bauteilladen Winterthur;https://library-of-reuse.ch/pioneers/useagain;promotes direct exchange between various organisations, such as Bauteilbörse Basel, BauTeile Zürich and Bauteilladen Winterthur;https://library-of-reuse.ch/pioneers/useagain
CH:K007;CH;ELYS Kultur- und Gewerbezentrum Basel;B→A;Zirkular;Projektbeteiligung, Aufgabe unklar;"Beteiligung; genaue Rolle noch offen.";projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;They received a lot of attention and were the trigger for the foundation of Zirkular by the involved planners.;https://zirkular.net/en/project/culture-commercial-center-elys;They received a lot of attention and were the trigger for the foundation of Zirkular by the involved planners.;https://zirkular.net/en/project/culture-commercial-center-elys
CH:K008;CH;baubüro in situ;A→B;Grubenstrasse 29;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Architekten: baubüro in situ ag;https://www.bauwelt.de/rubriken/bauten/Werkhof-29-Zuerich-baubuero-in-situ-ag-4385137.html;Architekten: baubüro in situ ag;https://www.bauwelt.de/rubriken/bauten/Werkhof-29-Zuerich-baubuero-in-situ-ag-4385137.html
CH:K009;CH;baubüro in situ;A→B;K.118 Winterthur;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Architektur: Baubüro in situ;https://circularmaterialsystems.com/de/case/06_k-118/;Architektur: Baubüro in situ;https://circularmaterialsystems.com/de/case/06_k-118/
CH:K011;CH;baubüro in situ;—;RE-WIN;Zusammenarbeit, Art unklar;Unterstützten gemeinsam das Netzwerk.;dauerhaft;source_reopened;Der RE-WIN-Jahresbericht führt baubüro in situ als Partner.;;;Zusammenarbeit mit Baubüro in situ;https://re-win.ch/verein/ueber/;Partner:innen Schweiz und Liechtenstein: Baubüro in situ AG, Zürich;https://re-win.ch/wordpress/wp-content/uploads/2024/06/240526_Jahresbericht-Verein-RE-WIN_2024_final.pdf
CH:K012;CH;baubüro in situ;—;Pascal Flammer Architekten;Gemeinsames Bauvorhaben;Wählten Reuse-Bauteile für Hobelwerk Haus D aus.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;untersuchten in situ und PFA 60 Elemente, aus denen schlussendlich 21 für Erwerb und Einbau ausgewählt wurden;https://www.espazium.ch/de/aktuelles/winterthur-hobelwerk-architektur-reuse-flammerarchitkten-nettonull;untersuchten in situ und PFA 60 Elemente, aus denen schlussendlich 21 für Erwerb und Einbau ausgewählt wurden;https://www.espazium.ch/de/aktuelles/winterthur-hobelwerk-architektur-reuse-flammerarchitkten-nettonull
CH:K013;CH;Grubenstrasse 29;B→A;Modissa Immobilien AG;Bauherrschaft;Bauherrschaft.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Auftraggeber (Client): Modissa Immobilien AG;https://zirkular.net/de/projekt/grubenstrasse-29/;Auftraggeber (Client): Modissa Immobilien AG;https://zirkular.net/de/projekt/grubenstrasse-29/
CH:K015;CH;Grubenstrasse 29;B→A;Tschudin Rückbau und Demontagen GmbH;Rückbau;Rückbau.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Material Suppliers (Wiederverwendete Bauteile): Tschudin Rückbau und Demontagen GmbH;https://zirkular.net/de/projekt/grubenstrasse-29/;Material Suppliers (Wiederverwendete Bauteile): Tschudin Rückbau und Demontagen GmbH;https://zirkular.net/de/projekt/grubenstrasse-29/
CH:K016;CH;Grubenstrasse 29;B→A;Zirkular;Bauteilinventarisierung;Bauteilinventarisierung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Zirkular Projektteam: Marc Angst, Leonard Schönfelder;https://zirkular.net/de/projekt/grubenstrasse-29/;Zirkular Projektteam: Marc Angst, Leonard Schönfelder;https://zirkular.net/de/projekt/grubenstrasse-29/
CH:K017;CH;Recyclingzentrum Juch-Areal;B→A;Entsorgung + Recycling Zürich (ERZ);Betrieb;Betrieb.;dauerhaft;checked;Der Beleg nennt ERZ als Eigentümervertretung.;;;Eigentümervertretung Entsorgung + Recycling Zürich (ERZ);https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Eigentümervertretung Entsorgung + Recycling Zürich (ERZ);https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html
CH:K018;CH;Recyclingzentrum Juch-Areal;B→A;Weber + Brönnimann AG;Fachplanung;Tragwerksplanung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Bauingenieurwesen Weber + Brönnimann AG, Bern;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Bauingenieurwesen Weber + Brönnimann AG, Bern;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html
CH:K019;CH;Recyclingzentrum Juch-Areal;B→A;manoa Landschaftsarchitekten;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Landschaftsarchitektur manoa Landschaftsarchitekten GmbH, Meilen;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Landschaftsarchitektur manoa Landschaftsarchitekten GmbH, Meilen;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html
CH:K020;CH;Recyclingzentrum Juch-Areal;B→A;Graber Pulver;Entwurf;Entwurf.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Generalplanung und Architektur Graber Pulver Architekt:innen AG, Zürich;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Generalplanung und Architektur Graber Pulver Architekt:innen AG, Zürich;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html
CH:K021;CH;K.118 Winterthur;B→A;Stiftung Abendrot / Vorsorgestiftung Abendrot;Bauherrschaft;Bauherrschaft.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Client: Stiftung Abendrot;https://zirkular.net/en/project/building-k-118/;Client: Stiftung Abendrot;https://zirkular.net/en/project/building-k-118/
CH:K022;CH;K.118 Winterthur;B→A;Institut Konstruktives Entwerfen (IKE) / ZHAW;Forschungsbegleitung;Forschungsbegleitung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;mit dem Projekt K.118 den derzeit grössten Neubau der Schweiz, der zu grossen Teilen aus wiederverwendeten Bauteilen konzipiert ist;https://www.zhaw.ch/de/forschung/projekt/71771;mit dem Projekt K.118 den derzeit grössten Neubau der Schweiz, der zu grossen Teilen aus wiederverwendeten Bauteilen konzipiert ist;https://www.zhaw.ch/de/forschung/projekt/71771
CH:K023;CH;K.118 Winterthur;B→A;Oberli Ingenieurbau AG;Fachplanung;Tragwerksplanung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Civil engineer: Oberli Ingenieurbau AG;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ;Civil engineer: Oberli Ingenieurbau AG;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ
CH:K024;CH;K.118 Winterthur;B→A;Josef Kolb AG;Fachplanung;Tragwerksplanung.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Timber Engineering: Josef Kolb AG;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ;Timber Engineering: Josef Kolb AG;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ
