Von;Nach;Beschreibung
Gardiner & Theobald;55 Great Suffolk Street;Der Akteur übernahm eine benannte Fachplanung.
Gardiner & Theobald;BedZED;Der Akteur übernahm eine benannte Fachplanung.
Grants of Shoreditch;PLP Architecture;Die Quelle belegt eine konkrete Lieferbeziehung.
Hawkins\Brown;55 Great Suffolk Street;Der Akteur übernahm den architektonischen Entwurf.
Cleveland Steel & Tubes;Heyne Tillett Steel / HTS;Cleveland liefert wiederverwendeten Stahl für HTS-Projekte.
Heyne Tillett Steel / HTS;The Engineers Reuse Collective (TERC);HTS ist Gründungsmitglied des Engineers Reuse Collective.
Method;PLP Architecture;Beide arbeiteten nachweislich am selben Bauvorhaben.
Opera Property & Asset Management;55 Great Suffolk Street;Der Akteur übernahm eine benannte Fachplanung.
Elliott Wood;The Engineers Reuse Collective (TERC);Elliott Wood ist Gründungsmitglied von TERC.
Webb Yates Engineers;The Engineers Reuse Collective (TERC);Webb Yates ist Gründungsmitglied von TERC.
Whitby Wood;The Engineers Reuse Collective (TERC);Die Quelle belegt die Gründungsbeziehung.
Leiden University;BioPartner 5;Der Akteur lieferte wiederverwendete Bauteile.
Popma ter Steege Architecten / PTSA;BioPartner 5;Der Akteur übernahm den architektonischen Entwurf.
Vic Obdam Staalbouw;BioPartner 5;Der Akteur führte benannte Bauleistungen aus.
Ballast Nedam;The Green House Utrecht;Der Akteur führte benannte Bauleistungen aus.
De Groot & Visser;The Green House Utrecht;Der Akteur führte benannte Bauleistungen aus.
Pieters;The Green House Utrecht;Der Akteur übernahm eine benannte Fachplanung.
Superuse Studios / 2012Architecten;Villa Welpeloo Enschede;Der Akteur übernahm den architektonischen Entwurf.
Bewohnerinitiative Boschgaard;Woongroep Boschgaard;Der Akteur verantwortete das Vorhaben als Bauherr.
Zayaz;Woongroep Boschgaard;Der Akteur verantwortete das Vorhaben als Bauherr.
Rijkswaterstaat;Jeugdkliniek Ithaka;Der Akteur lieferte wiederverwendete Bauteile.
ABT;Jeugdkliniek Ithaka;Der Akteur übernahm eine benannte Fachplanung.
DWT Groep;Jeugdkliniek Ithaka;Der Akteur führte benannte Bauleistungen aus.
Rothuizen Architecten / Taco Tuinhof;Jeugdkliniek Ithaka;Der Akteur übernahm den architektonischen Entwurf.
Madaster / Materialpass-Kontext;Liander;Der Akteur inventarisierte Bauteile und Materialien.
Alliander / Liander;Liander;Der Akteur verantwortete das Vorhaben als Bauherr.
RAU;Liander;Der Akteur verantwortete das Vorhaben als Bauherr.
Kraaijvanger Architects;Montessori Maassluis;Der Akteur übernahm den architektonischen Entwurf.
SURD Research Centre / Zuyd;SUPERLOCAL Expogebouw;Der Akteur begleitete das Vorhaben wissenschaftlich.
HEEMwonen;SUPERLOCAL Expogebouw;Der Akteur verantwortete das Vorhaben als Bauherr.
IBA Parkstad;SUPERLOCAL Expogebouw;Der Akteur entwickelte das Wiederverwendungskonzept.
Bouwbedrijven Jongen;SUPERLOCAL Expogebouw;Der Akteur führte benannte Bauleistungen aus.
Dusseldorp;SUPERLOCAL Expogebouw;Der Akteur lieferte wiederverwendete Bauteile.
Maurer United;SUPERLOCAL Expogebouw;Der Akteur übernahm den architektonischen Entwurf.
ABN AMRO;Circl;Der Akteur betrieb das Vorhaben oder die Einrichtung.
ABN AMRO;Victory Group;"Die Zusammenarbeit ist belegt; ihre Form bleibt unklar."
cepezed;The Green House Utrecht;Der Akteur übernahm den architektonischen Entwurf.
cepezed;lcp-circulair;cepezedprojects gründete lcp-circulair gemeinsam mit Lagemaat.
IMd Raadgevende Ingenieurs;BioPartner 5;Der Akteur übernahm den architektonischen Entwurf.
IMd Raadgevende Ingenieurs;Montessori Maassluis;IMd gehörte zum Planungsteam von Montessori Maassluis.
Lagemaat Heerde;lcp-circulair;Die Quelle belegt die Gründungsbeziehung.
Superuse Studios / 2012Architecten;New Horizon UM;Die Quelle belegt eine formalisierte Zusammenarbeit.
Institut Konstruktives Entwerfen (IKE) / ZHAW;INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);Beide erarbeiteten den Leitfaden Reuse Stahl-/Stahlbetonbauteile.
NEST Research and Innovation Platform / Empa–Eawag;UMAR Unit;Der Akteur begleitete das Vorhaben wissenschaftlich.
useagain / Bauteilclick;Bauteilbörse Basel;Die Quelle belegt eine konkrete Auftragsleistung.
Bauteilbörse Basel;Gruner ReUse;Beide arbeiteten nachweislich am selben Bauvorhaben.
Stiftung Chance BauTeile Zürich / Glattbrugg;Bauteilvermittlung Zürichsee-Oberland;Stiftung Chance übernimmt Prüfung, Ausbau und Transport für die BTVZ.
Matériuum;Ressourcerie Lausanne / Matériuum / R-UUL;Die Quelle belegt die organisatorische Zugehörigkeit.
useagain / Bauteilclick;Bauteilladen Winterthur;Die Quelle belegt eine konkrete Auftragsleistung.
Monotti Ingegneri;ELEMENTA Walkeweg;Monotti Ingegneri übernahm die Tragwerksplanung für ELEMENTA.
Lindner SE;UMAR Unit;Der Akteur lieferte wiederverwendete Bauteile.
Zirkular;ELYS Kultur- und Gewerbezentrum Basel;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
Modissa Immobilien AG;Grubenstrasse 29;Der Akteur verantwortete das Vorhaben als Bauherr.
Tschudin Rückbau und Demontagen GmbH;Grubenstrasse 29;Der Akteur führte den selektiven Rückbau aus.
Zirkular;Grubenstrasse 29;Der Akteur inventarisierte Bauteile und Materialien.
Institut Konstruktives Entwerfen (IKE) / ZHAW;K.118 Winterthur;Der Akteur begleitete das Vorhaben wissenschaftlich.
Stiftung Abendrot / Vorsorgestiftung Abendrot;K.118 Winterthur;Der Akteur verantwortete das Vorhaben als Bauherr.
Josef Kolb AG;K.118 Winterthur;Der Akteur übernahm eine benannte Fachplanung.
Oberli Ingenieurbau AG;K.118 Winterthur;Der Akteur übernahm eine benannte Fachplanung.
Wetter AG;K.118 Winterthur;Der Akteur führte benannte Bauleistungen aus.
Zirkular;K.118 Winterthur;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
Amt für Hochbauten und Immobilien Stadt Zürich;Kindergarten Mööslistrasse;Der Akteur verantwortete das Vorhaben als Bauherr.
aik Architektur + Ingenieur Kollektiv;Kindergarten Mööslistrasse;Der Akteur übernahm eine benannte Fachplanung.
Ingenieurbureau Heierli AG;Kindergarten Mööslistrasse;Der Akteur übernahm eine benannte Fachplanung.
Schmidiger + Rosasco AG;Kindergarten Mööslistrasse;Der Akteur übernahm eine benannte Fachplanung.
Zirkular;Kindergarten Mööslistrasse;Der Akteur übernahm den architektonischen Entwurf.
PIRMIN JUNG Schweiz AG;LYSP8 Basel;Der Akteur übernahm eine benannte Fachplanung.
Structural Xploration Lab (SXL) / EPFL;Re:Crete footbridge;Der Akteur führte benannte Bauleistungen aus.
Entsorgung + Recycling Zürich (ERZ);Recyclingzentrum Juch-Areal;Der Akteur betrieb das Vorhaben oder die Einrichtung.
Graber Pulver;Recyclingzentrum Juch-Areal;Der Akteur übernahm den architektonischen Entwurf.
manoa Landschaftsarchitekten;Recyclingzentrum Juch-Areal;Der Akteur übernahm den architektonischen Entwurf.
Weber + Brönnimann AG;Recyclingzentrum Juch-Areal;Der Akteur übernahm eine benannte Fachplanung.
Digvis GmbH;Bauteilkatalog Immobilien Basel-Stadt;Die Quelle belegt eine konkrete Auftragsleistung.
baubüro in situ;RE-WIN;Beide unterstützen gemeinsam das RE-WIN-Netzwerk.
baubüro in situ;Grubenstrasse 29;baubüro in situ entwarf das Projekt Grubenstrasse 29.
baubüro in situ;K.118 Winterthur;baubüro in situ entwarf das Projekt K.118.
baubüro in situ;Pascal Flammer Architekten;Beide arbeiteten nachweislich am selben Bauvorhaben.
Zirkular;Bauteilkatalog Immobilien Basel-Stadt;Die Quelle belegt eine konkrete Auftragsleistung.
Zirkular;RE-WIN;Die Quelle belegt die Gründungsbeziehung.
Zirkular;Studio Trachsler Hoffmann;Beide arbeiteten nachweislich am selben Bauvorhaben.
Stiftung Habitat;LYSP8 Basel;Der Akteur betrieb das Vorhaben oder die Einrichtung.
Claus Asam;Mehrow Pilot House;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
Professur Nachhaltiges Bauen / KIT;Baukreisel e.V.;Die Quelle belegt eine formalisierte Zusammenarbeit.
Abfallwirtschaftsbetriebe Münster;AWM Münster – zirkulärer Büroumbau;Der Akteur verantwortete das Vorhaben als Bauherr.
Historische Bauelemente (Marwitz);Unternehmerverband Historische Baustoffe e.V. (UHB);Mitglied im Unternehmerverband Historische Baustoffe (UHB).
Historische Baustoffe Ostalb (Söhnstetten);Unternehmerverband Historische Baustoffe e.V. (UHB);Mitglied im Unternehmerverband Historische Baustoffe (UHB).
Concular;AWM Münster – zirkulärer Büroumbau;Der Akteur entwickelte das Wiederverwendungskonzept.
Petra Jablonická;AWM Münster – zirkulärer Büroumbau;Der Akteur übernahm den architektonischen Entwurf.
Urselmann Interior;AWM Münster – zirkulärer Büroumbau;Der Akteur führte benannte Bauleistungen aus.
CITYFÖRSTER;Recyclinghaus Hannover;Der Akteur übernahm den architektonischen Entwurf.
Gundlach GmbH & Co. KG Wohnungsunternehmen;Recyclinghaus Hannover;Der Akteur verantwortete das Vorhaben als Bauherr.
H2A;Recyclinghaus Hannover;Der Akteur übernahm eine benannte Fachplanung.
Claus Asam;Berlin-Schildow Pilot;Der Akteur prüfte oder zertifizierte Bauteile.
LXSY Architektur;CRCLR House;Der Akteur übernahm den architektonischen Entwurf.
Die Zusammenarbeiter;Impact Hub Berlin at CRCLR-House (Innenausbau);Der Akteur übernahm den architektonischen Entwurf.
LXSY Architektur;Impact Hub Berlin at CRCLR-House (Innenausbau);Der Akteur übernahm den architektonischen Entwurf.
Gemeinde Ingersheim;Jugendtreff Ingersheim;Die Gemeinde Ingersheim war Bauherrin des Jugendtreffs.
Wiewiorra Hopp Architekten;Plattenpalast Berlin;Der Akteur übernahm den architektonischen Entwurf.
TU Berlin Fachgebiet Bauphysik und Baukonstruktionen;Plattenvereinigung Berlin;Der Akteur begleitete das Vorhaben wissenschaftlich.
Bundeszentrale für politische Bildung (bpb);Plattenvereinigung Berlin;Der Akteur finanzierte oder förderte das Vorhaben.
Deutsche Bundesstiftung Umwelt (DBU);Plattenvereinigung Berlin;Der Akteur finanzierte oder förderte das Vorhaben.
Concular;München Bauteilbörse (CirCoFin pilot);Die Quelle belegt, wer die Einrichtung betreibt.
Concular;ALBA Berlin;Die Quelle belegt eine formalisierte Zusammenarbeit.
Lehrstuhl TEAMhillebrandt / Bergische Universität Wuppertal;Urban Mining Index;Die Quelle belegt institutionelle Trägerschaft oder Finanzierung.
Circular Structural Design;Concular;Beide entwickeln ein KI-Pilotprojekt im Green-AI Hub Mittelstand.
ZRS Ingenieure;Impact Hub Berlin at CRCLR-House (Innenausbau);Der Akteur übernahm eine benannte Fachplanung.
Buildwise;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Beide arbeiteten am Bericht zum veränderungsgerichteten Umbau.
OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);Tracimat vzw;OVAM und Tracimat arbeiten bei der Abbruchnachverfolgung zusammen.
Stadt Kassel;BauMaB Kassel / Bauteilbörse Kassel;Die Stadt Kassel initiierte BauMaB im Rahmen ihrer Klimastrategie.
Embuild;Buildwise;"Die Zusammenarbeit ist belegt; ihre Form bleibt unklar."
Brussels Environment;Opalis;Brussels Environment unterstützte die Entwicklung von Opalis.
Rotor;RotorDC;Die Quelle belegt die Gründungsbeziehung.
RotorDC;Chiro d’Itterbeek;Der Akteur lieferte wiederverwendete Bauteile.
Franck;Chiro d’Itterbeek;Der Akteur lieferte wiederverwendete Bauteile.
Franck Bricks;Maison Vignette;Der Akteur lieferte wiederverwendete Bauteile.
2emain.be;Maison Vignette;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
Bureau Bouwtechniek;Musée de Folklore de Mouscron;Der Akteur übernahm eine benannte Fachplanung.
Rotor;Recypark Demets;Der Akteur übernahm den architektonischen Entwurf.
51N4E;Recypark Demets;Der Akteur übernahm den architektonischen Entwurf.
ERDF / FEDER Brüssel-Hauptstadt;Zinneke;Der Akteur finanzierte oder förderte das Vorhaben.
Rotor;Zinneke;Der Akteur übernahm eine benannte Fachplanung.
Zinneke asbl;Zinneke;Der Akteur verantwortete das Vorhaben als Bauherr.
BLAF Architecten;Maison DnA;Der Akteur übernahm den architektonischen Entwurf.
Circue;GreenDozer ApS;Die Quelle belegt eine formalisierte Zusammenarbeit.
Lendager;Resource Rows;Der Akteur übernahm den architektonischen Entwurf.
Lendager;Svanen;Der Akteur übernahm den architektonischen Entwurf.
Tscherning;Svanen;Der Akteur führte den selektiven Rückbau aus.
DTU Byg – Sektion Materialer og Holdbarhed;Thoravej 29 Copenhagen;Der Akteur prüfte oder zertifizierte Bauteile.
a:gain;TRÆ High-Rise;a:gain lieferte wiederverwendete Produkte für TRÆ.
Artelia;TRÆ High-Rise;Artelia übernahm Ingenieurleistungen für TRÆ.
DOVISTA / KRONE;TRÆ High-Rise;Der Akteur lieferte wiederverwendete Bauteile.
Lendager;TRÆ High-Rise;Der Akteur übernahm den architektonischen Entwurf.
Kingo (Kingo Karlsen A/S);GreenDozer ApS;Die Quelle belegt die organisatorische Zugehörigkeit.
P. Olesen / PO Genbrug;GreenDozer ApS;Die Quelle belegt die organisatorische Zugehörigkeit.
a:gain;Upcycle Studios Copenhag…;Der Akteur lieferte wiederverwendete Bauteile.
Tscherning;GreenDozer ApS;Tscherning und GreenDozer stärkten ihre Zusammenarbeit.
ReCreate Sweden / KTH Architecture, Technique and Theory;NCC;KTH Royal Institute of Technology und NCC gehörten zum Konsortium des Projekts Återhus.
Serviceförvaltningen und Miljöförvaltningen / Stockholms stad;Vasakronan;Stockholms stad und Vasakronan gehörten zum Konsortium des Projekts Återhus.
Teknikbyggarna;Bygghubben;Die Quelle belegt die Gründungsbeziehung.
Wilzéns;Bygghubben;Die Quelle belegt die Gründungsbeziehung.
Umeå kommun;Byggåterbruket (Umeå);Byggåterbruket ist ein Projekt innerhalb der Stadt Umeå.
Fabege;Reboost;Fabege wurde Mitglied der Återbrukshubb Reboost von Ragn-Sells.
Handslag för cirkulärt byggande;Vasakronan;Handslag för cirkulärt byggande ist Teil der Initiative Handslaget för cirkulärt byggande.
Svensk Betong;NCC;Svensk Betong und NCC gehörten zum Konsortium des Projekts Återhus.
Liljewall Arkitekter;Kv Återbruket, Litteraturgatan/Selma stad, Göteborg;Der Akteur übernahm den architektonischen Entwurf.
NCC;Kv Återbruket, Litteraturgatan/Selma stad, Göteborg;Der Akteur führte benannte Bauleistungen aus.
Akademiska Hus;Handslag för cirkulärt byggande;Akademiska Hus ist Teil der Initiative Handslaget för cirkulärt byggande.
Akademiska Hus;Palats;Akademiska Hus und Palats gehörten zum 14-köpfigen Konsortium Återhus 3.0.
Akademiska Hus;Bjerking;Akademiska Hus und Bjerking gehörten zum 14-köpfigen Konsortium Återhus 3.0.
Akademiska Hus;Wiklunds Åkeri;Akademiska Hus und Wiklunds Åkeri sind Partner im Återbruksmarknad-Projekt KRETS.
Anthesis;NCC;Anthesis und NCC gehörten zum Konsortium des Projekts Återhus.
Codesign Sweden AB;RISE (Research Institutes of Sweden);Codesign und RISE gehörten zum Konsortium des Projekts Återhus.
Contiga;Fabege;Contiga und Fabege gehörten zum Konsortium des Projekts Återhus.
Contiga;Zengun;Contiga und Zengun waren Partner im Forschungsprojekt Återhus.
Helsingborgshem;ReCreate Sweden / KTH Architecture, Technique and Theory;Helsingborgshem und KTH arbeiteten im ReCreate-Pilotprojekt zusammen.
Helsingborgshem;Strängbetong;Helsingborgshem und Strängbetong gehörten zum ReCreate-Konsortium.
NCC;RISE (Research Institutes of Sweden);NCC und RISE (Research Institutes of Sweden) gehörten zum Konsortium des Projekts Återhus.
Ragn-Sells;Reboost;Die Quelle belegt, wer die Einrichtung betreibt.
Vasakronan;Wiklunds Åkeri;Vasakronan und Wiklunds Åkeri sind Partner im Återbruksmarknad-Projekt KRETS.
Zengun;NCC;Zengun und NCC gehörten zum Konsortium des Projekts Återhus.
Åhlin & Ekeroth;Bygghubben;Die Quelle belegt die Gründungsbeziehung.
Asker kommune – Ombruk;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Die Quelle belegt die Mitgliedschaft im Netzwerk.
Sirken;Asker kommune – Ombruk;Die Quelle belegt eine konkrete Auftragsleistung.
Bodø Kommune;Nordlandsforskning AS;Die Quelle belegt eine formalisierte Zusammenarbeit.
OMBYGG;Sirkulær Ressurssentral;Die Quelle belegt, wer die Einrichtung betreibt.
Trondheim kommune;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Die Quelle belegt die Mitgliedschaft im Netzwerk.
TOBB;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Die Quelle belegt die Mitgliedschaft im Netzwerk.
FutureBuilt;KA13;Der Akteur führte benannte Bauleistungen aus.
Asplan Viak;KA13;Der Akteur übernahm den architektonischen Entwurf.
Entra AS;KA13;Der Akteur verantwortete das Vorhaben als Bauherr.
Insenti;KA13;Der Akteur entwickelte das Wiederverwendungskonzept.
MAD arkitekter / Mad as;KA13;Der Akteur übernahm den architektonischen Entwurf.
Scenario Interiørarkitekter;KA13;Der Akteur übernahm den architektonischen Entwurf.
Loopfront;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Die Quelle belegt die Gründungsbeziehung.
Multiconsult;Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Die Quelle belegt die Gründungsbeziehung.
TOBB;Rehub;TOBB und Rehub sind Partner im Forschungsprojekt Vendom.
Housing Design / Department of Architecture / Aalto University;VTT – Circularity in the Built Environment;Aalto University und VTT haben eine strategische Partnerschaft.
KIELO-Projektteam / Xamk;Mikkelin Kehitysyhtiö Miksei Oy;Beide sind Partner im Projekt KIELO.
ReCreate-Koordination / Faculty of Built Environment / Tampere University;SÄILÖ: Purusta säilöön ja kiertoon;Tampere University und SÄILÖ: Purusta säilöön ja kiertoon sind Partner im Projekt SÄILÖ.
ReCreate-Koordination / Faculty of Built Environment / Tampere University;Tampereen kaupunki (City of Tampere);Universität und Stadt schlossen eine strategische Partnerschaft.
Ekokumppanit (Kiertotalous Pirkanmaa);SÄILÖ: Purusta säilöön ja kiertoon;Die Quelle belegt institutionelle Trägerschaft oder Finanzierung.
Urban Environment Division / City of Helsinki;Kiilto Family;Beide arbeiteten nachweislich am selben Bauvorhaben.
Purkupiha;Purkutori.fi;Die Quelle belegt, wer die Einrichtung betreibt.
A-Kruunu;Härmälänranta;Der Akteur verantwortete das Vorhaben als Bauherr.
Consolis Parma;Härmälänranta;Der Akteur arbeitete wiederverwendete Bauteile auf.
Ramboll Finland;Härmälänranta;Der Akteur übernahm eine benannte Fachplanung.
Skanska Finland;Härmälänranta;Der Akteur führte benannte Bauleistungen aus.
ReCreate-Koordination / Faculty of Built Environment / Tampere University;Lokomotion Technology Center;Tampere University begleitet den Lokomotion-Reuse-Piloten.
Urban Environment Division / City of Helsinki;Melkinlaituri Primary School and Daycare Centre;Die Stadt Helsinki verantwortet das Schulprojekt Melkinlaituri.
YIT;Melkinlaituri Primary School and Daycare Centre;Der Akteur führte benannte Bauleistungen aus.
Consolis Parma;Tampereen kaupunki (City of Tampere);Consolis Parma und Tampereen kaupunki (City of Tampere) gehörten zum ReCreate-Konsortium.
Consolis Parma;Lokomotion Technology Center;Der Akteur arbeitete wiederverwendete Bauteile auf.
Consolis Parma;Melkinlaituri Primary School and Daycare Centre;Der Akteur arbeitete wiederverwendete Bauteile auf.
Consolis Parma;Peikko Finland;Beide waren am selben Betonelement-Demontage-Pilotprojekt beteiligt.
Consolis Parma;Ramboll Finland;Consolis Parma und Ramboll Finland gehörten zum ReCreate-Konsortium.
Purkupiha;Mikkelin Kehitysyhtiö Miksei Oy;Die Quelle belegt eine konkrete Auftragsleistung.
Ramboll Finland;Tampereen kaupunki (City of Tampere);Ramboll Finland und Tampereen kaupunki (City of Tampere) gehörten zum ReCreate-Konsortium.
Ramboll Finland;Lokomotion Technology Center;Der Akteur übernahm eine benannte Fachplanung.
Ramboll Finland;Melkinlaituri Primary School and Daycare Centre;Der Akteur prüfte oder zertifizierte Bauteile.
Skanska Finland;Tampereen kaupunki (City of Tampere);Skanska Finland und Tampereen kaupunki (City of Tampere) gehörten zum ReCreate-Konsortium.
Skanska Finland;Lokomotion Technology Center;Der Akteur führte benannte Bauleistungen aus.
Skanska Finland;Consolis Parma;Skanska Finland und Consolis Parma gehörten zum ReCreate-Konsortium.
Skanska Finland;Ramboll Finland;Skanska Finland und Ramboll Finland gehörten zum ReCreate-Konsortium.
MedUni Wien;BauKarussell;Beide arbeiteten nachweislich am selben Bauvorhaben.
BauKarussell;BIG (Bundesimmob.);Die Quelle belegt eine konkrete Auftragsleistung.
Re-Use Austria;BauKarussell;Die Quelle belegt die Gründungsbeziehung.
BauKarussell;Ferry-Dusika-Stadion Rückbau;Der Akteur entwickelte das Wiederverwendungskonzept.
BauKarussell;Job-TransFair gemeinnützige GmbH;Beide sind Mitglieder der BauKarussell-Genossenschaft.
BauKarussell;pulswerk GmbH;BauKarussell und pulswerk GmbH bildeten gemeinsam das BauKarussell-Projektteam.
Die Kümmerei;Ferry-Dusika-Stadion Rückbau;Der Akteur führte den selektiven Rückbau aus.
DRZ;Ferry-Dusika-Stadion Rückbau;Der Akteur führte den selektiven Rückbau aus.
DRZ;MedUni Campus Wien;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
Re-Use Austria;Ferry-Dusika-Stadion Rückbau;Der Akteur führte den selektiven Rückbau aus.
WSE Wiener Standortentwicklung GmbH;Ferry-Dusika-Stadion Rückbau;Der Akteur betrieb das Vorhaben oder die Einrichtung.
Job-TransFair gemeinnützige GmbH;Ferry-Dusika-Stadion Rückbau;Die Quelle belegt die Beteiligung, aber keine genaue Aufgabe.
pulswerk GmbH;Ferry-Dusika-Stadion Rückbau;Der Akteur führte den selektiven Rückbau aus.
BauKarussell;MedUni Campus Wien;Der Akteur entwickelte das Wiederverwendungskonzept.
materialnomaden;re:store / HarvestMAP Vienna;Die Quelle belegt, wer die Einrichtung betreibt.
