"key","cc","tid","name","official_url","reason"
"CH:M13","CH","M14","ReUse Recycling Center Riedtwil / wiederverwendung.ch","https://www.wiederverwendung.ch/","No identity-safe candidate collected."
"CH:M07","CH","M07","Bauteilverwertung KÃ¶ppel & Klein","https://www.bauteilverwertung.ch/","No identity-safe candidate collected."
"CH:U04","CH","U03","baubÃ¼ro in situ","https://www.insitu.ch/","No identity-safe candidate collected."
"CH:U15","CH","U11","Modissa Immobilien AG","","organisation domain is not accepted"
"CH:U25","CH","U21","Tschudin RÃ¼ckbau und Demontagen GmbH","https://www.tschudin-rueckbau.ch/","No identity-safe candidate collected."
"CH:U18","CH","U14","Oberli Ingenieurbau AG","","organisation domain is not accepted"
"CH:U22","CH","U18","Schmidiger + Rosasco AG","https://srzh.ch/","No identity-safe candidate collected."
"CH:U01","CH","U01","aik Architektur + Ingenieur Kollektiv","","organisation domain is not accepted"
"CH:F02","CH","F05","Empa","https://www.empa.ch/","No identity-safe candidate collected."
"CH:U05","CH","U04","Bischof FÃ¶hn Architektur","https://www.bf-architekten.ch/","No identity-safe candidate collected."
"CH:U23","CH","U19","Studio Trachsler Hoffmann","https://trachslerhoffmann.ch/","No identity-safe candidate collected."
"CH:U20","CH","U16","Pascal Flammer Architekten","https://www.pascalflammer.com/","No identity-safe candidate collected."
"CH:M04","CH","M04","Bauteilkatalog Immobilien Basel-Stadt","https://www.bs.ch/","No identity-safe candidate collected."
"DE:M06","DE","M07","Materialrest24","https://www.materialrest24.de/","No identity-safe candidate collected."
"DE:F03","DE","F03","Claus Asam","","organisation domain is not accepted"
"DE:U41","DE","U24","Wiewiorra Hopp Architekten","","organisation domain is not accepted"
"DE:U14","DE","U06","Die Zusammenarbeiter","https://zusammenarbeiter.de/","No identity-safe candidate collected."
"DE:U32","DE","U18","Petra JablonickÃ¡","","organisation domain is not accepted"
"DE:N02","DE","N02","bauteilnetz Deutschland","http://www.bauteilnetz.de/","No identity-safe candidate collected."
"DE:U13","DE","U05","DARE GmbH","https://www.dare-gmbh.de/","No identity-safe candidate collected."
"DE:U27","DE","U14","IngenieurbÃ¼ro Fechner","","organisation domain is not accepted"
"BE:G01","BE","G01","ERDF / FEDER BrÃ¼ssel-Hauptstadt","https://erdf.brussels/","No identity-safe candidate collected."
"BE:M02","BE","M02","Antique Fireplaces First","https://antiquefireplacesfirst.com/","No identity-safe candidate collected."
"BE:M12","BE","M11","Eeuwenhout Antoine Verhofstede","https://www.verhofstede.be/","No identity-safe candidate collected."
"BE:M16","BE","M15","Het arduinen hoekje","https://arduinen-hoekje.be/","No identity-safe candidate collected."
"BE:M17","BE","M16","Heyns Recycling","https://heynsrecycling.be/","No identity-safe candidate collected."
"BE:M18","BE","M17","Hofman NV - SA","https://www.hofman.be/","No identity-safe candidate collected."
"BE:M27","BE","M25","MVV Afbraakwerken Martin","https://www.mvvafbraak.be/","No identity-safe candidate collected."
"BE:I04","BE","I02","OVAM (Openbare Vlaamse Afvalstoffenmaatschappij)","https://ovam.vlaanderen.be/","No identity-safe candidate collected."
"BE:M32","BE","M29","Van Huele","https://www.vanhuele.be/","No identity-safe candidate collected."
"BE:M01","BE","M01","Antiek Anresto","https://anresto.com/","No identity-safe candidate collected."
"BE:M28","BE","M26","Recupan bvba","http://www.recupan.be/","No identity-safe candidate collected."
"DK:M02","DK","M02","Byggeboersen","","organisation domain is not accepted"
"DK:M12","DK","M10","OKpriser.dk A/S","https://okpriser.dk/","No identity-safe candidate collected."
"DK:M01","DK","M01","Bango A/S","https://www.bango.dk/","No identity-safe candidate collected."
"DK:U16","DK","U11","Klassiske Vinduer","https://klassiske-vinduer.dk/","No identity-safe candidate collected."
"SE:U20","SE","U13","Teknikbyggarna","https://teknikbyggarna.se/","No identity-safe candidate collected."
"NO:N06","NO","N05","Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim)","","organisation domain is not accepted"
"NO:M01","NO","M01","FornyBygg","https://fornybygg.no/","No identity-safe candidate collected."
"NO:N05","NO","N03","Ombruks-HUB SÃ¸rlandet AS","https://www.ombrukshubsor.no/","No identity-safe candidate collected."
"NO:M04","NO","M04","OMBYGG","https://www.ombygg.no/","No identity-safe candidate collected."
"FI:U04","FI","U04","Durat","https://durat.fi/","No identity-safe candidate collected."
"FI:U06","FI","U06","Joensuun Rakennuspurku ja Timanttiurakointi Oy","https://www.joensuunrakennuspurku.fi/","No identity-safe candidate collected."
"FI:U14","FI","U11","Purkukolmio Oy","https://www.purkukolmio.fi/","No identity-safe candidate collected."
