id;land;von;richtung;nach;beziehungsart;beschreibung;beziehungsprofil;evidence_url;evidence_quote
BE:K012;BE;Maison Vignette;B→A;Franck;Bauteillieferung;Lieferte Reuse-Ziegel.;Vorhabenspezifisch / Vorhaben;https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme;Brique: Grote Boomse Steen, provenant de chez Franck
BE:K023;BE;Musée de Folklore de Mouscron;B→A;Bureau Bouwtechniek;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.architectura.be/fr/actualite/un-nouvel-ecrin-pour-le-musee-de-folklore-de-mouscron;L'équipe formée par V+ (architecture), Projectiles (architecture, muséographie), Taktyk (paysage), Greisch, Daidalos Peutz et Bureau Bouwtechniek (bureaux d'études)
BE:K027;BE;Recypark Demets;B→A;51N4E;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/recypark-anderlecht;51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure
BE:K028;BE;Recypark Demets;B→A;Rotor;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/recypark-anderlecht;51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure
BE:K037;BE;Zinneke;B→A;Zinneke asbl;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/zinneke-feder-masui4ever;In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.
BE:K041;BE;Zinneke;B→A;ERDF / FEDER Brüssel-Hauptstadt;Förderung;Förderung.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/zinneke-feder-masui4ever;This project was made possible thanks to an ERDF subvention from the Brussels-Capital Region.
BE:K042;BE;Zinneke;B→A;Rotor;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://rotordb.org/en/projects/zinneke-feder-masui4ever;In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.
BE:K043;BE;Rotor;A→B;RotorDC;Gründung;Gründung als Spin-off.;Projektübergreifend / institutionell;https://rotordb.org/en/projects/oxy-centre-monnaie;Please check our spin-off RotorDC's website.
BE:K046;BE;Opalis;B→A;Brussels Environment;Trägerschaft;Unterstützte die Entwicklung.;Vorhabenspezifisch / Vorhaben;https://opalis.eu/en/about;Opalis was developed with the support of Brussels Environment.
BE:K072;BE;Embuild;—;Buildwise;Zusammenarbeit, Art unklar;Entwickelten das Tool Circulair Gebouwd gemeinsam.;Vorhabenspezifisch / Vorhaben;https://www.embuildvlaanderen.be/press-room/circulair-gebouwd/;Embuild Vlaanderen en Buildwise hebben op 6 december ... de nieuwe tool 'Circulair Gebouwd' voorgesteld.
BE:K073;BE;Buildwise;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Konsortialpartner;Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.;Vorhabenspezifisch / Vorhaben;https://researchportal.vub.be/en/publications/aanbevelingen-veranderingsgericht-verbouwen-eindrapportage-deelop;The work was performed by VITO, Buildwise, UHasselt and VUB.
BE:K075;BE;BauMaB Kassel / Bauteilbörse Kassel;B→A;Stadt Kassel;Trägerschaft;Initiierte in Klimastrategie.;Vorhabenspezifisch / Vorhaben;https://baumab-kassel.de/konzept/;Das Projekt wurde im Rahmen der Klimaschutzstrategie der Stadt Kassel initiiert.
BE:K086;BE;OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);A→B;Tracimat vzw;Regulatorische Anerkennung;Erkannte Tracimat als Sloopbeheerorganisation an.;Projektübergreifend / institutionell;https://ovam.vlaanderen.be/bouw-sloopopvolging;Voor de sloopopvolging worden de standaarddocumenten van Tracimat gebruikt.
CH:K001;CH;Ressourcerie Lausanne / Matériuum / R-UUL;B→A;Matériuum;Konzernbindung;Führung als Zweigbetrieb.;Projektübergreifend / institutionell;https://materiuum.ch/ressourcerie-lausanne-magasin-shop/;la Ressourcerie Matériuum Lausanne (RUUL) permet de stocker et de prolonger la durée de vie d'une grande quantité de matières
CH:K002;CH;Bauteilbörse Basel;—;Gruner ReUse;Gemeinsames Bauvorhaben;Inventarisierung und Vermarktung.;Vorhabenspezifisch / Vorhaben;https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live;Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.
CH:K003;CH;Bauteilbörse Basel;B→A;useagain / Bauteilclick;Dienstleistungsbeziehung;Stellt Marktplatz für ihren Bauteilverkauf.;Vorhabenspezifisch / Leistung;https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live;Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.
CH:K004;CH;Bauteilvermittlung Zürichsee-Oberland;B→A;Stiftung Chance BauTeile Zürich / Glattbrugg;Dienstleistungsbeziehung;Prüft, demontiert und transportiert.;Projektübergreifend / operativ;https://www.btvz.ch/portraet/;Fachleute der Stiftung Chance prüfen die Bauteile, demontieren sie und übernehmen den Transport.
CH:K006;CH;useagain / Bauteilclick;A→B;Bauteilladen Winterthur;Dienstleistungsbeziehung;Bauteilvermittlung.;Projektübergreifend / operativ;https://library-of-reuse.ch/pioneers/useagain;promotes direct exchange between various organisations, such as Bauteilbörse Basel, BauTeile Zürich and Bauteilladen Winterthur
CH:K007;CH;ELYS Kultur- und Gewerbezentrum Basel;A→B;Zirkular;Gründungsimpuls;Gab den Impuls zur Gründung.;Vorhabenspezifisch / Ereignis;https://zirkular.net/en/project/culture-commercial-center-elys;They received a lot of attention and were the trigger for the foundation of Zirkular by the involved planners.
CH:K008;CH;baubüro in situ;A→B;Grubenstrasse 29;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.bauwelt.de/rubriken/bauten/Werkhof-29-Zuerich-baubuero-in-situ-ag-4385137.html;Architekten: baubüro in situ ag
CH:K009;CH;baubüro in situ;A→B;K.118 Winterthur;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://circularmaterialsystems.com/de/case/06_k-118/;Architektur: Baubüro in situ
CH:K011;CH;baubüro in situ;—;RE-WIN;Zusammenarbeit, Art unklar;Unterstützten gemeinsam das Netzwerk.;Projektübergreifend / strategisch;https://re-win.ch/verein/ueber/;Zusammenarbeit mit Baubüro in situ
CH:K012;CH;baubüro in situ;—;Pascal Flammer Architekten;Gemeinsames Bauvorhaben;Wählten Reuse-Bauteile für Hobelwerk Haus D aus.;Vorhabenspezifisch / Vorhaben;https://www.espazium.ch/de/aktuelles/winterthur-hobelwerk-architektur-reuse-flammerarchitkten-nettonull;untersuchten in situ und PFA 60 Elemente, aus denen schlussendlich 21 für Erwerb und Einbau ausgewählt wurden
CH:K013;CH;Grubenstrasse 29;B→A;Modissa Immobilien AG;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/de/projekt/grubenstrasse-29/;Auftraggeber (Client): Modissa Immobilien AG
CH:K015;CH;Grubenstrasse 29;B→A;Tschudin Rückbau und Demontagen GmbH;Rückbau;Rückbau.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/de/projekt/grubenstrasse-29/;Material Suppliers (Wiederverwendete Bauteile): Tschudin Rückbau und Demontagen GmbH
CH:K016;CH;Grubenstrasse 29;B→A;Zirkular;Bauteilinventarisierung;Bauteilinventarisierung.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/de/projekt/grubenstrasse-29/;Zirkular Projektteam: Marc Angst, Leonard Schönfelder
CH:K017;CH;Recyclingzentrum Juch-Areal;B→A;Entsorgung + Recycling Zürich (ERZ);Betrieb;Betrieb.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Eigentümervertretung Entsorgung + Recycling Zürich (ERZ)
CH:K018;CH;Recyclingzentrum Juch-Areal;B→A;Weber + Brönnimann AG;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Bauingenieurwesen Weber + Brönnimann AG, Bern
CH:K019;CH;Recyclingzentrum Juch-Areal;B→A;manoa Landschaftsarchitekten;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Landschaftsarchitektur manoa Landschaftsarchitekten GmbH, Meilen
CH:K020;CH;Recyclingzentrum Juch-Areal;B→A;Graber Pulver;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html;Generalplanung und Architektur Graber Pulver Architekt:innen AG, Zürich
CH:K021;CH;K.118 Winterthur;B→A;Stiftung Abendrot / Vorsorgestiftung Abendrot;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/en/project/building-k-118/;Client: Stiftung Abendrot
CH:K022;CH;K.118 Winterthur;B→A;Institut Konstruktives Entwerfen (IKE) / ZHAW;Forschungsbegleitung;Forschungsbegleitung.;Vorhabenspezifisch / Vorhaben;https://www.zhaw.ch/de/forschung/projekt/71771;mit dem Projekt K.118 den derzeit grössten Neubau der Schweiz, der zu grossen Teilen aus wiederverwendeten Bauteilen konzipiert ist
CH:K023;CH;K.118 Winterthur;B→A;Oberli Ingenieurbau AG;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ;Civil engineer: Oberli Ingenieurbau AG
CH:K024;CH;K.118 Winterthur;B→A;Josef Kolb AG;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ;Timber Engineering: Josef Kolb AG
CH:K025;CH;K.118 Winterthur;B→A;Wetter AG;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ;Steel Construction: Wetter AG
CH:K026;CH;K.118 Winterthur;A→B;Zirkular;Gründungsimpuls;Gab den Impuls zur Gründung.;Vorhabenspezifisch / Ereignis;https://zirkular.net/de/projekt/k-118-kopfbau-halle-118/;Sie erhielten viel Aufmerksamkeit und waren Auslöser der Gründung von Zirkular durch die involvierten Planenden.
CH:K027;CH;Kindergarten Mööslistrasse;B→A;Amt für Hochbauten und Immobilien Stadt Zürich;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html;Bauherrschaft: Stadt Zürich, Eigentümervertretung: Immobilien Stadt Zürich, Bauherrenvertretung: Amt für Hochbauten
CH:K029;CH;Kindergarten Mööslistrasse;B→A;Ingenieurbureau Heierli AG;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html;Bauingenieurwesen (Structural Engineering): Ingenieurbureau Heierli AG, Zürich
CH:K031;CH;Kindergarten Mööslistrasse;B→A;Schmidiger + Rosasco AG;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html;Elektroplanung (Electrical Planning): Schmidiger + Rosasco AG, Zürich
CH:K032;CH;Kindergarten Mööslistrasse;B→A;aik Architektur + Ingenieur Kollektiv;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html;Bauphysik (Building Physics): aik, Architektur + Ingenieur Kollektiv, Zürich
CH:K033;CH;Kindergarten Mööslistrasse;B→A;Zirkular;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html;landscape architecture planning for the re-use concept was handled by Zirkular GmbH, Zürich
CH:K035;CH;Re:Crete footbridge;B→A;Structural Xploration Lab (SXL) / EPFL;Bauausführung;Bauausführung.;Vorhabenspezifisch / Vorhaben;https://www.epfl.ch/schools/enac/recrete/;the Sructural Xploration Lab (SXL) has built the RE:CRETE prototype, a footbridge built from 25 reused concrete blocks
CH:K036;CH;NEST Research and Innovation Platform / Empa–Eawag;A→B;UMAR Unit;Plattformzugehörigkeit;Umfasst UMAR als Forschungsunit.;Projektübergreifend / institutionell;https://www.db-bauzeitung.de/db/heizung-klima-lueftung/forschungsmodul/;In der NEST-Unit »UMAR« (Urban Mining & Recycling) wohnen und arbeiten seit Mai zwei Studenten, um sich regelmäßig mit den Wissenschaftlern der Empa
CH:K038;CH;Stiftung Habitat;A→B;LYSP8 Basel;Betrieb;Betrieb.;Vorhabenspezifisch / Vorhaben;https://www.stiftung-habitat.ch/sh/liegenschaften/haeuser-und-projekte/wohnhaus-weinlagerstrasse-33.html;Entstanden ist hier ein weiteres Wohnhaus der Stiftung Habitat.
CH:K039;CH;LYSP8 Basel;B→A;PIRMIN JUNG Schweiz AG;Fachplanung;Fachplanung.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/en/project/lysp8/;Pirmin Jung (Fachplanung Holzbau)
CH:K040;CH;Zirkular;—;Studio Trachsler Hoffmann;Gemeinsames Bauvorhaben;Arbeiteten an Schärenmoosstrasse zusammen.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/de/projekt/schaerenmoosstrasse/;Nach dem Wettbewerbsgewinn wurde Zirkular mit in das Projektteam geholt.
CH:K041;CH;Zirkular;A→B;RE-WIN;Gründung;Initiierten die erste Fenstersammlung.;Vorhabenspezifisch / Ereignis;https://re-win.ch/supporters/baubuero-in-situ-ag-und-zirkular-gmbh/;Das Baubüro in situ hat zusammen mit der Zirkular GmbH die erste Fenster-Sammelaktion gestartet und den ersten LKW Transport in die Ukraine bezahlt.
CH:K042;CH;Zirkular;A→B;Bauteilkatalog Immobilien Basel-Stadt;Dienstleistungsbeziehung;Katalogisierte Bauteile für Basler Wettbewerbe.;Vorhabenspezifisch / Vorhaben;https://zirkular.net/de/projekt/bauteilkatalog-immobilien-basel-stadt/;Im Rahmen der Projektwettbewerbe «Walkeweg» und «Schliengerweg» katalogisierte Zirkular die Re-Use-Bauteile
CH:K043;CH;UMAR Unit;B→A;Lindner SE;Bauteillieferung;Lieferte Reuse-Bauteile.;Vorhabenspezifisch / Vorhaben;https://www.lindner-group.com/de/referenzen/nest-unit-umar;Lindner realisierte dort speziell entwickelte Plafotherm® Heiz-/Kühldecken.
CH:K044;CH;Institut Konstruktives Entwerfen (IKE) / ZHAW;—;INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton);Konsortialpartner;Verbundpartnerschaft.;Vorhabenspezifisch / Vorhaben;https://www.fhnw.ch/de/die-fhnw/hochschulen/architektur-bau-geomatik/institute/ineb/ineb-forschung/ressourceneffizientes-und-zirkulaeres-bauen/leitfaden-reuse-stahl-und-stahlbetonbauteilen;Zwei Institute - INEB der FHNW und IKE der ZHAW - untersuchen im Rahmen eines Projekts die Wiederverwendung.
CH:K045;CH;ELEMENTA Walkeweg;B→A;Monotti Ingegneri;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://media.bs.ch/original_file/8e80b99a92a09ee372ff54721421eb6497819e1f/bvd-jurybericht-walkeweg-komprimiert-1.pdf;Bauingenieurwesen: Monotti Ingegneri Consulenti SA
CH:K046;CH;Digvis GmbH;A→B;Bauteilkatalog Immobilien Basel-Stadt;Dienstleistungsbeziehung;Programmierte Basler.;Vorhabenspezifisch / Leistung;https://bauteile-ibs.ch/contact;Programmierung: digvis GmbH Industriestrasse 59 8152 Glattbrugg
DE:K001;DE;Abfallwirtschaftsbetriebe Münster;A→B;AWM Münster – zirkulärer Büroumbau;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://awm.stadt-muenster.de/aktuelles/newsdetail/moderne-arbeitswelt-aus-gebrauchten-materialien;In Zusammenarbeit mit dem Düsseldorfer Unternehmen Urselmann interior, das sich auf Innenausbau nach dem Prinzip cradle-to-cradle spezialisiert hat, ist auf 250 m2 eine moderne Arbeitswelt
DE:K002;DE;Berlin-Schildow Pilot;B→A;Claus Asam;Testbau;Errichtete mit Biele drei Testbauten aus Platten.;Vorhabenspezifisch / Vorhaben;https://taz.de/Die-Wiedergeburt-der-Platte/!493469/;Gemeinsam mit Claus Asam vom IEMB hat Hervé Biele aus den Platten in der AEG-Halle drei Testbauten errichtet.
DE:K005;DE;Claus Asam;A→B;Mehrow Pilot House;Projektleitung;Leitete und initiierte das Pilotprojekt.;Vorhabenspezifisch / Vorhaben;https://www.baulinks.de/webplugin/2005/1177.php4;sagt Dipl.-Ing. Claus Asam vom IEMB, der das Projekt leitete und maßgeblich mitinitiierte
DE:K009;DE;CRCLR House;B→A;LXSY Architektur;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://lxsy.de/projekte/impact-hub-berlin-at-crclr-house;Rund 70% der verwendeten Materialien und Produkte sind recycelt oder nachhaltig.
DE:K010;DE;ZRS Ingenieure;A→B;Impact Hub Berlin at CRCLR-House (Innenausbau);Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.zrs.berlin/en/project/crclr-house-2/;"polis AWARD 2023, 3rd prize, category „Ökologische Wirklichkeit"" for Impact Hub"
DE:K014;DE;Impact Hub Berlin at CRCLR-House (Innenausbau);B→A;Die Zusammenarbeiter;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.dbz.de/artikel/crclr-house-berlin-3945221.html;"Christian Schöningh ist Teil der TRNSFRM eG und mit „Die Zusammenarbeiter"" einer der planenden Architekten vor Ort."
DE:K015;DE;Impact Hub Berlin at CRCLR-House (Innenausbau);B→A;LXSY Architektur;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://lxsy.de/projekte/impact-hub-berlin-at-crclr-house;Rund 70% der verwendeten Materialien und Produkte sind recycelt oder nachhaltig.
DE:K016;DE;Plattenpalast Berlin;B→A;Wiewiorra Hopp Architekten;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://wwstudio.de/projects/plattenpalst;Forschungsprojekt der TU Berlin unter der Leitung von Claus Asam vom IEMB in Zusammenarbeit mit dem Berliner Architekturbüro wiewiorra hopp architekten
DE:K018;DE;Plattenvereinigung Berlin;B→A;TU Berlin Fachgebiet Bauphysik und Baukonstruktionen;Forschungsbegleitung;Forschungsbegleitung.;Vorhabenspezifisch / Vorhaben;https://www.tu.berlin/en/bauphysik/research/past-projects/projekt-plattenvereinigung;The building was developed in partnership with the Chair of Building Physics and Building Constructions at TU Berlin.
DE:K019;DE;Plattenvereinigung Berlin;B→A;Deutsche Bundesstiftung Umwelt (DBU);Förderung;Förderung.;Vorhabenspezifisch / Vorhaben;https://www.plattenvereinigung.de/project/;Plattenvereinigung wird durch die Deutsche Bundesstiftung Umwelt (DBU) als Projekt für „Berufsbildung und öffentlichen Diskurs zum Ressourcenschutz am Beispiel eines modellhaften mobilen Recyclinggebäudes
DE:K020;DE;Plattenvereinigung Berlin;B→A;Bundeszentrale für politische Bildung (bpb);Förderung;Förderung.;Vorhabenspezifisch / Vorhaben;https://www.plattenvereinigung.de/project/;Das vielfältige Programm wurde ebenso von der Bundeszentrale für politische Bildung (bpb) gefördert.
DE:K021;DE;Recyclinghaus Hannover;B→A;Gundlach GmbH & Co. KG Wohnungsunternehmen;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://www.aknds.de/architektur-baukultur/staatspreis-2020/engere-wahl-2020/recyclinghaus-hannover-kronsberg-hannover;Bauherrin (Client): Gundlach GmbH & Co. KG Wohnungsunternehmen, Hannover
DE:K023;DE;Recyclinghaus Hannover;B→A;H2A;Fachplanung;Tragwerksplanung.;Vorhabenspezifisch / Vorhaben;https://www.aknds.de/architektur-baukultur/staatspreis-2020/engere-wahl-2020/recyclinghaus-hannover-kronsberg-hannover;Bauphysik: H2A – v. Heeren Habibi Architekt und Ingenieur PartGmbB, Hannover
DE:K024;DE;Recyclinghaus Hannover;B→A;CITYFÖRSTER;Entwurf;Entwurf.;Vorhabenspezifisch / Vorhaben;https://www.aknds.de/architektur-baukultur/staatspreis-2020/engere-wahl-2020/recyclinghaus-hannover-kronsberg-hannover;Architekten (Design): CITYFÖRSTER architecture + urbanism, Hannover, Architekt Dipl.-Ing. Nils Nolting
DE:K025;DE;Jugendtreff Ingersheim;B→A;Gemeinde Ingersheim;Bauherrschaft;Bauherrschaft.;Vorhabenspezifisch / Vorhaben;https://klingelhoefer-kroetsch.de/projekte/jugendtreff-ingersheim/;Bauherr: Gemeinde Ingersheim
