kind,type,subject,old_status,old_url,result,new_url,match,candidates_tried,quote
rel,NUTZT_MATERIAL,Drei Beton-Wohnungsteile,QUOTE_MISMATCH,https://www.kerkrade.nl/superlocal-bleijerheide,STILL_UNVERIFIED,,,8,Drei Beton-Wohnungsteile / Großmodule
rel,NUTZT_MATERIAL,Repurposed Cleveland…,LINK_DEAD,https://www.stiffandtrevillion.com/projects/tower-bridge-road,STILL_UNVERIFIED,,,8,Repurposed Cleveland steel für obere Etage TBC
rel,HAT_BAUTEILTYP,Dinesen-Offcuts als…,QUOTE_MISMATCH,https://www.lendager.com/projects/upcycle-studios,STILL_UNVERIFIED,,,8,Dinesen-Offcuts als Böden/Wände/Fassaden
rel,HAT_BAUTEILTYP,Doppelverglaste Fenster,QUOTE_MISMATCH,https://www.lendager.com/projects/upcycle-studios,STILL_UNVERIFIED,,,8,Doppelverglaste Fenster
rel,NUTZT_MATERIAL,Recyclingbeton aus…,QUOTE_MISMATCH,https://www.lendager.com/projects/upcycle-studios,STILL_UNVERIFIED,,,8,Recyclingbeton aus Copenhagen Metro
rel,HAT_BAUTEILTYP,Verbiest Dach- und…,LINK_DEAD,https://opalis.eu/fr/projets/verbiest-karreveld,STILL_UNVERIFIED,,,8,Verbiest Dach- und Terrassenfliesen
rel,NUTZT_MATERIAL,Wetternde Stahl-Offcut-T…,HOMEPAGE_ONLY,https://www.saxumvineyards.com/,STILL_UNVERIFIED,,,8,Wetternde Stahl-Offcut-Tore Saxum
rel,NUTZT_MATERIAL,HSB-Holz Balken und…,HOMEPAGE_ONLY,https://www.boschgaard.nl/,STILL_UNVERIFIED,,,8,HSB-Holz Balken und Ausbauholz
rel,VERBUNDEN_MIT_AKTEUR,New Horizon UM,QUOTE_MISMATCH,https://www.superuse-studios.com/publication/oogstkaart-nl-adopted-by-new-horizon/,STILL_UNVERIFIED,,,8,continued Oogstkaart platform from Superuse since 2020
rel,ERFUELLT_NACHWEIS,Ankerpruefung,QUOTE_MISMATCH,https://www.wurth.co.uk/media/downloads/pdf/anchors_2/literature/adm/03_Building_Site_Tests.pdf,STILL_UNVERIFIED,,,0,"Tests for anchors on site may be required ... To validate the quality of installation of anchors used on the job, i.e. p"
rel,NUTZT_MATERIAL,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Produkte auf der Seite 10 25 50 100 All Hängeschrank fürs Bad mit Aussen Mattglas CHF 125.00 In den Warenkorb Ausguss- e
rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Shop has interior/fit-out component stock.
rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Shop category evidence includes floor components.
rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Shop/category archive includes ceiling elements.
rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Shop category evidence includes sanitary/technical components.
rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Shop category evidence includes stairs.
rel,HAT_BAUTEILTYP,Bauteilladen Winterthur,QUOTE_MISMATCH,https://bauteilladen.ch/shop/,STILL_UNVERIFIED,,,8,Shop category evidence includes doors.
rel,VERBUNDEN_MIT_AKTEUR,Jan Jongert,QUOTE_MISMATCH,https://www.superuse-studios.com/projectplus/villa-welpeloo,STILL_UNVERIFIED,,,8,"Villa Welpeloo ... Project Credits ... Design team Jan Jongert, Jeroen Bergsma, John Bosma, Frank Feder, Jos de Krieger"
rel,VERBUNDEN_MIT_AKTEUR,Jeroen Bergsma,QUOTE_MISMATCH,https://www.superuse-studios.com/projectplus/villa-welpeloo,STILL_UNVERIFIED,,,8,"Villa Welpeloo ... Project Credits ... Design team Jan Jongert, Jeroen Bergsma, John Bosma, Frank Feder, Jos de Krieger"
rel,NUTZT_MATERIAL,RotorDC,HOMEPAGE_ONLY,https://rotordc.com/,STILL_UNVERIFIED,,,8,Homepage highlights parquet; about page mentions reprocessing high-quality urban wood.
rel,HAT_BAUTEILTYP,RotorDC,HOMEPAGE_ONLY,https://rotordc.com/,STILL_UNVERIFIED,,,8,Homepage highlights bathroom accessories and sinks; about page includes repair/transformation of lighting equipment.
rel,HAT_BAUTEILTYP,RotorDC,HOMEPAGE_ONLY,https://rotordc.com/,STILL_UNVERIFIED,,,8,Homepage highlights final batch of doors & hardware; shop filter includes door rotation.
rel,NUTZT_MATERIAL,Bauteilbörse Bremen,QUOTE_MISMATCH,https://www.bauteilboerse-bremen.de/katalog,STILL_UNVERIFIED,,,8,Catalogue evidence includes windows/glass-related building parts.
rel,NUTZT_MATERIAL,Bauteilbörse Bremen,QUOTE_MISMATCH,https://www.bauteilboerse-bremen.de/katalog,STILL_UNVERIFIED,,,8,"Catalogue/category evidence includes wooden doors, floors, stairs and other timber elements."
rel,NUTZT_MATERIAL,Bauteilbörse Bremen,QUOTE_MISMATCH,https://www.bauteilboerse-bremen.de/katalog,STILL_UNVERIFIED,,,8,Catalogue evidence includes tiles/ceramic surfaces.
rel,NUTZT_MATERIAL,Bauteilbörse Bremen,QUOTE_MISMATCH,https://www.bauteilboerse-bremen.de/start,STILL_UNVERIFIED,,,8,"Catalogue evidence includes metal/steel fittings, railings or technical parts."
rel,HAT_BAUTEILTYP,Bauteilbörse Bremen,QUOTE_MISMATCH,https://www.bauteilboerse-bremen.de/start,STILL_UNVERIFIED,,,8,Catalogue evidence includes fit-out/hardware/interior components.
rel,HAT_BAUTEILTYP,Bauteilbörse Bremen,QUOTE_MISMATCH,https://www.bauteilboerse-bremen.de/katalog,STILL_UNVERIFIED,,,8,Catalogue category / product evidence includes windows.
rel,HAT_BAUTEILTYP,bauteilnetz Deutschland,HOMEPAGE_ONLY,https://www.bauteilnetz.de/,STILL_UNVERIFIED,,,8,Network-level examples include windows via member exchanges.
rel,NUTZT_MATERIAL,bauteilnetz Deutschland,QUOTE_MISMATCH,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,STILL_UNVERIFIED,,,8,"Network/member exchange context includes reusable wooden building parts, but evidence is inherited from member exchanges"
rel,VERBUNDEN_MIT_AKTEUR,Carla Ferrando Costansa,QUOTE_MISMATCH,https://www.archdaily.com/1008183/parabase-reuses-prefabricated-concrete-elements-for-a-radical-housing-development-in-basel-switzerland,RECOVERED,https://www.beta-architecture.com/elementa-parabase,STRONG,8,"ase gmbh: carla ferrando, pablo garrido arnaiz structural engineering: monotti ingegneri consulenti sa: mario"
rel,VERBUNDEN_MIT_AKTEUR,Pablo Garrido Arnaiz,QUOTE_MISMATCH,https://www.archdaily.com/1008183/parabase-reuses-prefabricated-concrete-elements-for-a-radical-housing-development-in-basel-switzerland,RECOVERED,https://www.beta-architecture.com/elementa-parabase,STRONG,8,"ferrando, pablo garrido arnaiz structural engineering: monotti ingegneri consulenti sa: mario monotti landscap"
rel,NUTZT_MATERIAL,Backacia,QUOTE_MISMATCH,https://opalis.eu/fr/fournisseurs/backacia,STILL_UNVERIFIED,,,8,Sanitary equipment and floor-covering context makes ceramic likely; verify product pages before automatic import.
rel,NUTZT_MATERIAL,Genbyg,HOMEPAGE_ONLY,https://genbyg.dk/,STILL_UNVERIFIED,,,8,"Category list includes Brugte Døre, Brugte Vinduer and timber-like used components; wood material is explicit in product"
rel,NUTZT_MATERIAL,Genbyg,HOMEPAGE_ONLY,https://genbyg.dk/,STILL_UNVERIFIED,,,8,Window category includes Jernvinduer; iron/steel candidate needs material-normalization review.
rel,HAT_BAUTEILTYP,Genbyg,HOMEPAGE_ONLY,https://genbyg.dk/,STILL_UNVERIFIED,,,8,Genbyg reuse catalogue includes flooring/floor elements in overall shop scope.
rel,NUTZT_MATERIAL,Materialenbank Leuven / Atelier Circuler,QUOTE_MISMATCH,https://ateliercirculer.be/materialenbank/,STILL_UNVERIFIED,,,8,Materialenbank assortment includes wood/timber product families and carpentry stock.
rel,HAT_BAUTEILTYP,Materialenbank Leuven / Atelier Circuler,QUOTE_MISMATCH,https://ateliercirculer.be/materialenbank,STILL_UNVERIFIED,,,8,Archive brief and catalogue scope include insulation stock; verify item pages.
rel,HAT_BAUTEILTYP,R-Place,HOMEPAGE_ONLY,https://r-place.fr/,STILL_UNVERIFIED,,,8,Categories include equipment/outillage and serrurerie.
rel,HAT_BAUTEILTYP,R-Place,HOMEPAGE_ONLY,https://r-place.fr/,STILL_UNVERIFIED,,,8,Category list and latest listings include Tuile / couverture.
rel,HAT_BAUTEILTYP,R-Place,HOMEPAGE_ONLY,https://r-place.fr/,STILL_UNVERIFIED,,,8,"Category list includes CVC, ELEC & luminaires, Plomberie Sanitaires."
rel,NUTZT_MATERIAL,SalvoWEB,QUOTE_MISMATCH,https://www.salvoweb.com/antique-reclaimed,STILL_UNVERIFIED,,,8,Antique & Reclaimed page covers reclaimed building materials; wood material not explicit in captured lines.
rel,NUTZT_MATERIAL,SalvoWEB,HOMEPAGE_ONLY,https://www.salvoweb.com/,STILL_UNVERIFIED,,,8,Homepage lists Architectural Stone and limestone flooring listings.
rel,HAT_BAUTEILTYP,SalvoWEB,HOMEPAGE_ONLY,https://www.salvoweb.com/,STILL_UNVERIFIED,,,8,Homepage categories include Flooring and limestone flooring listings.
rel,NUTZT_MATERIAL,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Boutique category text includes isolant.
rel,NUTZT_MATERIAL,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Boutique/category text includes Bois d’œuvre and chutes de bois.
rel,NUTZT_MATERIAL,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Categories/products include appareils sanitaires and revêtements; ceramic-specific product pages should be checked.
rel,HAT_BAUTEILTYP,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Main categories include Mobilier and Menuiseries intérieures.
rel,HAT_BAUTEILTYP,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Product/category evidence includes parquet underlay and floor/wall coverings.
rel,HAT_BAUTEILTYP,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Boutique text includes isolant.
rel,HAT_BAUTEILTYP,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,"Main categories include Appareils sanitaires, lighting, electrical boards and armoires."
rel,HAT_BAUTEILTYP,Skop Marketplace,HOMEPAGE_ONLY,https://marketplace.skop.app/,STILL_UNVERIFIED,,,8,Menuiseries intérieures can include interior doors; needs category detail.
rel,NUTZT_MATERIAL,useagain / Bauteilclick,HOMEPAGE_ONLY,https://www.useagain.ch/de/,STILL_UNVERIFIED,,,8,Category list includes Fenster / Innenfenster; glass material likely but needs item confirmation.
rel,NUTZT_MATERIAL,useagain / Bauteilclick,HOMEPAGE_ONLY,https://www.useagain.ch/de/,STILL_UNVERIFIED,,,8,ecoBKP/source ecosystem lists timber beams and solid-wood parquet among reuse-suitable components.
rel,HAT_BAUTEILTYP,useagain / Bauteilclick,QUOTE_MISMATCH,https://www.ecobau.ch/de/instrumente/ecobkp,STILL_UNVERIFIED,,,8,ecoBKP lists railings.
rel,HAT_BAUTEILTYP,useagain / Bauteilclick,HOMEPAGE_ONLY,https://www.useagain.ch/de/,STILL_UNVERIFIED,,,8,"Category list includes Türen & Tore, Aussentüren and Innentüren."
node,Akteur,Cantillon,QUOTE_MISMATCH,https://www.constructionnews.co.uk/contractors/cantillon-rebranded-as-morrisroe-demolition-25-07-2023/,STILL_UNVERIFIED,,,0,Cantillon
node,Programm,SWIRCULAR,QUOTE_MISMATCH,https://swircular.ethz.ch/the-project.html,STILL_UNVERIFIED,,,0,SWIRCULAR
node,Bauwerk,Gén. de Banque BXL,QUOTE_MISMATCH,https://opalis.eu/fr/projets/ancien-siege-de-la-generale-de-banque,STILL_UNVERIFIED,,,0,Gén. de Banque BXL
node,Akteur,Bauteilbörse Hannover,LINK_DEAD,https://bauteilboerse-hannover.de/,RECOVERED,https://restado.de/profil/bauteilboerse-hannover/,STRONG,1,Bauteilbörse Hannover
node,Akteur,CSTB,QUOTE_MISMATCH,https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi,STILL_UNVERIFIED,,,0,CSTB
node,Akteur,Bellastock,QUOTE_MISMATCH,https://experimentationsurbaines.ademe.fr/blog/ressource/programmes-repar-1-et-2/,STILL_UNVERIFIED,,,6,Bellastock
node,Akteur,Minéka,QUOTE_MISMATCH,https://librairie.ademe.fr/economie-circulaire-et-dechets/5516-reemploi-des-materiaux-de-construction.html,STILL_UNVERIFIED,,,1,Minéka
node,PruefungNachweis,EPD- oder LCA-Nachweis,QUOTE_MISMATCH,https://www.gebaeudeforum.de/wissen/nachhaltiges-bauen-und-sanieren/lebenszyklusbetrachtung/oekobilanzierung-lca/,STILL_UNVERIFIED,,,0,EPD- oder LCA-Nachweis
node,PruefungNachweis,Materialpass oder DPP,QUOTE_MISMATCH,https://green-forum.ec.europa.eu/implementing-ecodesign-sustainable-products-regulation_en,STILL_UNVERIFIED,,,0,Materialpass oder DPP
node,PruefungNachweis,Barrierefreiheitsaudit,QUOTE_MISMATCH,https://www.baunormenlexikon.de/norm/din-18040-1/c099c3ee-ecd0-48ed-9d9d-ec0f84970d53,STILL_UNVERIFIED,,,0,Barrierefreiheitsaudit
node,PruefungNachweis,Elektrosicherheitsprüfung,QUOTE_MISMATCH,https://www.elektrofachkraft.de/pruefung/elektrotechnische-erstpruefung-wiederholungspruefung,STILL_UNVERIFIED,,,0,Elektrosicherheitsprüfung
node,Akteur,Stadt Kassel,QUOTE_MISMATCH,https://baumab-kassel.de/impressum/,STILL_UNVERIFIED,,,0,Stadt Kassel
node,Materialdepot,Ehemalige Lager-/Fasslad…,QUOTE_MISMATCH,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,STILL_UNVERIFIED,,,0,Ehemalige Lager-/Fasslad…
node,Akteur,Umacon,QUOTE_MISMATCH,https://recreate-project.eu/tag/consolis-parma/,STILL_UNVERIFIED,,,0,Umacon
node,Software,Restado,QUOTE_MISMATCH,https://restado.de/ueber-restado/,STILL_UNVERIFIED,,,2,Restado
node,Akteur,Metso Oyj,QUOTE_MISMATCH,https://parma.fi/betonielementtien-uudelleenkayttoa-koeponnistettu-onnistuneesti-recreate-hankkeen-minipiloteissa/,STILL_UNVERIFIED,,,0,Metso Oyj
node,Akteur,AKT II,QUOTE_MISMATCH,https://en.wikipedia.org/wiki/AKT_II,STILL_UNVERIFIED,,,0,AKT II
node,Akteur,Symmetrys,QUOTE_MISMATCH,https://symmetrys.com/about-us/,STILL_UNVERIFIED,,,0,Symmetrys
node,Materialdepot,Verbiest Lagerhaus zu…,QUOTE_MISMATCH,https://ica-wb.be/en/node/1684,STILL_UNVERIFIED,,,1,Verbiest Lagerhaus zu…
node,Akteur,Stiftung Edith Maryon,LINK_DEAD,https://www.maryon.ch/,STILL_UNVERIFIED,,,0,Stiftung Edith Maryon
node,Akteur,Zirkular,QUOTE_MISMATCH,https://zirkular.net/en/service/,STILL_UNVERIFIED,,,1,Zirkular
node,Akteur,Michel Massmünster,QUOTE_MISMATCH,https://zirkular.net/en/project/building-k-118,RECOVERED,https://www.park-books.com/produkt/bauteile-wiederverwenden/108,STRONG,2,Michel Massmünster
node,Akteur,Eike Roswag-Klinge,QUOTE_MISMATCH,https://www.zrs.berlin/en/article/reallabor-lab-be-ware-from-research-straight-to-implementation,RECOVERED,https://www.nbl.berlin/persons/prof-eike-roswag-klinge,STRONG,2,Eike Roswag-Klinge
node,Akteur,Søren Nielsen,QUOTE_MISMATCH,https://vandkunsten.com/en/projects/component-reuse,STILL_UNVERIFIED,,,0,Søren Nielsen
node,Akteur,Anders Lendager,QUOTE_MISMATCH,https://lendager.com/project/resource-rows,RECOVERED,https://circularmaterialsystems.com/en/case/02_en_resource-rows,STRONG,3,Anders Lendager
node,Akteur,Andrea Klinge,QUOTE_MISMATCH,https://www.zrs.berlin/en/article/reallabor-lab-be-ware-from-research-straight-to-implementation,RECOVERED,https://www.zrs.berlin/en/article/kickoff-reallabor-be-ware-2,STRONG,1,Andrea Klinge
node,Akteur,Maximilian Stemmler,QUOTE_MISMATCH,https://klingelhoefer-kroetsch.de/projekte/Stuttgart_210,STILL_UNVERIFIED,,,0,Maximilian Stemmler
node,Akteur,Daniel Hoffmann,QUOTE_MISMATCH,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/projets/scharenmoosstrasse,STILL_UNVERIFIED,,,2,Daniel Hoffmann
node,Akteur,Gian Trachsler,QUOTE_MISMATCH,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/projets/scharenmoosstrasse,STILL_UNVERIFIED,,,2,Gian Trachsler
node,Akteur,Katrine West Kristensen,QUOTE_MISMATCH,https://vandkunsten.com/en/projects/component-reuse,STILL_UNVERIFIED,,,0,Katrine West Kristensen
node,Programm,Architecture of Reuse…,QUOTE_MISMATCH,https://rotordb.org/en/projects/architecture-reuse-brussels,STILL_UNVERIFIED,,,0,Architecture of Reuse…
node,Akteur,Christine Conix,QUOTE_MISMATCH,https://www.conixrdbm.com/project/multi,STILL_UNVERIFIED,,,2,Christine Conix
node,Akteur,Tampere University,QUOTE_MISMATCH,https://parma.fi/betonielementtien-uudelleenkayttoa-koeponnistettu-onnistuneesti-recreate-hankkeen-minipiloteissa/,STILL_UNVERIFIED,,,0,Tampere University
node,Akteur,RotorDC,QUOTE_MISMATCH,https://rotordc.com/blog/salvaging-by-rotordc-3/generale-banks-hq-brussels-72,STILL_UNVERIFIED,,,0,RotorDC
node,Akteur,Opalis,QUOTE_MISMATCH,https://experimentationsurbaines.ademe.fr/blog/ressource/opalis-plateforme-de-reemploi-de-materiaux-de-construction-et-de-renovation/,STILL_UNVERIFIED,,,3,Opalis
node,Akteur,BauKarussell,QUOTE_MISMATCH,https://www.baukarussell.at/projekte,STILL_UNVERIFIED,,,0,BauKarussell
node,Akteur,New Horizon,QUOTE_MISMATCH,https://www.superuse-studios.com/about-us,STILL_UNVERIFIED,,,0,New Horizon
node,Akteur,Lionel Devlieger,QUOTE_MISMATCH,https://rotordb.org/en/projects/reuse-multi-project,STILL_UNVERIFIED,,,2,Lionel Devlieger
node,Akteur,CANCAN Architecture,QUOTE_MISMATCH,https://www.collectifcancan.fr/project/refair/,STILL_UNVERIFIED,,,0,CANCAN Architecture
node,Akteur,RE-WIN,QUOTE_MISMATCH,https://re-win.ch/verein/ueber,STILL_UNVERIFIED,,,0,RE-WIN
node,Akteur,Carla Ferrando Costansa,QUOTE_MISMATCH,https://www.archdaily.com/1008183/parabase-reuses-prefabricated-concrete-elements-for-a-radical-housing-development-in-basel-switzerland,STILL_UNVERIFIED,,,1,Carla Ferrando Costansa
node,Akteur,RAU,QUOTE_MISMATCH,https://thomasrau.eu/en/initiatives/rau,STILL_UNVERIFIED,,,0,RAU
node,Akteur,Madaster,QUOTE_MISMATCH,https://circulareconomy.europa.eu/platform/en/dialogue/existing-eu-platforms/madaster,STILL_UNVERIFIED,,,3,Madaster
node,Akteur,Wick ReUse / ROTO Baumarkt,QUOTE_MISMATCH,https://wickreuse.ch/baumarkt/,STILL_UNVERIFIED,,,0,Wick ReUse / ROTO Baumarkt
node,Akteur,Materialrest24,QUOTE_MISMATCH,https://www.handwerk-magazin.de/materialrest24de-restbestaende-clever-verwerten-183318,STILL_UNVERIFIED,,,2,Materialrest24
node,Akteur,Salza,QUOTE_MISMATCH,https://salza.ch/bauteil-plattform,STILL_UNVERIFIED,,,0,Salza
node,Akteur,useagain / Bauteilclick,QUOTE_MISMATCH,https://library-of-reuse.ch/pioneers/useagain,STILL_UNVERIFIED,,,0,useagain / Bauteilclick
