kind,type,subject,object,url,http_status,match_kind,match_score,evidence_status,is_homepage,quote,eid,checked_at
rel,HAT_BAUTEILTYP,Façade support members,Fassade,https://www.arup.com/projects/brent-cross-town,404,NONE,0.00,LINK_DEAD,False,Neue façade support members,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141549,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,"Türen, Fenster und…",Fenster,https://www.buildingsocialecology.org/projects/crclr-house-berlin/,200,NONE,0.12,QUOTE_MISMATCH,False,"Türen, Fenster und Sanitär im CRCLR-Gesamtprojekt mit unscharfer Fit-out-Zuordnung",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141672,2026-06-07T18:25:17Z
rel,NUTZT_MATERIAL,Pretty Plastic Schindeln…,Kunststoff,https://overtredersw.nl/projects/peoples-pavilion,,NONE,0.00,LINK_DEAD,False,Pretty Plastic Schindeln aus Haushaltskunststoff,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675056,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Wand- und Fassadenelemen…,Wand,https://www.plattenvereinigung.de/project/orte/,200,NONE,0.25,QUOTE_MISMATCH,False,Wand- und Fassadenelemente aus Betonfertigteilen,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629826999,2026-06-07T18:25:17Z
rel,NUTZT_MATERIAL,Drei Beton-Wohnungsteile,Beton,https://www.kerkrade.nl/superlocal-bleijerheide,200,NONE,0.25,QUOTE_MISMATCH,False,Drei Beton-Wohnungsteile / Großmodule,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675081,2026-06-07T18:25:17Z
rel,NUTZT_MATERIAL,Beton als Recycling-Zusc…,Beton,https://www.gladsaxe.dk/,403,NONE,0.00,LINK_DEAD,True,Zerkleinerter Beton als Recycling-Zuschlag,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675086,2026-06-07T18:25:17Z
rel,NUTZT_MATERIAL,Repurposed Cleveland…,Stahl,https://www.stiffandtrevillion.com/projects/tower-bridge-road,404,NONE,0.00,LINK_DEAD,False,Repurposed Cleveland steel für obere Etage TBC,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675092,2026-06-07T18:25:17Z
rel,VERBUNDEN_MIT_AKTEUR,Circular Hub Zürich,Sumami,https://circularhub.ch/magazin/details/sumami-wiederverwendung-von-schweizer-baumaterialien,200,WEAK,0.43,LIKELY_REVIEW,False,Circular Hub profiles sumami and useagain.ch Swiss reuse platform,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193621,2026-06-07T18:25:17Z
rel,VERBUNDEN_MIT_AKTEUR,Sumami,useagain / Bauteilclick,https://sustainable-digital-construction.ethz.ch/en/reuse,200,STRONG,0.88,CLICKABLE_VERIFIED,False,developing useagain- the Swiss brokerage and sales platform,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508379,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Upcycled window elements,Fenster,https://www.lendager.com/projects/trae,200,WEAK,0.40,LIKELY_REVIEW,False,Upcycled window elements,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141795,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Dinesen-Offcuts als…,Boden,https://www.lendager.com/projects/upcycle-studios,200,NONE,0.00,QUOTE_MISMATCH,False,Dinesen-Offcuts als Böden/Wände/Fassaden,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141797,2026-06-07T18:25:17Z
rel,HAT_BAUTEILTYP,Doppelverglaste Fenster,Fenster,https://www.lendager.com/projects/upcycle-studios,200,NONE,0.00,QUOTE_MISMATCH,False,Doppelverglaste Fenster,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141798,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,Recyclingbeton aus…,Recyclingbeton,https://www.lendager.com/projects/upcycle-studios,200,NONE,0.00,QUOTE_MISMATCH,False,Recyclingbeton aus Copenhagen Metro,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360359,2026-06-07T18:25:18Z
rel,HAT_BAUTEILTYP,Verbiest Dach- und…,Dach,https://opalis.eu/fr/projets/verbiest-karreveld,404,NONE,0.00,LINK_DEAD,False,Verbiest Dach- und Terrassenfliesen,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629827050,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,Wetternde Stahl-Offcut-T…,Stahl,https://www.saxumvineyards.com/,200,NONE,0.20,HOMEPAGE_ONLY,True,Wetternde Stahl-Offcut-Tore Saxum,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675120,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,HSB-Holz Balken und…,Holz,https://www.boschgaard.nl/,200,NONE,0.00,HOMEPAGE_ONLY,True,HSB-Holz Balken und Ausbauholz,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675123,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,New Horizon UM,Beton,https://www.circonl.nl/case/urban-mining-new-horizon/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"De schone materialen die het bedrijf terugwint, zoals beton, bitumen en baksteen, zijn één op één vergelijkbaar met nieuwe materialen.",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360474,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,New Horizon UM,Superuse Studios / 2012Architecten,https://www.superuse-studios.com/publication/oogstkaart-nl-adopted-by-new-horizon/,200,NONE,0.29,QUOTE_MISMATCH,False,continued Oogstkaart platform from Superuse since 2020,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193754,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Bauteilbörse Hannover,Restado,https://restado.de/profil/bauteilboerse-hannover/,200,STRONG,1.00,CLICKABLE_VERIFIED,False,restado profile for Bauteilbörse Hannover,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931879010,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Bauteilbörse Hannover,Concular,https://restado.de/profil/bauteilboerse-hannover/,200,STRONG,0.86,CLICKABLE_VERIFIED,False,restado lists Bauteilbörse Hannover; restado operated by Concular,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193762,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Bauteilbörse Hannover,bauteilnetz Deutschland,http://www.bauteilnetz.de/bauteilnetz/website/stdws_adresse/bauteilboersen.html,200,STRONG,1.00,CLICKABLE_VERIFIED,False,bauteilbörse hannover partner of bauteilnetz Deutschland,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:71,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Haus der Materialisierung,Material Mafia,https://hausdermaterialisierung.org/info/,200,STRONG,0.67,CLICKABLE_VERIFIED,False,Material Mafia consortium partner in DBU Reallabor at HdM | on-site MaterialMafia warehouse at Haus der Materialisierung,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919894077152428657,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Haus der Materialisierung,Kunst-Stoffe e.V.,https://hausdermaterialisierung.org/info/,200,STRONG,1.00,CLICKABLE_VERIFIED,False,Kunst-Stoffe e.V. als Projektleitung des Zentrums für klimaschonende Ressourcennutzung | Projektleitung Zentrum für klimaschonende Ressourcennutzung im HdM,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919894077152434142,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Haus der Materialisierung,TU Berlin,https://www.tu.berlin/en/circulareconomy/research/hdm,200,STRONG,0.80,CLICKABLE_VERIFIED,False,real-world laboratory for material reuse structures,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193763,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Material Mafia,TU Berlin,https://www.tu.berlin/circulareconomy/forschung/hdm,200,STRONG,1.00,CLICKABLE_VERIFIED,False,Material Mafia partner in TU Berlin HdM Reallabor,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931879025,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Circular Berlin,Haus der Materialisierung,https://hausdermaterialisierung.org/info/,200,STRONG,1.00,CLICKABLE_VERIFIED,False,Circular City partner in DBU Reallabor at Haus der Materialisierung,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508530,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Circular Berlin,Material Mafia,https://www.tu.berlin/circulareconomy/forschung/hdm,200,WEAK,0.40,LIKELY_REVIEW,False,shared HdM DBU consortium partners,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162041953559249522,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Circular Berlin,TU Berlin,https://www.tu.berlin/circulareconomy/forschung/hdm,200,STRONG,0.83,CLICKABLE_VERIFIED,False,Circular City consortium partner with TU Berlin at HdM,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931879026,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,CSTB,Mobius Réemploi,https://www.cstb.fr/nos-offres/toutes-nos-offres/accompagner-developpement-reemploi,200,STRONG,0.71,CLICKABLE_VERIFIED,False,SPIROU partners include Mobius Réemploi,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931879138,2026-06-07T18:25:18Z
rel,BETEILIGT_AN,Brussels Environment,PREUSE,https://opalis.eu/en/about,200,STRONG,1.00,CLICKABLE_VERIFIED,False,Rotor match-funded by Brussels Environment under Renolution for PREUSE,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490288355,2026-06-07T18:25:18Z
rel,BETEILIGT_AN,Brussels Environment,FCRBE,https://opalis.eu/en/about,200,STRONG,0.86,CLICKABLE_VERIFIED,False,Opalis monitored and funded by Brussels Environment,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676603107,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Brussels Environment,Opalis,https://opalis.eu/en/about,200,STRONG,0.91,CLICKABLE_VERIFIED,False,Rotor match-funded by Brussels Environment under Renolution for PREUSE Opalis maintenance,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508643,2026-06-07T18:25:18Z
rel,BETEILIGT_AN,City of Utrecht,PREUSE,https://preuse.nweurope.eu/blog/preuse-news-64/official-opening-of-the-utrecht-reuse-centre-979,200,STRONG,1.00,CLICKABLE_VERIFIED,False,Utrecht Trechterweide reuse centre opened March 2025,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155274459490288356,2026-06-07T18:25:18Z
rel,BETEILIGT_AN,Bellastock,PREUSE,https://preuse.nweurope.eu/partners,200,STRONG,1.00,CLICKABLE_VERIFIED,False,Bellastock — France — PREUSE partner,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524523063,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Bellastock,CSTB,https://experimentationsurbaines.ademe.fr/blog/ressource/programmes-repar-1-et-2/,200,STRONG,1.00,CLICKABLE_VERIFIED,False,"REPAR with Bellastock, ADEME and CSTB",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917642277338743522,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Bellastock,Opalis,https://opalis.eu/en/about,200,STRONG,0.86,CLICKABLE_VERIFIED,False,Since 2019 Bellastock joined; maintains French Opalis section,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:63,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Minéka,Opalis,https://opalis.eu/fr/fournisseurs/mineka,200,STRONG,0.60,CLICKABLE_VERIFIED,False,listed on Opalis supplier directory,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118193906,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,EPD- oder LCA-Nachweis,OekobilanzEPD,https://www.gebaeudeforum.de/wissen/nachhaltiges-bauen-und-sanieren/lebenszyklusbetrachtung/oekobilanzierung-lca/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,Zur Erstellung belastbarer Ökobilanzen werden in der Regel Umweltproduktdeklarationen (EPDs) gemäß DIN EN 15804 herangezogen,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014157,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Materialpass oder DPP,MaterialpassRessourcenpass,https://green-forum.ec.europa.eu/implementing-ecodesign-sustainable-products-regulation_en,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,Technical preparation for the roll-out of the Digital Product Passport (DPP) is already underway by the Commission,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014159,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Barrierefreiheitsaudit,BarrierefreiheitNachweis,https://www.baunormenlexikon.de/norm/din-18040-1/c099c3ee-ecd0-48ed-9d9d-ec0f84970d53,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Ziel dieser Norm ist die Barrierefreiheit baulicher Anlagen, damit sie für Menschen mit Behinderungen in der allgemein üblichen Weise zugänglich und nutzbar sin",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014160,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Elektrosicherheitsprüfung,Elektrosicherheitsnachweis,https://www.elektrofachkraft.de/pruefung/elektrotechnische-erstpruefung-wiederholungspruefung,200,STRONG,0.80,CLICKABLE_VERIFIED,False,Die DGUV Vorschrift 3 fordert in § 5 Abs. 1 Nr. 1 grundsätzlich Prüfungen vor der Inbetriebnahme von elektrischen Betriebsmitteln und Anlagen,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014161,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Trinkwasser-Hygiene-Nachweis,HygieneUndReinigungsnachweis,https://www.vdi.de/mitgliedschaft/vdi-richtlinien/unsere-richtlinien-highlights/vdi-6023,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Ziel der Richtlinienreihe ist es, die einwandfreie Trinkwasserqualität in der Trinkwasser-Installation zu bewahren",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014162,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,Bauteilkatalog Immobilien Basel-Stadt,Digvis GmbH,https://bauteile-ibs.ch/contact,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,sel-stadt bauteilkatalog zur wiederverwendung projekt kontakt minen referenzen login warenkorb 0 kontakt frage,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118194046,2026-06-07T18:25:18Z
rel,VERBUNDEN_MIT_AKTEUR,BauMaB Kassel / Bauteilbörse Kassel,Stadt Kassel,https://baumab-kassel.de/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,True,"kassel – baumab kassel img:is([sizes=auto i],[sizes^=""auto,"" i]){contain-intrinsic-size:3000px 1500px}.woocom",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304508810,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,ZirkuLIE Bauteilbörse Triesen,Aluminium,https://shop.zirkulie.net/produkt-kategorie/gebaeudehuelle-2/fenster-gebaeudehuelle-2/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,Suchen nach: Filter Materialien Zurücksetzen Aluminium Glas Holz Kunststoff Standort Zurücksetzen Alle Zentrum für Zirkuläres Bauen Anwenden Filter Nach Beliebt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153001768955675538,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,ZirkuLIE Bauteilbörse Triesen,Glas,https://shop.zirkulie.net/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,True,In den Warenkorb Deckenleuchte glas CHF 15.00 pro Stk.,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155253568769360786,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,ZirkuLIE Bauteilbörse Triesen,Holz,https://shop.zirkulie.net/produkt-kategorie/gebaeudehuelle-2/fenster-gebaeudehuelle-2/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,Suchen nach: Filter Materialien Zurücksetzen Aluminium Glas Holz Kunststoff Standort Zurücksetzen Alle Zentrum für Zirkuläres Bauen Anwenden Filter Nach Beliebt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157505368583046034,2026-06-07T18:25:18Z
rel,NUTZT_MATERIAL,ZirkuLIE Bauteilbörse Triesen,Kunststoff,https://shop.zirkulie.net/produkt-kategorie/gebaeudehuelle-2/fenster-gebaeudehuelle-2/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,Suchen nach: Filter Materialien Zurücksetzen Aluminium Glas Holz Kunststoff Standort Zurücksetzen Alle Zentrum für Zirkuläres Bauen Anwenden Filter Nach Beliebt,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159757168396731282,2026-06-07T18:25:18Z
rel,HAT_BAUTEILTYP,ZirkuLIE Bauteilbörse Triesen,Treppe,https://shop.zirkulie.net/,200,STRONG,1.00,CLICKABLE_VERIFIED,True,"ZirkuLIE – Zentrum für Zirkuläres Bauen Home Shop Ausstattung Gebäude Mobiliar Regale / Lagerstrukturen Kleininventar Dach Dachhaut, Dachziegel Gebäudehülle Aus",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511938962,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,SchadstoffanalyseBeschichtung,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014788,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Schadstoffanalyse,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014791,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,SchadstoffanalyseHolz,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014837,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,PcpLindan,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014838,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,SchadstoffanalyseKleber,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014849,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,ApprovalProcess,GenehmigungsOderZustimmungsbedarf,https://www.ressource-deutschland.de/service/rechtlicher-rahmen-zur-ressourceneffizienz/eu-bauprodukte-verordnung-2024/3110/,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Nach Art. 13 sind Hersteller von Produkten, die einer harmonisierten technischen Spezifikation unterliegen, verpflichtet eine Leistungs- und Konformitätserkläru",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700106,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Chlorid,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014863,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,SchadstoffanalyseKitt,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014877,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Ankerpruefung,Befestigungsnachweis,https://www.wurth.co.uk/media/downloads/pdf/anchors_2/literature/adm/03_Building_Site_Tests.pdf,200,NONE,0.11,QUOTE_MISMATCH,False,"Tests for anchors on site may be required ... To validate the quality of installation of anchors used on the job, i.e. proof tests",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700147,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Petrografie,RcGesteinskoernungEignung,https://www.schwenk.de/recyclingbeton-baustoff-der-zukunft/,200,STRONG,0.78,CLICKABLE_VERIFIED,False,"es kann bei dem gleichen Hersteller durchaus sein, dass es Schwankungen in der petrografischen Zusammensetzung der RC-Körnung gibt",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700150,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Staubbewertung,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014908,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,Staubschutz,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014912,2026-06-07T18:25:18Z
rel,ERFUELLT_NACHWEIS,BiozidScreening,Schadstoffpruefung,https://www.bgbau.de/themen/sicherheit-und-gesundheit/asbest,200,VERBATIM,1.00,CLICKABLE_VERIFIED,False,"Seit dem 31. Oktober 1993 besteht in Deutschland ein Herstellungs-, Inverkehrbringens- und Verwendungsverbot für Asbest",5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014935,2026-06-07T18:25:18Z
