"legacy_path","entity","id","target","target_index","action"
"dokument\index.md","quelle","Legacy_dokument_index.","quelle/Legacy_dokument_index.","_graph\quelle\Legacy_dokument_index.\index.md","merge_into_index"
"fallstudie.md","quelle","Legacy_fallstudie.","quelle/Legacy_fallstudie.","_graph\quelle\Legacy_fallstudie.\index.md","merge_into_index"
"gastprofessur.md","quelle","Legacy_gastprofessur.","quelle/Legacy_gastprofessur.","_graph\quelle\Legacy_gastprofessur.\index.md","merge_into_index"
"gebaeude\Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien.md","quelle","Legacy_gebaeude_Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien.","quelle/Legacy_gebaeude_Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien.","_graph\quelle\Legacy_gebaeude_Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien.\index.md","archive_as_source"
"gebaeude\gebäude_wiederverwendung_direct_reuse_examples.md","quelle","Legacy_gebaeude_geb_ude_wiederverwendung_direct_reuse_examples.","quelle/Legacy_gebaeude_geb_ude_wiederverwendung_direct_reuse_examples.","_graph\quelle\Legacy_gebaeude_geb_ude_wiederverwendung_direct_reuse_examples.\index.md","archive_as_source"
"gebaeude\gebäude2_wiederverwendung_direct_reuse_examples.md","quelle","Legacy_gebaeude_geb_ude2_wiederverwendung_direct_reuse_examples.","quelle/Legacy_gebaeude_geb_ude2_wiederverwendung_direct_reuse_examples.","_graph\quelle\Legacy_gebaeude_geb_ude2_wiederverwendung_direct_reuse_examples.\index.md","archive_as_source"
"gebaeude\gebäude3_wiederverwendung_direct_reuse_examples.md","quelle","Legacy_gebaeude_geb_ude3_wiederverwendung_direct_reuse_examples.","quelle/Legacy_gebaeude_geb_ude3_wiederverwendung_direct_reuse_examples.","_graph\quelle\Legacy_gebaeude_geb_ude3_wiederverwendung_direct_reuse_examples.\index.md","archive_as_source"
"gebaeude\gebäude4_wiederverwendung_direct_reuse_examples.md","quelle","Legacy_gebaeude_geb_ude4_wiederverwendung_direct_reuse_examples.","quelle/Legacy_gebaeude_geb_ude4_wiederverwendung_direct_reuse_examples.","_graph\quelle\Legacy_gebaeude_geb_ude4_wiederverwendung_direct_reuse_examples.\index.md","archive_as_source"
"gebaeude\index.md","quelle","Legacy_gebaeude_index.","quelle/Legacy_gebaeude_index.","_graph\quelle\Legacy_gebaeude_index.\index.md","merge_into_index"
"gebäude.md","quelle","Legacy_geb_ude.","quelle/Legacy_geb_ude.","_graph\quelle\Legacy_geb_ude.\index.md","merge_into_index"
"huerde\index.md","quelle","Legacy_huerde_index.","quelle/Legacy_huerde_index.","_graph\quelle\Legacy_huerde_index.\index.md","merge_into_index"
"hürde.md","quelle","Legacy_h_rde.","quelle/Legacy_h_rde.","_graph\quelle\Legacy_h_rde.\index.md","merge_into_index"
"interview.md","quelle","Legacy_interview.","quelle/Legacy_interview.","_graph\quelle\Legacy_interview.\index.md","merge_into_index"
"kennwert.md","quelle","Legacy_kennwert.","quelle/Legacy_kennwert.","_graph\quelle\Legacy_kennwert.\index.md","merge_into_index"
"kennwert\index.md","quelle","Legacy_kennwert_index.","quelle/Legacy_kennwert_index.","_graph\quelle\Legacy_kennwert_index.\index.md","merge_into_index"
"leistungsanforderung.md","quelle","Legacy_leistungsanforderung.","quelle/Legacy_leistungsanforderung.","_graph\quelle\Legacy_leistungsanforderung.\index.md","merge_into_index"
"leistungsanforderung\index.md","quelle","Legacy_leistungsanforderung_index.","quelle/Legacy_leistungsanforderung_index.","_graph\quelle\Legacy_leistungsanforderung_index.\index.md","merge_into_index"
"logistik.md","quelle","Legacy_logistik.","quelle/Legacy_logistik.","_graph\quelle\Legacy_logistik.\index.md","merge_into_index"
"logistik\index.md","quelle","Legacy_logistik_index.","quelle/Legacy_logistik_index.","_graph\quelle\Legacy_logistik_index.\index.md","merge_into_index"
"material.md","quelle","Legacy_material.","quelle/Legacy_material.","_graph\quelle\Legacy_material.\index.md","merge_into_index"
"material\index.md","quelle","Legacy_material_index.","quelle/Legacy_material_index.","_graph\quelle\Legacy_material_index.\index.md","merge_into_index"
"meta\Dataview_Abfragen.md","meta","Legacy_meta_Dataview_Abfragen.","meta/Legacy_meta_Dataview_Abfragen.","_graph\meta\Legacy_meta_Dataview_Abfragen.\index.md","keep_meta"
"meta\Entity_Schema.md","meta","Legacy_meta_Entity_Schema.","meta/Legacy_meta_Entity_Schema.","_graph\meta\Legacy_meta_Entity_Schema.\index.md","keep_meta"
"meta\index.md","meta","Legacy_meta_index.","meta/Legacy_meta_index.","_graph\meta\Legacy_meta_index.\index.md","keep_meta"
"meta\Namenskonvention.md","meta","Legacy_meta_Namenskonvention.","meta/Legacy_meta_Namenskonvention.","_graph\meta\Legacy_meta_Namenskonvention.\index.md","keep_meta"
"meta\Recherche_Workflow.md","meta","Legacy_meta_Recherche_Workflow.","meta/Legacy_meta_Recherche_Workflow.","_graph\meta\Legacy_meta_Recherche_Workflow.\index.md","keep_meta"
"methode.md","quelle","Legacy_methode.","quelle/Legacy_methode.","_graph\quelle\Legacy_methode.\index.md","merge_into_index"
"methode\index.md","quelle","Legacy_methode_index.","quelle/Legacy_methode_index.","_graph\quelle\Legacy_methode_index.\index.md","merge_into_index"
"norm.md","quelle","Legacy_norm.","quelle/Legacy_norm.","_graph\quelle\Legacy_norm.\index.md","merge_into_index"
"norm\index.md","quelle","Legacy_norm_index.","quelle/Legacy_norm_index.","_graph\quelle\Legacy_norm_index.\index.md","merge_into_index"
"ort.md","quelle","Legacy_ort.","quelle/Legacy_ort.","_graph\quelle\Legacy_ort.\index.md","merge_into_index"
"ort\index.md","quelle","Legacy_ort_index.","quelle/Legacy_ort_index.","_graph\quelle\Legacy_ort_index.\index.md","merge_into_index"
"person\1wiederverwendung_interviewkontakte_geprueft_erweitert.md","quelle","Legacy_person_1wiederverwendung_interviewkontakte_geprueft_erweitert.","quelle/Legacy_person_1wiederverwendung_interviewkontakte_geprueft_erweitert.","_graph\quelle\Legacy_person_1wiederverwendung_interviewkontakte_geprueft_erweitert.\index.md","archive_as_source"
"person\A_reuse_priority_A_contacts2.md","quelle","Legacy_person_A_reuse_priority_A_contacts2.","quelle/Legacy_person_A_reuse_priority_A_contacts2.","_graph\quelle\Legacy_person_A_reuse_priority_A_contacts2.\index.md","archive_as_source"
"person\B_Wiederverwendung_Interview_Prioritaet.md","quelle","Legacy_person_B_Wiederverwendung_Interview_Prioritaet.","quelle/Legacy_person_B_Wiederverwendung_Interview_Prioritaet.","_graph\quelle\Legacy_person_B_Wiederverwendung_Interview_Prioritaet.\index.md","archive_as_source"
"person\C_Wiederverwendung_Interview_Prioritaet.md","quelle","Legacy_person_C_Wiederverwendung_Interview_Prioritaet.","quelle/Legacy_person_C_Wiederverwendung_Interview_Prioritaet.","_graph\quelle\Legacy_person_C_Wiederverwendung_Interview_Prioritaet.\index.md","archive_as_source"
"person\cirkla_akteure_hohe_mittlere_relevanz.md","quelle","Legacy_person_cirkla_akteure_hohe_mittlere_relevanz.","quelle/Legacy_person_cirkla_akteure_hohe_mittlere_relevanz.","_graph\quelle\Legacy_person_cirkla_akteure_hohe_mittlere_relevanz.\index.md","archive_as_source"
"person\full updated 2 wiederverwendung_akteursliste_sterne_einliste.md","quelle","Legacy_person_full_updated_2_wiederverwendung_akteursliste_sterne_einliste.","quelle/Legacy_person_full_updated_2_wiederverwendung_akteursliste_sterne_einliste.","_graph\quelle\Legacy_person_full_updated_2_wiederverwendung_akteursliste_sterne_einliste.\index.md","archive_as_source"
"person\full updated 3 wiederverwendung_akteursliste_sterne_einliste.md","quelle","Legacy_person_full_updated_3_wiederverwendung_akteursliste_sterne_einliste.","quelle/Legacy_person_full_updated_3_wiederverwendung_akteursliste_sterne_einliste.","_graph\quelle\Legacy_person_full_updated_3_wiederverwendung_akteursliste_sterne_einliste.\index.md","archive_as_source"
"person\full updated 4 v2 wiederverwendung_akteursliste_sterne_einliste.md","quelle","Legacy_person_full_updated_4_v2_wiederverwendung_akteursliste_sterne_einliste.","quelle/Legacy_person_full_updated_4_v2_wiederverwendung_akteursliste_sterne_einliste.","_graph\quelle\Legacy_person_full_updated_4_v2_wiederverwendung_akteursliste_sterne_einliste.\index.md","archive_as_source"
"person\full updated 4 wiederverwendung_akteursliste_sterne_einliste.md","quelle","Legacy_person_full_updated_4_wiederverwendung_akteursliste_sterne_einliste.","quelle/Legacy_person_full_updated_4_wiederverwendung_akteursliste_sterne_einliste.","_graph\quelle\Legacy_person_full_updated_4_wiederverwendung_akteursliste_sterne_einliste.\index.md","archive_as_source"
"person\full updated wiederverwendung_akteursliste_sterne_einliste.md","quelle","Legacy_person_full_updated_wiederverwendung_akteursliste_sterne_einliste.","quelle/Legacy_person_full_updated_wiederverwendung_akteursliste_sterne_einliste.","_graph\quelle\Legacy_person_full_updated_wiederverwendung_akteursliste_sterne_einliste.\index.md","archive_as_source"
"person\interviewkontakte_entwerfen_mit_bestand.md","quelle","Legacy_person_interviewkontakte_entwerfen_mit_bestand.","quelle/Legacy_person_interviewkontakte_entwerfen_mit_bestand.","_graph\quelle\Legacy_person_interviewkontakte_entwerfen_mit_bestand.\index.md","archive_as_source"
"person\last wiederverwendung_interview_links_aktualisiert.md","quelle","Legacy_person_last_wiederverwendung_interview_links_aktualisiert.","quelle/Legacy_person_last_wiederverwendung_interview_links_aktualisiert.","_graph\quelle\Legacy_person_last_wiederverwendung_interview_links_aktualisiert.\index.md","archive_as_source"
"person\lets wiederverwendung_must_interview_tragende_bauteile.md","quelle","Legacy_person_lets_wiederverwendung_must_interview_tragende_bauteile.","quelle/Legacy_person_lets_wiederverwendung_must_interview_tragende_bauteile.","_graph\quelle\Legacy_person_lets_wiederverwendung_must_interview_tragende_bauteile.\index.md","archive_as_source"
"person\README.md","quelle","Legacy_person_README.","quelle/Legacy_person_README.","_graph\quelle\Legacy_person_README.\index.md","archive_as_source"
"person\wiederverwendung_must_interview_prioritaet.md","quelle","Legacy_person_wiederverwendung_must_interview_prioritaet.","quelle/Legacy_person_wiederverwendung_must_interview_prioritaet.","_graph\quelle\Legacy_person_wiederverwendung_must_interview_prioritaet.\index.md","archive_as_source"
"person\wiederverwendung_must_interview_prioritaet_direkt_reuse.md","quelle","Legacy_person_wiederverwendung_must_interview_prioritaet_direkt_reuse.","quelle/Legacy_person_wiederverwendung_must_interview_prioritaet_direkt_reuse.","_graph\quelle\Legacy_person_wiederverwendung_must_interview_prioritaet_direkt_reuse.\index.md","archive_as_source"
"person\wiederverwendung_must_interview_prioritaet_erweitert.md","quelle","Legacy_person_wiederverwendung_must_interview_prioritaet_erweitert.","quelle/Legacy_person_wiederverwendung_must_interview_prioritaet_erweitert.","_graph\quelle\Legacy_person_wiederverwendung_must_interview_prioritaet_erweitert.\index.md","archive_as_source"
"person\wiederverwendung_prioritaet_kompakt.md","quelle","Legacy_person_wiederverwendung_prioritaet_kompakt.","quelle/Legacy_person_wiederverwendung_prioritaet_kompakt.","_graph\quelle\Legacy_person_wiederverwendung_prioritaet_kompakt.\index.md","archive_as_source"
"person\wiederverwendung_structural_elements_filtered.md","quelle","Legacy_person_wiederverwendung_structural_elements_filtered.","quelle/Legacy_person_wiederverwendung_structural_elements_filtered.","_graph\quelle\Legacy_person_wiederverwendung_structural_elements_filtered.\index.md","archive_as_source"
"professur.md","quelle","Legacy_professur.","quelle/Legacy_professur.","_graph\quelle\Legacy_professur.\index.md","merge_into_index"
"projekt.md","quelle","Legacy_projekt.","quelle/Legacy_projekt.","_graph\quelle\Legacy_projekt.\index.md","merge_into_index"
"projekt\index.md","quelle","Legacy_projekt_index.","quelle/Legacy_projekt_index.","_graph\quelle\Legacy_projekt_index.\index.md","merge_into_index"
"prompts.md","quelle","Legacy_prompts.","quelle/Legacy_prompts.","_graph\quelle\Legacy_prompts.\index.md","archive_as_source"
"prozessphase.md","quelle","Legacy_prozessphase.","quelle/Legacy_prozessphase.","_graph\quelle\Legacy_prozessphase.\index.md","merge_into_index"
"prozessphase\index.md","quelle","Legacy_prozessphase_index.","quelle/Legacy_prozessphase_index.","_graph\quelle\Legacy_prozessphase_index.\index.md","merge_into_index"
"pruefung\index.md","quelle","Legacy_pruefung_index.","quelle/Legacy_pruefung_index.","_graph\quelle\Legacy_pruefung_index.\index.md","merge_into_index"
"prüfung.md","quelle","Legacy_pr_fung.","quelle/Legacy_pr_fung.","_graph\quelle\Legacy_pr_fung.\index.md","merge_into_index"
"recht.md","quelle","Legacy_recht.","quelle/Legacy_recht.","_graph\quelle\Legacy_recht.\index.md","merge_into_index"
"recht\index.md","quelle","Legacy_recht_index.","quelle/Legacy_recht_index.","_graph\quelle\Legacy_recht_index.\index.md","merge_into_index"
"reuse_strategie\index.md","quelle","Legacy_reuse_strategie_index.","quelle/Legacy_reuse_strategie_index.","_graph\quelle\Legacy_reuse_strategie_index.\index.md","merge_into_index"
"reuse-strategie.md","quelle","Legacy_reuse-strategie.","quelle/Legacy_reuse-strategie.","_graph\quelle\Legacy_reuse-strategie.\index.md","merge_into_index"
"schadstoff.md","quelle","Legacy_schadstoff.","quelle/Legacy_schadstoff.","_graph\quelle\Legacy_schadstoff.\index.md","merge_into_index"
"schadstoff\index.md","quelle","Legacy_schadstoff_index.","quelle/Legacy_schadstoff_index.","_graph\quelle\Legacy_schadstoff_index.\index.md","merge_into_index"
"tragwerkssystem.md","quelle","Legacy_tragwerkssystem.","quelle/Legacy_tragwerkssystem.","_graph\quelle\Legacy_tragwerkssystem.\index.md","merge_into_index"
"tragwerkssystem\index.md","quelle","Legacy_tragwerkssystem_index.","quelle/Legacy_tragwerkssystem_index.","_graph\quelle\Legacy_tragwerkssystem_index.\index.md","merge_into_index"
"tragwerkssystem\to_sort\index.md","quelle","Legacy_tragwerkssystem_to_sort_index.","quelle/Legacy_tragwerkssystem_to_sort_index.","_graph\quelle\Legacy_tragwerkssystem_to_sort_index.\index.md","merge_into_index"
"verbindung.md","quelle","Legacy_verbindung.","quelle/Legacy_verbindung.","_graph\quelle\Legacy_verbindung.\index.md","merge_into_index"
"verbindung\index.md","quelle","Legacy_verbindung_index.","quelle/Legacy_verbindung_index.","_graph\quelle\Legacy_verbindung_index.\index.md","merge_into_index"
"wirtschaft.md","quelle","Legacy_wirtschaft.","quelle/Legacy_wirtschaft.","_graph\quelle\Legacy_wirtschaft.\index.md","merge_into_index"
"wirtschaft\index.md","quelle","Legacy_wirtschaft_index.","quelle/Legacy_wirtschaft_index.","_graph\quelle\Legacy_wirtschaft_index.\index.md","merge_into_index"
