"fallstudie","relation","legacy_path","akteur_candidate","beziehung","vertrauensgrad"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__004__Ramboll_Finland","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Ramboll Finland","technischer Partner","teilweise belegt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__005__Umacon","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Umacon","selektiver Rückbau","belegt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__006__LIIKE_Oy_Arkkitehtistudio","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","LIIKE Oy Arkkitehtistudio","ReCreate-Finnish cluster","belegt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__001__dRMM_Architects","Gebäude\Hastings_Pier_Visitor_Centre.md","dRMM Architects","Architektur","belegt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__002__Hastings_Pier_Charity","Gebäude\Hastings_Pier_Visitor_Centre.md","Hastings Pier Charity","Bauherr / Projektträger","belegt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__003__Ramboll","Gebäude\Hastings_Pier_Visitor_Centre.md","Ramboll","Tragwerks-/Multidisciplinary Engineering","belegt"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__001__Seidl_Seidl_Architekten_Architekturb_ro_Hose_Dr","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Seidl + Seidl Architekten; Architekturbüro Hose; Dr. Angelika Mettke / BTU Cottbus","Planung und Forschungsbegleitung","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__001__FORE_Partnership","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","FORE Partnership","Developer TBC.London","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__002__Stiff_Trevillion","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Stiff + Trevillion","Architekt TBC.London laut BD/Willmott Dixon; NSC nennt ECE Architecture","teilweise belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__003__ECE_Architecture","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","ECE Architecture","Architect TBC.London laut NSC","teilweise belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Willmott_Dixon","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Willmott Dixon","Main contractor TBC.London","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__005__Webb_Yates_Engineers","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Webb Yates Engineers","Structural engineer TBC.London","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__006__Four_Bay_Structures","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Four Bay Structures","steelwork contractor / Aufbereitung","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__007__Cleveland_Steel","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Cleveland Steel","Reclaimed steel supply partner","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__008__McLaren_Construction","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","McLaren Construction","Contractor am House-of-Fraser site","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__009__Civic_Engineers","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Civic Engineers","Urban-mining matchmaking / engineering","belegt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__010__Studio_PDP","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Studio PDP","318 Oxford Street project team / design","belegt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__001__Impact_Hub_Berlin_LXSY_Architektur_TRNSFRM_eG_Di","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Impact Hub Berlin, LXSY Architektur, TRNSFRM eG, Die Zusammenarbeiter, ZRS Ingenieure","Nutzer, Innenarchitektur, Projektentwicklung/Architektur, Tragwerksplanung im Gesamtprojekt","belegt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__001__Rothuizen_Architecten_Taco_Tuinhof","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Rothuizen Architecten / Taco Tuinhof","Architekt","belegt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__002__Burobas","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Burobas","Innenarchitektur / feste Einrichtung","belegt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__003__ABT_Adviesbureau_L_ning","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","ABT + Adviesbureau Lüning","Holz-/Tragwerksberatung","belegt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__001__Graber_Pulver_Architekt_innen","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Graber Pulver Architekt:innen","Wettbewerbsgewinner / Architektur","belegt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__002__Zirkular_GmbH","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Zirkular GmbH","Fachplanung Re-Use / Bauteiljagd / BIM-Katalog","belegt"
