"source","relation","target","raw_label","legacy_path","proposed_action","proposed_target","proposed_relation","proposal_confidence","reviewer_note"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_bauteiltyp","bauteiltyp/Bauwerksteil","Ramp / pier components","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Bauwerksteil","Retained Print Building structure","Gebäude\Timber_Square_London.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Verbiest_Karreveld_Brussels__013__Verbiest_Industriegew_chshaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","Verbiest Industriegewächshaus","Gebäude\Verbiest_Karreveld_Brussels.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_bauteiltyp","bauteiltyp/Bauwerksteil","Wohnungsteile / Betonunits","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","keep_review","","","REVIEW_REQUIRED","Bauwerksteil is too broad; decide object scale vs component scale from source."
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","Aussteifung","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","approve_move","tragwerksprinzip/Wand_Kern_Tragwerk","has_tragwerksprinzip","REVIEW","Likely bracing/core structural principle; source context required."
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","has_bauteiltyp","bauteiltyp/Tragstruktur","Aussteifung / bracing members","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","approve_move","tragwerksprinzip/Wand_Kern_Tragwerk","has_tragwerksprinzip","REVIEW","Likely bracing/core structural principle; source context required."
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__008__Betonhallen_Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Betonhallen / Tragstruktur","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","approve_move","tragwerkstyp/Ortbetontragwerk","has_tragwerkstyp","REVIEW","Concrete structure; verify whether it is in-situ, frame, or slab system."
"reuse_einsatz/Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","has_bauteiltyp","bauteiltyp/Tragstruktur","Concrete slab on metal deck / composite framing","Gebäude\Boulder_Fire_Station_3.md","approve_move","tragwerkstyp/Ortbetontragwerk","has_tragwerkstyp","REVIEW","Concrete structure; verify whether it is in-situ, frame, or slab system."
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_bauteiltyp","bauteiltyp/Tragstruktur","Dachtragwerk / Rohrträger","Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","approve_move","tragwerkstyp/Dachtragwerk","has_tragwerkstyp","CONFIDENT_IF_SOURCE_CLEAR","Dachtragwerk is a structural type, not bauteiltyp."
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_bauteiltyp","bauteiltyp/Tragstruktur","Dachtragwerk Christusraum","Gebäude\Christ_Pavilion_Volkenroda.md","approve_move","tragwerkstyp/Dachtragwerk","has_tragwerkstyp","CONFIDENT_IF_SOURCE_CLEAR","Dachtragwerk is a structural type, not bauteiltyp."
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Holzrahmen / Dachtragwerk","Gebäude\Chiro_d_Itterbeek_Dilbeek.md","approve_move","tragwerkstyp/Dachtragwerk","has_tragwerkstyp","CONFIDENT_IF_SOURCE_CLEAR","Dachtragwerk is a structural type, not bauteiltyp."
"reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Holzstruktur","Gebäude\Circular_Pavilion_Paris.md","approve_move","tragwerkstyp/Holztragwerk","has_tragwerkstyp","REVIEW","Material-derived structural system; verify whether Holz-Skeletttragwerk is more exact."
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__002__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Holzstruktur","Gebäude\Lo_Reninge_Town_Hall_Facade.md","approve_move","tragwerkstyp/Holztragwerk","has_tragwerkstyp","REVIEW","Material-derived structural system; verify whether Holz-Skeletttragwerk is more exact."
"reuse_einsatz/Plattenvereinigung_Berlin__005__Prim_rtragwerk_Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","Primärtragwerk / Aussteifung","Gebäude\Plattenvereinigung_Berlin.md","approve_move","tragwerksprinzip/Wand_Kern_Tragwerk","has_tragwerksprinzip","REVIEW","Likely bracing/core structural principle; source context required."
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahlstruktur der Traghalle Hagenholz","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","approve_move","tragwerkstyp/Holztragwerk","has_tragwerkstyp","REVIEW","Material-derived structural system; verify whether Holz-Skeletttragwerk is more exact."
"reuse_einsatz/Timber_Square_London__005__Neue_recycled_content_Stahlbauteile","has_bauteiltyp","bauteiltyp/Tragstruktur","Neue/recycled-content Stahlbauteile","Gebäude\Timber_Square_London.md","create_or_review","tragwerkstyp/Stahltragwerk","has_tragwerkstyp","REVIEW","A generic Stahltragwerk node may be needed; current clean ontology only has Stahl_Skeletttragwerk."
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__003__Stahlbauteile_Laubeng_nge","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahlbauteile Laubengänge","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","create_or_review","tragwerkstyp/Stahltragwerk","has_tragwerkstyp","REVIEW","A generic Stahltragwerk node may be needed; current clean ontology only has Stahl_Skeletttragwerk."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__004__Stahlkonstruktion_Beschattung","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahlkonstruktion Beschattung","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","create_or_review","tragwerkstyp/Stahltragwerk","has_tragwerkstyp","REVIEW","A generic Stahltragwerk node may be needed; current clean ontology only has Stahl_Skeletttragwerk."
"reuse_einsatz/The_Green_House_Utrecht__007__Stahltragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Stahltragwerk","Gebäude\The_Green_House_Utrecht.md","create_or_review","tragwerkstyp/Stahltragwerk","has_tragwerkstyp","REVIEW","A generic Stahltragwerk node may be needed; current clean ontology only has Stahl_Skeletttragwerk."
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__010__Bestandstragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Bestandstragwerk","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__003__Bestehendes_Tragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","Bestehendes Tragwerk","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","has_bauteiltyp","bauteiltyp/Tragstruktur","Dachgarten-Tragunterbau","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__002__Haupttragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","Haupttragwerk Bestand","Gebäude\Institut_de_Botanique_ULg_Liege.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/gjG_House_Gentbrugge__003__Infill_Struktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Infill-Struktur","Gebäude\gjG_House_Gentbrugge.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","has_bauteiltyp","bauteiltyp/Tragstruktur","neues Tragwerk Besucherzentrum","Gebäude\Hastings_Pier_Visitor_Centre.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/TRAE_High_Rise_Aarhus__001__Prim_rstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Primärstruktur","Gebäude\TRAE_High_Rise_Aarhus.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Tragstruktur","Retained Print Building structure","Gebäude\Timber_Square_London.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__009__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragstruktur","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Maison_Vignette_Auderghem__007__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragstruktur","Gebäude\Maison_Vignette_Auderghem.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Maison_des_Canaux_Paris__007__Tragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragwerk Bestand","Gebäude\Maison_des_Canaux_Paris.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Resource_Rows_Copenhagen__004__Tragwerk_Neubau","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragwerk Neubau","Gebäude\Resource_Rows_Copenhagen.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","has_bauteiltyp","bauteiltyp/Tragstruktur","Tragwerksrahmen / Balken / Stützen","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","keep_review","","","REVIEW_REQUIRED","Tragstruktur is too broad; derive system/principle/component from source."
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_huerde","huerde/Logistikproblem","Bruch/Transport","Gebäude\Christ_Pavilion_Volkenroda.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_huerde","huerde/Logistikproblem","Demontage, Tests, Transport, Kosten","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_huerde","huerde/Logistikproblem","Fügung/Transport","Gebäude\Christ_Pavilion_Volkenroda.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_huerde","huerde/Logistikproblem","Gewicht, Transport, Plattenzustand","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_huerde","huerde/Logistikproblem","heavy lifting / transport","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__010__Pflaster_Bodenplatten_au_en","has_huerde","huerde/Logistikproblem","Logistik/Lagerung","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","approve_move","huerde/Fehlende_Lagerflaeche","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","Storage issue is a concrete logistics barrier."
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_huerde","huerde/Logistikproblem","Passung, Transport, Glaszustand","Gebäude\AWM_Muenster_Circular_Office.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","has_huerde","huerde/Logistikproblem","Programm-/Lieferkettenprobleme bei reclaimed doors","Gebäude\BedZED_London_Hackbridge.md","approve_move","huerde/Verfuegbarkeitsproblem","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","Availability/supply problem is more precise than Logistikproblem."
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_huerde","huerde/Logistikproblem","Risse beim Kran-/Trailertransport, Maßhaltigkeit","Gebäude\Superlocal_Expogebouw_Bleijerheide.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","has_huerde","huerde/Logistikproblem","Transport, Gewicht, Einpassung","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_huerde","huerde/Logistikproblem","Transport/Gewicht","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_huerde","huerde/Logistikproblem","Transport/Montage","Gebäude\Christ_Pavilion_Volkenroda.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_huerde","huerde/Logistikproblem","Transportgewicht","Gebäude\Broethen_Twin_House_Hoyerswerda.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Mehrow_Pilot_House__002__Deckenplatten","has_huerde","huerde/Logistikproblem","Transportgewicht, Montage","Gebäude\Mehrow_Pilot_House.md","approve_move","huerde/Terminunsicherheit","has_huerde","REVIEW","Transport may be schedule/logistics or just process phase; verify exact barrier."
"reuse_einsatz/Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Hohlk_rperdecken","has_huerde","huerde/Logistikproblem","Integration in Montagefolge/Logistik","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","keep_review","","","REVIEW_REQUIRED","Logistikproblem is broad; map only if a concrete logistics barrier is visible."
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","has_huerde","huerde/Logistikproblem","Logistik","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","keep_review","","","REVIEW_REQUIRED","Logistikproblem is broad; map only if a concrete logistics barrier is visible."
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__006__Stra_enpflasterplatten","has_huerde","huerde/Logistikproblem","Logistik","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","keep_review","","","REVIEW_REQUIRED","Logistikproblem is broad; map only if a concrete logistics barrier is visible."
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__003__Granitboden","has_huerde","huerde/Logistikproblem","Logistik","Gebäude\Multi_Brussels_Reuse_in_MULTI.md","keep_review","","","REVIEW_REQUIRED","Logistikproblem is broad; map only if a concrete logistics barrier is visible."
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_huerde","huerde/Logistikproblem","Logistik / Gewicht","Gebäude\Ferme_du_Rail_Paris.md","keep_review","","","REVIEW_REQUIRED","Logistikproblem is broad; map only if a concrete logistics barrier is visible."
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__012__Granitpflaster","has_huerde","huerde/Logistikproblem","Logistik Gewicht","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","keep_review","","","REVIEW_REQUIRED","Logistikproblem is broad; map only if a concrete logistics barrier is visible."
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_huerde","huerde/Performance_Nachweis","Eignung als Baufolie","Gebäude\Brighton_Waste_House_Brighton.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/Thoravej_29_Copenhagen__002__Fassaden_Ziegel_berschuss","has_huerde","huerde/Performance_Nachweis","Eignung als Boden","Gebäude\Thoravej_29_Copenhagen.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","has_huerde","huerde/Performance_Nachweis","experimentelle Eignung","Gebäude\Brighton_Waste_House_Brighton.md","approve_move","huerde/Technische_Freigabe","has_huerde","REVIEW","Likely technical approval/proof barrier, but verify whether a pruefung_nachweis edge is better."
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","has_huerde","huerde/Performance_Nachweis","fehlendes Werkszeugnis; Gewährleistung; Zeit/Kosten","Gebäude\CRCLR_House_Impact_Hub_Berlin.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","has_huerde","huerde/Performance_Nachweis","Gewährleistung / Hygiene","Gebäude\Maison_des_Canaux_Paris.md","approve_move","huerde/Hygieneanforderung","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","Hygiene is an explicit requirement/barrier."
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__001__Fassadenbekleidung_Holzfassade","has_huerde","huerde/Performance_Nachweis","Herkunft und Leistung nicht belegt","Gebäude\Institut_de_Botanique_ULg_Liege.md","approve_move","huerde/Technische_Freigabe","has_huerde","CONFIDENT_IF_SOURCE_CLEAR","The barrier is missing/uncertain proof or approval."
