"fallstudie","reuse_einsatz","legacy_path","bauteil","material","herkunft","menge_umfang"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__005__Garage_Schuppen_Au_enmauern","Gebäude\Berlin_Schildow_Pilot_House_2.md","Garage / Schuppen / Außenmauern","Stahlbetonplatten","WBS70","unbekannt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__006__Fenster","Gebäude\Berlin_Schildow_Pilot_House_2.md","Fenster","unbekannt","unbekannt","unbekannt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__007__T_ren","Gebäude\Berlin_Schildow_Pilot_House_2.md","Türen","unbekannt","unbekannt","unbekannt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__008__Dach","Gebäude\Berlin_Schildow_Pilot_House_2.md","Dach","unbekannt / Teile aus Betonplatten wahrscheinlich","WBS70?","unbekannt"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__009__TGA","Gebäude\Berlin_Schildow_Pilot_House_2.md","TGA","unbekannt","unbekannt","unbekannt"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Fertigteil-Paneele","Stahlbeton / Betonfertigteil","drei Bungalows des Olympischen Dorfes München","Paneele aus 3 Bungalows; Anzahl unbekannt"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__002__T_ren","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Türen","unbekannt","unbekannt","unbekannt"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__003__Fenster_Fassade","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Fenster/Fassade","unbekannt","unbekannt","unbekannt"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__004__Dach","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Dach","unbekannt","unbekannt","unbekannt"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__005__Treppen_Gel_nder","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Treppen/Geländer","unbekannt","unbekannt","unbekannt"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__006__TGA_Sanit_r_Beleuchtung","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","TGA / Sanitär / Beleuchtung","unbekannt","unbekannt","unbekannt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","Gebäude\Big_Dig_Building_Boston.md","Boxbeams / Infrastrukturträger","Beton/Stahl, genau unbekannt","Big Dig temporäre/obsolete Straßeninfrastruktur","unbekannt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__002__Stra_en_Rampenelemente","Gebäude\Big_Dig_Building_Boston.md","Straßen-/Rampenelemente","Beton/Stahl","Big Dig","unbekannt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__003__Fassaden_Cladding_Elemente","Gebäude\Big_Dig_Building_Boston.md","Fassaden-/Cladding-Elemente","unbekannt","Big Dig-Materialstrom","unbekannt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__004__Landscape_elevated_landscape_elements","Gebäude\Big_Dig_Building_Boston.md","Landscape / elevated landscape elements","Beton/Stahl/Erde unbekannt","Big Dig-Infrastruktur","unbekannt"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__005__TGA_Fenster_T_ren_Dach","Gebäude\Big_Dig_Building_Boston.md","TGA, Fenster, Türen, Dach","unbekannt","unbekannt","unbekannt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Stahlträger","Stahl","dismantled I-93 / Big Dig","Teil von 300 tons / 600,000+ lb"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__002__Stahlst_tzen","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Stahlstützen","Stahl","Big Dig components","Teil der Gesamtmasse"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__003__Inverset_panels","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Inverset panels","Stahlbeton / reinforced concrete","temporary site ramps and roads","10 ft wide, variable length laut Britannica"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Ramp / pier components","Beton + Stahl","Boston Big Dig","Teil von 300 tons"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Dachgarten-Tragunterbau","Reused steel/concrete structure","Big Dig material","unbekannt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__006__Glas_Zedernfassade","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Glas-/Zedernfassade","Glas / cedar","vermutlich neu","unbekannt"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__007__Concrete_block_garage_wing","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Concrete-block garage wing","Betonblock","vermutlich neu","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Träger / Stützen / Stahlrahmen","Stahl","ehemaliges Gorlaeus-Hochhaus","165.000 kg; Quellenabweichung 150–170 t"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__002__Decken_kanaalplaatvloer","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Decken / kanaalplaatvloer","Beton / Hohlplatten?","Neubau / nicht als Reuse belegt","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Wände / Innenwände","unterschiedliche feste Innenbauteile","u. a. ehemaliges Ministeriumsgebäude laut [S2]","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__004__Fassadenmaterial_Gabionenf_llung","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Fassadenmaterial / Gabionenfüllung","Mauerwerkspuin / Schutt","Gorlaeus-Abbruch","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__005__Bodenbelag_Eingang_Erdgeschoss","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Bodenbelag Eingang / Erdgeschoss","Pflaster, Naturstein","Gorlaeus / weitere Reuse-Quellen","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__006__T_ren","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Türen","Türen","Quellen nennen Türen allgemein","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Sanitär","Keramik / Armaturen unbekannt","u. a. Accounting-Firm-Zentrale nach PTSA","PTSA nennt 18 Toiletten/Waschbecken"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__008__Beleuchtung","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Beleuchtung","unbekannt","unbekannt","unbekannt"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__009__M_bel","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Möbel","verschiedene","verschiedene","unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","Gebäude\BlueCity_Offices_Rotterdam.md","Fensterrahmen / Red-Cedar-Rahmen","Holz, Glas teils ersetzt","Abbruchgebäude / geerntete Rahmen; Sekundärquelle nennt Krankenhausfenster","Menge unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__002__wiederverwendeter_Stahl","Gebäude\BlueCity_Offices_Rotterdam.md","wiederverwendeter Stahl","Stahl","unbekannt","unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__003__Betonbl_cke","Gebäude\BlueCity_Offices_Rotterdam.md","Betonblöcke","Beton","ursprüngliches Tropicana / laut Sekundärquelle","unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__004__Balustraden","Gebäude\BlueCity_Offices_Rotterdam.md","Balustraden","Metall / unbekannt","laut Sekundärquelle dekommissionierte Ölplattform","unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__005__T_ren","Gebäude\BlueCity_Offices_Rotterdam.md","Türen","unbekannt","unbekannt","unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__006__Beleuchtung","Gebäude\BlueCity_Offices_Rotterdam.md","Beleuchtung","unbekannt","unbekannt","unbekannt"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__007__feste_Einbauten","Gebäude\BlueCity_Offices_Rotterdam.md","feste Einbauten","Holz/sonstige","unbekannt","unbekannt"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","Gebäude\Boulder_Fire_Station_3.md","Wide-flange beams / structural steel members","Stahl","Boulder Community Hospital Steel Stockpile","89 Mitglieder / ca. 25 tons"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","Gebäude\Boulder_Fire_Station_3.md","Stahlstockpile gesamt","Stahl","dekommissioniertes Hospital","161 tons salvaged structural steel"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__003__Glulam_timber_columns","Gebäude\Boulder_Fire_Station_3.md","Glulam timber columns","Brettschichtholz","neu/unbekannt","unbekannt"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","Gebäude\Boulder_Fire_Station_3.md","Concrete slab on metal deck / composite framing","Beton/Stahl","neu/unbekannt","unbekannt"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__005__PV_Dach_gro_e_Dachfl_che","Gebäude\Boulder_Fire_Station_3.md","PV-Dach / große Dachfläche","Photovoltaik/Metall","neu/unbekannt","offset estimated 65 % annual electric consumption laut AISC"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__006__T_ren_Leuchten_Toiletten_Cabinets_aus_Hospital","Gebäude\Boulder_Fire_Station_3.md","Türen, Leuchten, Toiletten, Cabinets aus Hospital","diverse","Hospital","unbekannt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Lange Stützen aus reclaimed tubulars","Stahlrohre","surplus/cancelled oil and gas pipeline projects via Cleveland Steel and Tubes","Anteil in 33.46 t enthalten"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Aussteifung / bracing members","Stahlrohre","wie oben","Anteil in 33.46 t enthalten"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__003__Fa_ade_support_members","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Façade support members","Stahl, überwiegend neu","nicht reused","unbekannt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__004__Ovaler_Substation_Screen","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Ovaler Substation-Screen","Stahl + Hülle/Artwork","Mischsystem","21 m hoch, 115 m Umfang / 52 m lang laut Arup"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__005__Earth_Friendly_Concrete_low_cement_concrete","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Earth Friendly Concrete / low-cement concrete","Beton","neu / zementreduziert","unbekannt"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__006__Elektrotechnische_Anlagen","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Elektrotechnische Anlagen","unbekannt","neu","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__001__Betonbl_cke","Gebäude\Brighton_Waste_House_Brighton.md","Betonblöcke","Beton","weggeworfene Baustellenmaterialien","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__002__Holz_off_cut_timber","Gebäude\Brighton_Waste_House_Brighton.md","Holz / off-cut timber","Holz","Bauabfälle / Reststücke","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__003__Sperrholz_ply_sheets","Gebäude\Brighton_Waste_House_Brighton.md","Sperrholz / ply sheets","Holzwerkstoff","Baustellenabfall","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__004__Teppichfliesen","Gebäude\Brighton_Waste_House_Brighton.md","Teppichfliesen","Textil/Kunststoff","gebrauchte Teppichfliesen","2.000 Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__005__Vinylbanner","Gebäude\Brighton_Waste_House_Brighton.md","Vinylbanner","Kunststoff/Textil","alte Veranstaltungsbanner","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__006__Zahnb_rsten","Gebäude\Brighton_Waste_House_Brighton.md","Zahnbürsten","Kunststoff","Flug-/Hotel-/Haushaltsabfall","19.800–20.000 Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__007__Denim_jeans","Gebäude\Brighton_Waste_House_Brighton.md","Denim jeans","Textil","Altkleider","2 tonnes"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__008__Videokassetten_DVD_cases_Floppy_Discs","Gebäude\Brighton_Waste_House_Brighton.md","Videokassetten / DVD cases / Floppy Discs","Kunststoff","Haushalts-/Medienabfall","z. B. 4.000 Videokassetten, 4.000 DVD cases, 4.000 Floppy Discs je Quelle unterschiedlich"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__009__Fahrradschl_uche","Gebäude\Brighton_Waste_House_Brighton.md","Fahrradschläuche","Gummi","gebrauchte Fahrradteile","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","Gebäude\Brighton_Waste_House_Brighton.md","Kaffeesatz-Arbeitsplatte","organisch/Verbund","alte coffee cup grinds","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","Gebäude\Brighton_Waste_House_Brighton.md","Duvets / Bettdecken","Textil","Wohnheime der Universität","unbekannt"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__012__Austernschalen_Wandfliesen","Gebäude\Brighton_Waste_House_Brighton.md","Austernschalen-Wandfliesen","Muschelschalen + Zuschläge","Restaurant / Baustelle Preston Barracks","unbekannt"
