"source","relation","old_target","new_target","decision","raw_label","note"
"reuse_einsatz/Liander_Alliander_HQ_Duiven__001__Bestandsgeb_ude_Hauptstruktur","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Bestandsgebäude / Hauptstruktur","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__004__Glasgang","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Glasgang","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__011__Bestand_Block_6000","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Bestand Block 6000","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Maison_DnA_Asse__003__innere_Box","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","innere Box","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Recyclinghaus_Hannover__013__Rohbau","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Rohbau","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Wohnungsteile / Betonunits","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__008__Observatoriumskuppel","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Observatoriumskuppel","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Retained Print Building structure","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/Verbiest_Karreveld_Brussels__013__Verbiest_Industriegew_chshaus","has_bauteiltyp","bauteiltyp/Bauwerksteil","","delete","Verbiest Industriegewächshaus","target bauteiltyp/Bauwerksteil dropped per schema"
"reuse_einsatz/BedZED_London_Hackbridge__005__Ger_strohre_als_Rampen_Gel_nder_Balustraden","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Gerüstrohre als Rampen/Geländer/Balustraden",""
"reuse_einsatz/BlueCity_Offices_Rotterdam__004__Balustraden","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Balustraden",""
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__003__Br_stungen_parapets","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Brüstungen / parapets",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__006__Gitterroste_Br_stungsgitter","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Gitterroste / Brüstungsgitter",""
"reuse_einsatz/Hastings_Pier_Visitor_Centre__005__Pier_Balustraden_Deck","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Pier-Balustraden / Deck",""
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__005__Gel_nder_Br_stungsgel_nder","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Geländer / Brüstungsgeländer",""
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__008__Br_stungen_Borstweringen","has_bauteiltyp","bauteiltyp/Bruestung","bauteiltyp/Gelaender","split","Brüstungen / Borstweringen",""
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Teppichfliesen",""
"reuse_einsatz/Brighton_Waste_House_Brighton__012__Austernschalen_Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Austernschalen-Wandfliesen",""
"reuse_einsatz/Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Boden","split","Bodenpflaster / Bruseleye tiles",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Wandfliesen",""
"reuse_einsatz/Ferme_du_Rail_Paris__006__Fliesen_Fayence","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Fliesen / Fayence",""
"reuse_einsatz/Ferme_du_Rail_Paris__008__textile_rezyklierte_Fasern","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","textile / rezyklierte Fasern",""
"reuse_einsatz/Grande_Halle_de_Colombelles__009__Fliesen_Fayence","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Fliesen / Fayence",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__011__Innere_Oberfl_chen_Mosaikfliesen_Terrazzo","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Innere Oberflächen: Mosaikfliesen/Terrazzo",""
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__005__Fliesen_unter_Traufe_Regenf_nger_Rand","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Fliesen unter Traufe / Regenfänger-Rand",""
"reuse_einsatz/Maison_Vignette_Auderghem__003__Wandfliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Wandfliesen",""
"reuse_einsatz/Recyclinghaus_Hannover__011__Fliesen_Kronkorken_Mosaik","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Fliesen / Kronkorken-Mosaik",""
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__004__Dachziegel_roof_tiles_vingetegl","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Dach","split","Dachziegel / roof tiles / vingetegl",""
"reuse_einsatz/Verbiest_Karreveld_Brussels__006__Verbiest_Dachfliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Dach","split","Verbiest Dachfliesen",""
"reuse_einsatz/Verbiest_Karreveld_Brussels__007__Verbiest_Terrassenfliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Verbiest Terrassenfliesen",""
"reuse_einsatz/Verbiest_Karreveld_Brussels__009__Verbiest_Fliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Verbiest Fliesen",""
"reuse_einsatz/Verbiest_Karreveld_Brussels__011__Verbiest_dekorative_Fliesen","has_bauteiltyp","bauteiltyp/Fliese","bauteiltyp/Wand","split","Verbiest dekorative Fliesen",""
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_bauteiltyp","bauteiltyp/Kern","bauteiltyp/Wand","split","Stahlprofile für neuen externen Kern",""
"reuse_einsatz/55_Great_Suffolk_Street_London__005__Br_ckenlinks_zum_Kern","has_bauteiltyp","bauteiltyp/Kern","bauteiltyp/Wand","split","Brückenlinks zum Kern",""
"reuse_einsatz/55_Great_Suffolk_Street_London__006__Fassadenbekleidung_externer_Kern","has_bauteiltyp","bauteiltyp/Kern","bauteiltyp/Wand","split","Fassadenbekleidung externer Kern",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","bauteiltyp/Kern","bauteiltyp/Wand","split","Hohlkörperdecken / hollow-core slabs",""
"reuse_einsatz/Montessori_Maassluis__001__Hohlk_rperdecken_hollow_core_slabs","has_bauteiltyp","bauteiltyp/Kern","bauteiltyp/Wand","split","Hohlkörperdecken / hollow core slabs",""
"reuse_einsatz/BedZED_London_Hackbridge__009__Feste_Einbauten_K_chenteile","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","Feste Einbauten/Küchenteile",""
"reuse_einsatz/Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","Kaffeesatz-Arbeitsplatte",""
"reuse_einsatz/Charles_Malis_Molenbeek__005__Schalter_Counter","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","Schalter/Counter",""
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__010__gebrauchte_K_che","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","gebrauchte Küche",""
"reuse_einsatz/PLP_London_HQ_Circular_Studio_Fitout__001__Terrazzo_Arbeitsfl_chen_K_chenfl_chen","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","Terrazzo-Arbeitsflächen / Küchenflächen",""
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","Küche / Küchenunit",""
"reuse_einsatz/The_Green_House_Utrecht__010__TGA_K_che_Solar","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","TGA / Küche / Solar",""
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__006__K_chenbl_cke","has_bauteiltyp","bauteiltyp/Kueche","bauteiltyp/Ausbau","move","Küchenblöcke",""
"reuse_einsatz/Big_Dig_Building_Boston__004__Landscape_elevated_landscape_elements","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Landscape / elevated landscape elements","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__008__vertikaler_Pflanzenfilter_B_ume","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","vertikaler Pflanzenfilter / Bäume","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Pflanztröge","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Musee_de_Folklore_Mouscron__004__Park_Au_enraum","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Park / Außenraum","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Recypark_Demets_Anderlecht__005__Skatepark_Fl_chen","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Skatepark-Flächen","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Svanen_Kindergarten_Gladsaxe__010__Fahrradst_nder","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Fahrradständer","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/TRAE_High_Rise_Aarhus__006__Boden_Decken_aus_Gellerupparken","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Boden/Decken aus Gellerupparken","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__006__Eichenparkett","has_bauteiltyp","bauteiltyp/Landschaftselement","","delete","Eichenparkett","target bauteiltyp/Landschaftselement dropped per schema"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Dachgarten-Tragunterbau",""
"reuse_einsatz/Boulder_Fire_Station_3__004__Concrete_slab_on_metal_deck_composite_framing","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Concrete slab on metal deck / composite framing",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__002__Aussteifung_bracing_members","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Aussteifung / bracing members",""
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Tragwerksrahmen / Balken / Stützen",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__013__Holzrahmen_Dachtragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Holztragwerk","split","Holzrahmen / Dachtragwerk",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Dachtragwerk Christusraum",""
"reuse_einsatz/Circular_Pavilion_Paris__003__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Holztragwerk","split","Holzstruktur",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__008__Betonhallen_Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Betontragwerk","split","Betonhallen / Tragstruktur",""
"reuse_einsatz/gjG_House_Gentbrugge__003__Infill_Struktur","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Infill-Struktur",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__003__Stahlbauteile_Laubeng_nge","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Stahlbauteile Laubengänge",""
"reuse_einsatz/Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","neues Tragwerk Besucherzentrum",""
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__002__Haupttragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Haupttragwerk Bestand",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Stahlstruktur der Traghalle Hagenholz",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__003__Bestehendes_Tragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Bestehendes Tragwerk",""
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__009__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Tragstruktur",""
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__004__Stahlkonstruktion_Beschattung","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Stahlkonstruktion Beschattung",""
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__002__Holzstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Holztragwerk","split","Holzstruktur",""
"reuse_einsatz/Maison_des_Canaux_Paris__007__Tragwerk_Bestand","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Tragwerk Bestand",""
"reuse_einsatz/Maison_Vignette_Auderghem__007__Tragstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Tragstruktur",""
"reuse_einsatz/Plattenvereinigung_Berlin__005__Prim_rtragwerk_Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Primärtragwerk / Aussteifung",""
"reuse_einsatz/Resource_Rows_Copenhagen__004__Tragwerk_Neubau","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Tragwerk Neubau",""
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Dachtragwerk / Rohrträger",""
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Aussteifung","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Aussteifung",""
"reuse_einsatz/The_Green_House_Utrecht__007__Stahltragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Stahltragwerk",""
"reuse_einsatz/Timber_Square_London__003__Retained_Print_Building_structure","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Retained Print Building structure",""
"reuse_einsatz/Timber_Square_London__005__Neue_recycled_content_Stahlbauteile","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Neue/recycled-content Stahlbauteile",""
"reuse_einsatz/TRAE_High_Rise_Aarhus__001__Prim_rstruktur","has_bauteiltyp","bauteiltyp/Tragstruktur","bauteiltyp/Traeger","split","Primärstruktur",""
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__010__Bestandstragwerk","has_bauteiltyp","bauteiltyp/Tragstruktur","tragwerkstyp/Stahltragwerk","split","Bestandstragwerk",""
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Passung, Transport, Glaszustand",""
"reuse_einsatz/BedZED_London_Hackbridge__004__T_ren","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Programm-/Lieferkettenprobleme bei reclaimed doors",""
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Transport, Gewicht, Einpassung",""
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__004__Ramp_pier_components","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","heavy lifting / transport",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Transportgewicht",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Transport/Montage",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Fügung/Transport",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Bruch/Transport",""
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Logistik / Gewicht",""
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Logistik",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Gewicht, Transport, Plattenzustand",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Demontage, Tests, Transport, Kosten",""
"reuse_einsatz/Kindergarten_Moeoeslistrasse_Manegg_Zuerich__011__Pflanztr_ge","has_huerde","huerde/Logistikproblem","huerde/Verfuegbarkeitsproblem","split","Transport/Gewicht",""
