"fallstudie","datenpunkt","legacy_path","kennwert","wert","einheit"
"Association_house_Groeditz","Association_house_Groeditz__001__Fertigteile_aus_Dresden_Typ_Schule","Gebäude\Association_house_Groeditz.md","Fertigteile aus Dresden-Typ-Schule","279","Stück"
"Association_house_Groeditz","Association_house_Groeditz__002__WBS70_Paneele_aus_weiterem_Geb_ude","Gebäude\Association_house_Groeditz.md","WBS70-Paneele aus weiterem Gebäude","159","Stück"
"Association_house_Groeditz","Association_house_Groeditz__003__dokumentierte_Fertigteile_gesamt","Gebäude\Association_house_Groeditz.md","dokumentierte Fertigteile gesamt","438","Stück"
"Association_house_Groeditz","Association_house_Groeditz__004__Transportdistanz","Gebäude\Association_house_Groeditz.md","Transportdistanz","ca. 2,5","km"
"Association_house_Groeditz","Association_house_Groeditz__005__Jahr_Fallstudienstart","Gebäude\Association_house_Groeditz.md","Jahr/Fallstudienstart","2007","Jahr"
"Association_house_Plauen","Association_house_Plauen__001__wiederverwendete_Fertigteile_gesamt","Gebäude\Association_house_Plauen.md","wiederverwendete Fertigteile gesamt","189","Stück"
"Association_house_Plauen","Association_house_Plauen__002__Decken_Bodenplatten","Gebäude\Association_house_Plauen.md","Decken-/Bodenplatten","145","Stück"
"Association_house_Plauen","Association_house_Plauen__003__Au_enw_nde","Gebäude\Association_house_Plauen.md","Außenwände","19","Stück"
"Association_house_Plauen","Association_house_Plauen__004__Innenw_nde","Gebäude\Association_house_Plauen.md","Innenwände","14","Stück"
"Association_house_Plauen","Association_house_Plauen__005__Kellerw_nde","Gebäude\Association_house_Plauen.md","Kellerwände","11","Stück"
"Association_house_Plauen","Association_house_Plauen__006__Transportdistanz","Gebäude\Association_house_Plauen.md","Transportdistanz","ca. 7","km"
"Association_house_Plauen","Association_house_Plauen__007__Jahr_Fallstudienstart","Gebäude\Association_house_Plauen.md","Jahr/Fallstudienstart","2007","Jahr"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__001__Fl_che","Gebäude\AWM_Muenster_Circular_Office.md","Fläche","250","m²"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__002__Fl_che","Gebäude\AWM_Muenster_Circular_Office.md","Fläche","200","m²"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__003__wiedergewonnene_Materialien","Gebäude\AWM_Muenster_Circular_Office.md","wiedergewonnene Materialien","6,9","t"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__004__Abfallvermeidung","Gebäude\AWM_Muenster_Circular_Office.md","Abfallvermeidung","6,9","t"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__005__CO_Einsparung","Gebäude\AWM_Muenster_Circular_Office.md","CO₂-Einsparung","13,32","t CO₂e"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__006__CO_Reduktion","Gebäude\AWM_Muenster_Circular_Office.md","CO₂-Reduktion","82","%"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__007__Wassereinsparung","Gebäude\AWM_Muenster_Circular_Office.md","Wassereinsparung","32","%"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__008__c2c_inspiriert_oder_ReUse","Gebäude\AWM_Muenster_Circular_Office.md","c2c-inspiriert oder ReUse","95,6","% Produkte"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__009__CO_Einsparung_Glastrennw_nde","Gebäude\AWM_Muenster_Circular_Office.md","CO₂-Einsparung Glastrennwände","4,39","t CO₂"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__010__CO_Einsparung_Hanfkalk","Gebäude\AWM_Muenster_Circular_Office.md","CO₂-Einsparung Hanfkalk","1,7","t CO₂e"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__011__alte_Holzst_hle_f_r_Wandverkleidung","Gebäude\AWM_Muenster_Circular_Office.md","alte Holzstühle für Wandverkleidung",">500 / 550","Stück"
"AWM_Muenster_Circular_Office","AWM_Muenster_Circular_Office__012__Kostenwirkung","Gebäude\AWM_Muenster_Circular_Office.md","Kostenwirkung","vergleichbare Kosten","qualitativ"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__001__Wiederverwendeter_struktureller_Stahl","Gebäude\BedZED_London_Hackbridge.md","Wiederverwendeter struktureller Stahl","98","t"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__002__Anteil_reclaimed_steel_am_tragenden_Stahl","Gebäude\BedZED_London_Hackbridge.md","Anteil reclaimed steel am tragenden Stahl","95","%"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__003__Kosten_reclaimed_steel","Gebäude\BedZED_London_Hackbridge.md","Kosten reclaimed steel","300","£/t"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__004__Vergleichspreis_neuer_Stahl","Gebäude\BedZED_London_Hackbridge.md","Vergleichspreis neuer Stahl","313","£/t"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__005__Zusatzaufwand_Sourcing_Pr_fung_Stahl","Gebäude\BedZED_London_Hackbridge.md","Zusatzaufwand Sourcing/Prüfung Stahl","ca. 1.000","£"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__006__Gesamte_wiederverwendete_recycelte_Materialien","Gebäude\BedZED_London_Hackbridge.md","Gesamte wiederverwendete/recycelte Materialien","3.404","t"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__007__Anteil_reclaimed_recycled_materials","Gebäude\BedZED_London_Hackbridge.md","Anteil reclaimed/recycled materials","15","% Gewicht"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__008__Baustoffe_aus_35_mile_Zielradius","Gebäude\BedZED_London_Hackbridge.md","Baustoffe aus 35-mile-Zielradius","52","% Gewicht"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__009__Durchschnittliche_Bezugsdistanz","Gebäude\BedZED_London_Hackbridge.md","Durchschnittliche Bezugsdistanz","66,5","miles"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__010__Transportbedingte_CO_Einsparung_durch_lokale_Bes","Gebäude\BedZED_London_Hackbridge.md","Transportbedingte CO₂-Einsparung durch lokale Beschaffung","120","t CO₂"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__011__Wohnungsanzahl","Gebäude\BedZED_London_Hackbridge.md","Wohnungsanzahl","82","Stück"
"BedZED_London_Hackbridge","BedZED_London_Hackbridge__012__Arbeits_Gewerbefl_che","Gebäude\BedZED_London_Hackbridge.md","Arbeits-/Gewerbefläche","1.405–2.500","m²"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__001__zugeschnittene_wiederverwendete_Teile","Gebäude\Berlin_Schildow_Pilot_House.md","zugeschnittene wiederverwendete Teile","200","Stück"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__002__Ursprungs_Deckenplatten","Gebäude\Berlin_Schildow_Pilot_House.md","Ursprungs-Deckenplatten","60","Stück"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__003__Ursprungs_Innenwandplatten","Gebäude\Berlin_Schildow_Pilot_House.md","Ursprungs-Innenwandplatten","50","Stück"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__004__Betonvolumen","Gebäude\Berlin_Schildow_Pilot_House.md","Betonvolumen","245","m³"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__005__Transportdistanz","Gebäude\Berlin_Schildow_Pilot_House.md","Transportdistanz","33","km"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__006__Jahr_Fallstudienstart","Gebäude\Berlin_Schildow_Pilot_House.md","Jahr/Fallstudienstart","2005","Jahr"
"Berlin_Schildow_Pilot_House","Berlin_Schildow_Pilot_House__007__Bauteilalter","Gebäude\Berlin_Schildow_Pilot_House.md","Bauteilalter","ca. 18","Jahre"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__001__wiederverwendete_Teile","Gebäude\Berlin_Schildow_Pilot_House_2.md","wiederverwendete Teile","200","Stück"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__002__wiederverwendetes_Betonvolumen","Gebäude\Berlin_Schildow_Pilot_House_2.md","wiederverwendetes Betonvolumen","245","m³"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__003__Ursprungs_Deckenplatten","Gebäude\Berlin_Schildow_Pilot_House_2.md","Ursprungs-Deckenplatten","60","Stück"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__004__Ursprungs_Innenwandplatten","Gebäude\Berlin_Schildow_Pilot_House_2.md","Ursprungs-Innenwandplatten","50","Stück"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__005__Distanz_Spender_Empf_nger","Gebäude\Berlin_Schildow_Pilot_House_2.md","Distanz Spender–Empfänger","33","km"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__006__Bauteilalter_bei_Wiederverwendung","Gebäude\Berlin_Schildow_Pilot_House_2.md","Bauteilalter bei Wiederverwendung","18","Jahre"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__007__Baujahr_Projektstart","Gebäude\Berlin_Schildow_Pilot_House_2.md","Baujahr / Projektstart","2005","Jahr"
"Berlin_Schildow_Pilot_House_2","Berlin_Schildow_Pilot_House_2__011__Bauzeit","Gebäude\Berlin_Schildow_Pilot_House_2.md","Bauzeit","ca. eine Woche länger als vermutet laut Presse","Zeit"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__001__Jahr_Baubeginn_Empf_ngerprojekt","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Jahr / Baubeginn Empfängerprojekt","2008","Jahr"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__002__Alter_der_wiederverwendeten_Komponenten","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Alter der wiederverwendeten Komponenten","ca. 36","Jahre"
"Bestandverplanzung_Pavilion_Muenchen","Bestandverplanzung_Pavilion_Muenchen__003__Donor_Umfang","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","Donor-Umfang","3","Bungalows"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__001__Projektjahr","Gebäude\Big_Dig_Building_Boston.md","Projektjahr","2008","Jahr"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__002__Site_Area","Gebäude\Big_Dig_Building_Boston.md","Site Area","2.335","m²"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__003__Constructed_Area","Gebäude\Big_Dig_Building_Boston.md","Constructed Area","2.936","m²"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__004__Auszeichnung","Gebäude\Big_Dig_Building_Boston.md","Auszeichnung","Holcim Awards Encouragement Prize 2005–2006 North America","—"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__005__Metropolis_Next_Generation_Prize","Gebäude\Big_Dig_Building_Boston.md","Metropolis Next Generation Prize","belegt","—"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__010__Bauzeit","Gebäude\Big_Dig_Building_Boston.md","Bauzeit","nicht gebaut","—"
"Big_Dig_Building_Boston","Big_Dig_Building_Boston__011__Realisierter_Wiedereinbau","Gebäude\Big_Dig_Building_Boston.md","Realisierter Wiedereinbau","nein / unbekannt","—"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__001__wiederverwendete_Masse","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","wiederverwendete Masse","300","tons"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__002__wiederverwendete_Masse","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","wiederverwendete Masse",">600,000","lb"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__003__Fl_che","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Fläche","4,000","sq ft"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__004__Fl_che","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Fläche","4,027","sq ft"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__005__Fl_che","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Fläche","4,300","sq ft"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__006__Fertigstellung","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Fertigstellung","2006","Jahr"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__007__Baukosten","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Baukosten","645,000","USD, excl. land"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__008__Baukosten","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Baukosten","175","USD/sq ft"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__009__Baukosten","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Baukosten","150","USD/sq ft"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__010__Montagezeit_Frame","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Montagezeit Frame","under 3 days","Zeit"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__011__Montagezeit_Frame_Floors","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Montagezeit Frame/Floors","4 days / 12 hours claim","Zeit"
"Big_Dig_House_Lexington_Massachusetts","Big_Dig_House_Lexington_Massachusetts__012__Roof_capacity_claim","Gebäude\Big_Dig_House_Lexington_Massachusetts.md","Roof capacity claim","250","psf"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__001__wiederverwendete_Stahlmasse","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","wiederverwendete Stahlmasse","165.000","kg"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__002__alternative_Stahlangaben","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","alternative Stahlangaben","ca. 150 / 160 / 170","t"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__003__Transportdistanz_Stahl","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Transportdistanz Stahl","750","m"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__004__Fl_che","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Fläche","6.200–7.000","m²"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__005__embodied_carbon","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","embodied carbon","248","kg CO₂-eq/m²"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__006__CO_Reduktion","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","CO₂-Reduktion","ca. 40","%"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__007__Energie","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Energie","energie-neutral / energiepositiv; A++++ genannt","qualitativ / Label"
"BioPartner_5_Leiden_Oegstgeest","BioPartner_5_Leiden_Oegstgeest__008__Anzahl_wiederverwendeter_Sanit_robjekte","Gebäude\BioPartner_5_Leiden_Oegstgeest.md","Anzahl wiederverwendeter Sanitärobjekte","18 Toiletten/Waschbecken","Stück"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__001__Fl_che_B_rofl_gel","Gebäude\BlueCity_Offices_Rotterdam.md","Fläche Büroflügel","1.300","m²"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__002__Arbeitspl_tze","Gebäude\BlueCity_Offices_Rotterdam.md","Arbeitsplätze","100","Stück"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__003__Circularity_Reuse_Anteil","Gebäude\BlueCity_Offices_Rotterdam.md","Circularity / Reuse-Anteil","90","%"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__004__CO_Reduktion","Gebäude\BlueCity_Offices_Rotterdam.md","CO₂-Reduktion","68","%"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__005__CO_Einsparung","Gebäude\BlueCity_Offices_Rotterdam.md","CO₂-Einsparung","60","t CO₂"
"BlueCity_Offices_Rotterdam","BlueCity_Offices_Rotterdam__009__Bauzeit","Gebäude\BlueCity_Offices_Rotterdam.md","Bauzeit","innerhalb eines Jahres transformiert","Zeitraum"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__001__wiederverwendete_Stahlmember","Gebäude\Boulder_Fire_Station_3.md","wiederverwendete Stahlmember","89","Anzahl"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__002__wiederverwendete_Stahlmasse","Gebäude\Boulder_Fire_Station_3.md","wiederverwendete Stahlmasse","25","tons"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__003__Gesamtmenge_salvaged_structural_steel_Hospital","Gebäude\Boulder_Fire_Station_3.md","Gesamtmenge salvaged structural steel Hospital","161","tons"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__004__weitere_Projekte_mit_Hospital_Stahl","Gebäude\Boulder_Fire_Station_3.md","weitere Projekte mit Hospital-Stahl","21","Anzahl"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__005__Geb_udefl_che","Gebäude\Boulder_Fire_Station_3.md","Gebäudefläche","28.300","sq ft"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__006__Geb_udefl_che","Gebäude\Boulder_Fire_Station_3.md","Gebäudefläche","28.370","sq ft"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__007__Fertigstellung_online","Gebäude\Boulder_Fire_Station_3.md","Fertigstellung / online","November 2024","Datum"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__008__Completion_Date","Gebäude\Boulder_Fire_Station_3.md","Completion Date","Q4 2024","Zeitraum"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__009__Diversion_requirement","Gebäude\Boulder_Fire_Station_3.md","Diversion requirement","75","% by weight"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__010__Hospitalmaterial_vom_Deponieren_vermieden","Gebäude\Boulder_Fire_Station_3.md","Hospitalmaterial vom Deponieren vermieden","60.8 million","pounds"
"Boulder_Fire_Station_3","Boulder_Fire_Station_3__011__PV_Stromanteil","Gebäude\Boulder_Fire_Station_3.md","PV-Stromanteil","ca. 65","% annual electric consumption offset"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__001__wiederverwendete_Stahlmenge","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","wiederverwendete Stahlmenge","33.46","t"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__002__Anteil_reused_steel","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Anteil reused steel","around 45","%"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__003__Anteil_salvaged_structural_steel","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Anteil salvaged structural steel","42.5","%"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__004__weiterer_Anteil_laut_Bourne","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","weiterer Anteil laut Bourne","approx. 50","%"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__005__CO_e_Einsparung","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","CO₂e-Einsparung","66","t CO₂e"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__006__CO_e_Einsparung","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","CO₂e-Einsparung","99.2","t CO₂e"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__007__verpasste_zus_tzliche_Einsparung","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","verpasste zusätzliche Einsparung","22","t embodied carbon"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__008__H_he","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Höhe","21","m"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__009__Umfang","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Umfang","115","m"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__010__L_nge_Artwork","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Länge Artwork","52","m"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__011__Substation_capacity","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Substation capacity","80","MVA"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__012__Stahlbauzeit","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Stahlbauzeit","Juli–November 2022","Zeitraum"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__013__Kostenwirkung","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Kostenwirkung","25 % lower than new steel inkl. Zusatzkosten / 50 % lower material per tonne","%"
"Brent_Cross_Town_Primary_Substation_London","Brent_Cross_Town_Primary_Substation_London__014__Terminwirkung","Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Terminwirkung","keine","qualitativ"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__001__Abfall_berschussmaterial","Gebäude\Brighton_Waste_House_Brighton.md","Abfall-/Überschussmaterial",">85","%"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__002__Alternative_Angabe","Gebäude\Brighton_Waste_House_Brighton.md","Alternative Angabe","nearly 90","%"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__003__Er_ffnung","Gebäude\Brighton_Waste_House_Brighton.md","Eröffnung","10.06.2014","Datum"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__004__Bauzeit","Gebäude\Brighton_Waste_House_Brighton.md","Bauzeit","2013/2014","Jahre"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__005__Zahnb_rsten","Gebäude\Brighton_Waste_House_Brighton.md","Zahnbürsten","19.800–20.000","Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__006__Denim","Gebäude\Brighton_Waste_House_Brighton.md","Denim","2","tonnes"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__007__Videokassetten","Gebäude\Brighton_Waste_House_Brighton.md","Videokassetten","4.000","Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__008__Teppichfliesen","Gebäude\Brighton_Waste_House_Brighton.md","Teppichfliesen","2.000","Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__009__DVD_cases","Gebäude\Brighton_Waste_House_Brighton.md","DVD cases","4.000","Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__010__Floppy_Discs","Gebäude\Brighton_Waste_House_Brighton.md","Floppy Discs","4.000","Stück"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__011__Beteiligte_junge_Menschen","Gebäude\Brighton_Waste_House_Brighton.md","Beteiligte junge Menschen","300–365","Personen"
"Brighton_Waste_House_Brighton","Brighton_Waste_House_Brighton__012__EPC","Gebäude\Brighton_Waste_House_Brighton.md","EPC","A","Klasse"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__001__wiederverwendete_Wandplatten","Gebäude\Broethen_Twin_House_Hoyerswerda.md","wiederverwendete Wandplatten","26","Stück"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__002__wiederverwendete_Deckenplatten","Gebäude\Broethen_Twin_House_Hoyerswerda.md","wiederverwendete Deckenplatten","50","Stück"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__003__wiederverwendete_Bauteile_gesamt","Gebäude\Broethen_Twin_House_Hoyerswerda.md","wiederverwendete Bauteile gesamt","76","Stück"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__004__Transportdistanz","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Transportdistanz","6","km"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__005__Bauteilalter","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Bauteilalter","32","Jahre"
"Broethen_Twin_House_Hoyerswerda","Broethen_Twin_House_Hoyerswerda__006__Projektjahr","Gebäude\Broethen_Twin_House_Hoyerswerda.md","Projektjahr","2001","Jahr"
"CascadeUp_London_secondary_timber_glulam_demonstrator","CascadeUp_London_secondary_timber_glulam_demonstrator__001__Abmessung_Pilotstruktur","Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","Abmessung Pilotstruktur","ca. 3,5 m hoch, 2,5 m breit, 2,0 m tief","m"
