"entity","id","title","target","target_index"
"datenpunkt","55_Great_Suffolk_Street_London__002__Gesamtstahlwerk_am_Kern","Gesamtstahlwerk am Kern - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__002__Gesamtstahlwerk_am_Kern","_graph\datenpunkt\55_Great_Suffolk_Street_London__002__Gesamtstahlwerk_am_Kern\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__003__Anteil_reused_steel_am_Kernstahl","Anteil reused steel am Kernstahl - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__003__Anteil_reused_steel_am_Kernstahl","_graph\datenpunkt\55_Great_Suffolk_Street_London__003__Anteil_reused_steel_am_Kernstahl\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__004__Stahl_aus_donor_site_1_Broadgate","Stahl aus donor site 1 Broadgate - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__004__Stahl_aus_donor_site_1_Broadgate","_graph\datenpunkt\55_Great_Suffolk_Street_London__004__Stahl_aus_donor_site_1_Broadgate\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__005__Reclaimed_stock_Cleveland","Reclaimed stock Cleveland - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__005__Reclaimed_stock_Cleveland","_graph\datenpunkt\55_Great_Suffolk_Street_London__005__Reclaimed_stock_Cleveland\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__006__Gesamtstahlkauf_Fabrix","Gesamtstahlkauf Fabrix - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__006__Gesamtstahlkauf_Fabrix","_graph\datenpunkt\55_Great_Suffolk_Street_London__006__Gesamtstahlkauf_Fabrix\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__007__CO_Einsparung_Stahlreuse","CO₂-Einsparung Stahlreuse - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__007__CO_Einsparung_Stahlreuse","_graph\datenpunkt\55_Great_Suffolk_Street_London__007__CO_Einsparung_Stahlreuse\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__008__Upfront_embodied_carbon","Upfront embodied carbon - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__008__Upfront_embodied_carbon","_graph\datenpunkt\55_Great_Suffolk_Street_London__008__Upfront_embodied_carbon\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__009__Fr_here_RIBA_Stage_2_Sch_tzung","Frühere RIBA Stage 2 Schätzung - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__009__Fr_here_RIBA_Stage_2_Sch_tzung","_graph\datenpunkt\55_Great_Suffolk_Street_London__009__Fr_here_RIBA_Stage_2_Sch_tzung\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__010__Reduktion_gg_LETI_2020_target","Reduktion ggü. LETI 2020 target - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__010__Reduktion_gg_LETI_2020_target","_graph\datenpunkt\55_Great_Suffolk_Street_London__010__Reduktion_gg_LETI_2020_target\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__011__Fl_che","Fläche - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__011__Fl_che","_graph\datenpunkt\55_Great_Suffolk_Street_London__011__Fl_che\index.md"
"datenpunkt","55_Great_Suffolk_Street_London__012__Workspace_Fl_che","Workspace-Fläche - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","datenpunkt/55_Great_Suffolk_Street_London__012__Workspace_Fl_che","_graph\datenpunkt\55_Great_Suffolk_Street_London__012__Workspace_Fl_che\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","Fabrix - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__001__Fabrix\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","Hawkins\Brown - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__002__Hawkins_Brown\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","Symmetrys - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__003__Symmetrys\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","AKT II - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__004__AKT_II\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","CBRE - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__005__CBRE\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","Opera - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__006__Opera\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","Gardiner & Theobald - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__007__Gardiner_Theobald\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","Cantillon - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__008__Cantillon\index.md"
"akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","Cleveland Steel and Tubes - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes\index.md"
"reuse_kette","55_Great_Suffolk_Street_London","Reuse-Kette - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_kette/55_Great_Suffolk_Street_London","_graph\reuse_kette\55_Great_Suffolk_Street_London\index.md"
"reuse_kettenstation","55_Great_Suffolk_Street_London__Donor","Donor - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_kettenstation/55_Great_Suffolk_Street_London__Donor","_graph\reuse_kettenstation\55_Great_Suffolk_Street_London__Donor\index.md"
"reuse_kettenstation","55_Great_Suffolk_Street_London__Receiver","Receiver - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","reuse_kettenstation/55_Great_Suffolk_Street_London__Receiver","_graph\reuse_kettenstation\55_Great_Suffolk_Street_London__Receiver\index.md"
"fallstudie","Altes_Hobelwerk_Winterthur","Altes Hobelwerk, Winterthur","fallstudie/Altes_Hobelwerk_Winterthur","_graph\fallstudie\Altes_Hobelwerk_Winterthur\index.md"
"projekt","Altes_Hobelwerk_Winterthur","Altes Hobelwerk, Winterthur","projekt/Altes_Hobelwerk_Winterthur","_graph\projekt\Altes_Hobelwerk_Winterthur\index.md"
"bauobjekt","Altes_Hobelwerk_Winterthur","Altes Hobelwerk, Winterthur","bauobjekt/Altes_Hobelwerk_Winterthur","_graph\bauobjekt\Altes_Hobelwerk_Winterthur\index.md"
"fallstudie","Areal_Walkeweg_Nord","Areal Walkeweg Nord","fallstudie/Areal_Walkeweg_Nord","_graph\fallstudie\Areal_Walkeweg_Nord\index.md"
"projekt","Areal_Walkeweg_Nord","Areal Walkeweg Nord","projekt/Areal_Walkeweg_Nord","_graph\projekt\Areal_Walkeweg_Nord\index.md"
"bauobjekt","Areal_Walkeweg_Nord","Areal Walkeweg Nord","bauobjekt/Areal_Walkeweg_Nord","_graph\bauobjekt\Areal_Walkeweg_Nord\index.md"
"fallstudie","Association_house_Groeditz","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","fallstudie/Association_house_Groeditz","_graph\fallstudie\Association_house_Groeditz\index.md"
"projekt","Association_house_Groeditz","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","projekt/Association_house_Groeditz","_graph\projekt\Association_house_Groeditz\index.md"
"bauobjekt","Association_house_Groeditz","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","bauobjekt/Association_house_Groeditz","_graph\bauobjekt\Association_house_Groeditz\index.md"
"reuse_einsatz","Association_house_Groeditz__001__Au_enwand_Fertigteile","Außenwand-Fertigteile - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","_graph\reuse_einsatz\Association_house_Groeditz__001__Au_enwand_Fertigteile\index.md"
"reuse_einsatz","Association_house_Groeditz__002__Innenwand_Fertigteile","Innenwand-Fertigteile - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","_graph\reuse_einsatz\Association_house_Groeditz__002__Innenwand_Fertigteile\index.md"
"reuse_einsatz","Association_house_Groeditz__003__Innenwandrahmen","Innenwandrahmen - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","_graph\reuse_einsatz\Association_house_Groeditz__003__Innenwandrahmen\index.md"
"reuse_einsatz","Association_house_Groeditz__004__Deckenelemente","Deckenelemente - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","_graph\reuse_einsatz\Association_house_Groeditz__004__Deckenelemente\index.md"
"reuse_einsatz","Association_house_Groeditz__005__Sockel_Plinthenplatten","Sockel-/Plinthenplatten - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__005__Sockel_Plinthenplatten","_graph\reuse_einsatz\Association_house_Groeditz__005__Sockel_Plinthenplatten\index.md"
"reuse_einsatz","Association_house_Groeditz__006__Treppen","Treppen - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__006__Treppen","_graph\reuse_einsatz\Association_house_Groeditz__006__Treppen\index.md"
"reuse_einsatz","Association_house_Groeditz__007__WBS70_Paneele","WBS70-Paneele - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","_graph\reuse_einsatz\Association_house_Groeditz__007__WBS70_Paneele\index.md"
"reuse_einsatz","Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","Fenster/Türen/Dach/Geländer/Bodenaufbauten/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D","_graph\reuse_einsatz\Association_house_Groeditz__008__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_TGA_D\index.md"
"datenpunkt","Association_house_Groeditz__001__Fertigteile_aus_Dresden_Typ_Schule","Fertigteile aus Dresden-Typ-Schule - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Groeditz__001__Fertigteile_aus_Dresden_Typ_Schule","_graph\datenpunkt\Association_house_Groeditz__001__Fertigteile_aus_Dresden_Typ_Schule\index.md"
"datenpunkt","Association_house_Groeditz__002__WBS70_Paneele_aus_weiterem_Geb_ude","WBS70-Paneele aus weiterem Gebäude - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Groeditz__002__WBS70_Paneele_aus_weiterem_Geb_ude","_graph\datenpunkt\Association_house_Groeditz__002__WBS70_Paneele_aus_weiterem_Geb_ude\index.md"
"datenpunkt","Association_house_Groeditz__003__dokumentierte_Fertigteile_gesamt","dokumentierte Fertigteile gesamt - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Groeditz__003__dokumentierte_Fertigteile_gesamt","_graph\datenpunkt\Association_house_Groeditz__003__dokumentierte_Fertigteile_gesamt\index.md"
"datenpunkt","Association_house_Groeditz__004__Transportdistanz","Transportdistanz - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Groeditz__004__Transportdistanz","_graph\datenpunkt\Association_house_Groeditz__004__Transportdistanz\index.md"
"datenpunkt","Association_house_Groeditz__005__Jahr_Fallstudienstart","Jahr/Fallstudienstart - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Groeditz__005__Jahr_Fallstudienstart","_graph\datenpunkt\Association_house_Groeditz__005__Jahr_Fallstudienstart\index.md"
"akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","_graph\akteur_beteiligung\Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter\index.md"
"fallstudie","Association_house_Plauen","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","fallstudie/Association_house_Plauen","_graph\fallstudie\Association_house_Plauen\index.md"
"projekt","Association_house_Plauen","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","projekt/Association_house_Plauen","_graph\projekt\Association_house_Plauen\index.md"
"bauobjekt","Association_house_Plauen","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","bauobjekt/Association_house_Plauen","_graph\bauobjekt\Association_house_Plauen\index.md"
"reuse_einsatz","Association_house_Plauen__001__Decken_Bodenplatten","Decken-/Bodenplatten - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","_graph\reuse_einsatz\Association_house_Plauen__001__Decken_Bodenplatten\index.md"
"reuse_einsatz","Association_house_Plauen__002__Au_enwandelemente","Außenwandelemente - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","_graph\reuse_einsatz\Association_house_Plauen__002__Au_enwandelemente\index.md"
"reuse_einsatz","Association_house_Plauen__003__Innenwandelemente","Innenwandelemente - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","_graph\reuse_einsatz\Association_house_Plauen__003__Innenwandelemente\index.md"
"reuse_einsatz","Association_house_Plauen__004__Kellerwandelemente","Kellerwandelemente - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","_graph\reuse_einsatz\Association_house_Plauen__004__Kellerwandelemente\index.md"
"reuse_einsatz","Association_house_Plauen__005__Tr_ger","Träger - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__005__Tr_ger","_graph\reuse_einsatz\Association_house_Plauen__005__Tr_ger\index.md"
"reuse_einsatz","Association_house_Plauen__006__St_tzen","Stützen - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__006__St_tzen","_graph\reuse_einsatz\Association_house_Plauen__006__St_tzen\index.md"
"reuse_einsatz","Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","Fenster/Türen/Dach/Treppen/Geländer/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","reuse_einsatz/Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung","_graph\reuse_einsatz\Association_house_Plauen__007__Fenster_T_ren_Dach_Treppen_Gel_nder_TGA_D_mmung\index.md"
"datenpunkt","Association_house_Plauen__001__wiederverwendete_Fertigteile_gesamt","wiederverwendete Fertigteile gesamt - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__001__wiederverwendete_Fertigteile_gesamt","_graph\datenpunkt\Association_house_Plauen__001__wiederverwendete_Fertigteile_gesamt\index.md"
"datenpunkt","Association_house_Plauen__002__Decken_Bodenplatten","Decken-/Bodenplatten - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__002__Decken_Bodenplatten","_graph\datenpunkt\Association_house_Plauen__002__Decken_Bodenplatten\index.md"
"datenpunkt","Association_house_Plauen__003__Au_enw_nde","Außenwände - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__003__Au_enw_nde","_graph\datenpunkt\Association_house_Plauen__003__Au_enw_nde\index.md"
"datenpunkt","Association_house_Plauen__004__Innenw_nde","Innenwände - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__004__Innenw_nde","_graph\datenpunkt\Association_house_Plauen__004__Innenw_nde\index.md"
"datenpunkt","Association_house_Plauen__005__Kellerw_nde","Kellerwände - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__005__Kellerw_nde","_graph\datenpunkt\Association_house_Plauen__005__Kellerw_nde\index.md"
"datenpunkt","Association_house_Plauen__006__Transportdistanz","Transportdistanz - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__006__Transportdistanz","_graph\datenpunkt\Association_house_Plauen__006__Transportdistanz\index.md"
"datenpunkt","Association_house_Plauen__007__Jahr_Fallstudienstart","Jahr/Fallstudienstart - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","datenpunkt/Association_house_Plauen__007__Jahr_Fallstudienstart","_graph\datenpunkt\Association_house_Plauen__007__Jahr_Fallstudienstart\index.md"
"akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al. - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","_graph\akteur_beteiligung\Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al\index.md"
"fallstudie","AWM_Muenster_Circular_Office","AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","fallstudie/AWM_Muenster_Circular_Office","_graph\fallstudie\AWM_Muenster_Circular_Office\index.md"
"projekt","AWM_Muenster_Circular_Office","AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","projekt/AWM_Muenster_Circular_Office","_graph\projekt\AWM_Muenster_Circular_Office\index.md"
"bauobjekt","AWM_Muenster_Circular_Office","AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","bauobjekt/AWM_Muenster_Circular_Office","_graph\bauobjekt\AWM_Muenster_Circular_Office\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","Glastrennwände und Türen - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__002__WC_Trennw_nde","WC-Trennwände - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__002__WC_Trennw_nde","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__002__WC_Trennw_nde\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","Kabeltrassen als Regale - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__003__Kabeltrassen_als_Regale\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","Kabeltrassen und LED-Leuchten - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__004__Kabeltrassen_und_LED_Leuchten\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","Wandverkleidung aus Stuhllehnen/-sitzen - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","Sideboard / Holzeinbauten - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__006__Sideboard_Holzeinbauten\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__007__Hanfkalksteine","Hanfkalksteine - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__007__Hanfkalksteine","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__007__Hanfkalksteine\index.md"
"reuse_einsatz","AWM_Muenster_Circular_Office__008__Lehmbauw_nde","Lehmbauwände - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","reuse_einsatz/AWM_Muenster_Circular_Office__008__Lehmbauw_nde","_graph\reuse_einsatz\AWM_Muenster_Circular_Office__008__Lehmbauw_nde\index.md"
