label,property,nodes,coverage_pct,types,verdict,reason,sample
DataIssue,review_status,28729,79.52,str:22846,meta_separate,audit/meta label; handled in the meta-node decision,retired_topology_artifact || needs_source_url_review
DataIssue,severity,28729,100.0,str:28729,meta_separate,audit/meta label; handled in the meta-node decision,low || medium || high
DataIssue,source_scope,28729,79.52,str:22846,meta_separate,audit/meta label; handled in the meta-node decision,source_trace_review
DataIssue,start_id,28729,72.27,str:20762,meta_separate,audit/meta label; handled in the meta-node decision,q_batch_1_md || p_55_great_suffolk_street_london || bw_55_great_suffolk_street_w
DataIssue,status,28729,96.83,str:27818,meta_separate,audit/meta label; handled in the meta-node decision,open || review_required
DataIssue,subject_id,28729,3.17,str:911,meta_separate,audit/meta label; handled in the meta-node decision,mm_kauf_neu || mm_kauf_gebraucht || mm_spende || mm_leasing
DataIssue,subject_label,28729,3.17,str:911,meta_separate,audit/meta label; handled in the meta-node decision,Marktmodell || Schadstoff || BauwerkEra || Bauproduktstatus
DataIssue,url,28729,2.17,str:622,meta_separate,audit/meta label; handled in the meta-node decision,https://51n4e.com/projects/recypar || https://alb || https://arc || https://asbp
Quelle,access_date,5330,0.28,str:15,drop,source/url probe/cache/provenance bookkeeping (re-derivable),2026-05-19
Quelle,aliases,5330,0.28,list[str]:15,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""qu_batch1_schaerenmoosstrasse_dossier""] || [""qu_batch1_umar_dossier""] || [""qu_"
Quelle,demoted_legal_condition_ids,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""rb_bauordnungsrecht"",""rb_bauproduktenverordnung_cpr"",""rb_boulder_deconstructio"
Quelle,demoted_legal_condition_records,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""{\""id\"":\""rb_bauordnungsrecht\"",\""name\"":\""rb_bauordnungsrecht\"",\""source_scop"
Quelle,evidence_basis,5330,67.0,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),markdown_link_extraction || bare_url_extraction || pre_existing_quelle_url || ed
Quelle,evidence_confidence,5330,67.0,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),belegt
Quelle,evidence_origin,5330,67.0,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),source_curated
Quelle,evidence_source_id,5330,67.0,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),q_research_reuse_knowledge_graph_coverage_audit_md || q_research_aufbereitungsve
Quelle,id,5330,100.0,str:5330,keep_core,source identity / retrieval locator,q_url_4355c6af7f5e034ee6866841bf19ea11 || q_url_d7a72171312d05683570e279b9b59fe0
Quelle,invalid_candidate_source_urls,5330,1.48,list[str]:79,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""""] || [""https://t""] || [""https://olympiap""] || [""https://projecta"",""https://pr"
Quelle,invalid_source_url,5330,0.6,str:32,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://t || https://olympiap || https://projecta || https://pr
Quelle,legal_condition_demoted_by,5330,0.02,str:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_repair_2_5_rechtliche_bedingung_demote
Quelle,legal_condition_evidence_basis,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""research_file_row""]"
Quelle,legal_condition_evidence_confidence,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""inferiert""]"
Quelle,legal_condition_evidence_origin,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""inferred""]"
Quelle,legal_condition_evidence_source_ids,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""q_bauteilreuse_legal_regime_matrix_md""]"
Quelle,legal_condition_ids,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""rb_bauordnungsrecht"",""rb_bauproduktenverordnung_cpr"",""rb_boulder_deconstructio"
Quelle,legal_condition_source_edge_ids,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""r_rb_bauordnungsrecht__BELEGT_IN__q_bauteilreuse_legal_regime_matrix_md"",""r_rb"
Quelle,legal_conditions,5330,0.02,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""rb_bauordnungsrecht"",""rb_bauproduktenverordnung_cpr"",""rb_boulder_deconstructio"
Quelle,name,5330,33.0,str:1759,drop,redundant with title,NMBU thesis: Muligheter med ombruk av prefabrikkerte betongelementer.** || Entra
Quelle,primary_source_url,5330,27.69,str:1476,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873 || https://kommunikas
Quelle,quelltyp,5330,100.0,str:5330,keep_semantic,source identity / retrieval locator,external_link || research_markdown || external_reference || case_markdown
Quelle,review_status,5330,4.39,str:234,drop,source/url probe/cache/provenance bookkeeping (re-derivable),needs_source_url_review
Quelle,source_count,5330,27.69,int:1476,drop,source/url probe/cache/provenance bookkeeping (re-derivable),1 || 4 || 5 || 6
Quelle,source_file,5330,11.73,str:625,drop,source/url probe/cache/provenance bookkeeping (re-derivable),_neo4j\intake\inbox\research\aufbereitungsverfahren_reused_building_elements.md 
Quelle,source_resolution_status,5330,35.91,str:1914,drop,source/url probe/cache/provenance bookkeeping (re-derivable),single_url_from_legacy_zitiert_quelle || needs_source_url_review || incident_rel
Quelle,source_scope,5330,21.16,str:1128,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_2_7_external_sources || source_trace_review || external_reference || inbox_r
Quelle,source_url,5330,29.47,str:1571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873 || https://kommunikas
Quelle,source_url_node_ids,5330,34.47,list[str]:1837,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""q_url_c8790eca26733521""] || [""q_url_5de14127acc58b64""] || [""q_url_5610dfaf580f"
Quelle,source_urls,5330,27.69,list[str]:1476,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873""] || [""https://komm"
Quelle,strict_candidate_url_array_cleanup,5330,0.75,str:40,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_candidate_url_array_cleanup_2026_05_23
Quelle,strict_invalid_url_cleanup,5330,1.88,str:100,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_invalid_url_cleanup_2026_05_23
Quelle,strict_node_url_array_cleanup,5330,0.73,str:39,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_node_url_array_cleanup_2026_05_23
Quelle,strict_source_url_cleanup,5330,4.95,str:264,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_source_url_binding_cleanup_2026_05_23
Quelle,text_content_chars_pre_strip,5330,1.82,int:97,drop,source/url probe/cache/provenance bookkeeping (re-derivable),103604 || 19777 || 10491 || 44381
Quelle,text_content_retry_result,5330,0.09,str:5,drop,source/url probe/cache/provenance bookkeeping (re-derivable),resolved
Quelle,title,5330,70.77,str:3772,keep_semantic,source identity / retrieval locator,ReCreate || STRUCTUREmag || ICLEI circular procurement case collection || UIA jo
Quelle,url,5330,94.26,str:5024,keep_semantic,source identity / retrieval locator,https://maryon.ch/v2/wp-content/uploads/2023.Juni_ARCH_EN.pdf || https://www.ark
Quelle,url_content_length_bytes,5330,37.35,int:1991,drop,source/url probe/cache/provenance bookkeeping (re-derivable),139176 || 13482991 || 3063 || 85395
Quelle,url_content_type,5330,42.95,str:2289,drop,source/url probe/cache/provenance bookkeeping (re-derivable),text/html || application/pdf || text/plain
Quelle,url_final_url,5330,49.36,str:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873 || https://kommunikas
Quelle,url_http_code,5330,43.15,int:2300,drop,source/url probe/cache/provenance bookkeeping (re-derivable),200 || 403 || 404 || 525
Quelle,url_origin,5330,94.13,str:5017,drop,source/url probe/cache/provenance bookkeeping (re-derivable),research_md_link || pre_existing_quelle || dossier_md_link || dossier_bare_url
Quelle,url_redirect_chain,5330,49.36,list[]:1827; list[str]:804,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[] || [""https://munin.uit.no/bitstream/handle/10037/23335/thesis.pdf"",""https://h"
Quelle,url_server_header,5330,37.71,str:2010,drop,source/url probe/cache/provenance bookkeeping (re-derivable),CloudFront || nginx || AmazonS3 || cloudflare
Quelle,url_status,5330,49.36,str:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),dns_failure || reachable_2xx || dead_4xx || blocked_by_robots
Quelle,url_user_agent,5330,49.36,str:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mit-bestand-source-prober/1.0 (research-graph; contact: kinan.sarak@gmail.com)
Quelle,url_wayback_attempted,5330,49.36,bool:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),true || false
Quelle,url_wayback_snapshot,5330,4.11,str:219,drop,source/url probe/cache/provenance bookkeeping (re-derivable),http://web.archive.org/web/20250908224821/https://nmbu.brage.unit.no/nmbu-xmlui/
Quelle,url_wayback_timestamp,5330,4.11,str:219,drop,source/url probe/cache/provenance bookkeeping (re-derivable),20250908224821 || 20260216000506 || 20240704094810 || 20240224223007
ExternalLink,evidence_basis,5017,71.18,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),markdown_link_extraction || bare_url_extraction || pre_existing_quelle_url || ed
ExternalLink,evidence_confidence,5017,71.18,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),belegt
ExternalLink,evidence_origin,5017,71.18,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),source_curated
ExternalLink,evidence_source_id,5017,71.18,str:3571,drop,source/url probe/cache/provenance bookkeeping (re-derivable),q_research_reuse_knowledge_graph_coverage_audit_md || q_research_aufbereitungsve
ExternalLink,id,5017,100.0,str:5017,keep_core,source identity / retrieval locator,q_url_4355c6af7f5e034ee6866841bf19ea11 || q_url_d7a72171312d05683570e279b9b59fe0
ExternalLink,invalid_candidate_source_urls,5017,0.64,list[str]:32,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""https://t""] || [""https://olympiap""] || [""https://projecta""] || [""https://pr""]"
ExternalLink,invalid_source_url,5017,0.64,str:32,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://t || https://olympiap || https://projecta || https://pr
ExternalLink,name,5017,28.82,str:1446,drop,redundant with title,NMBU thesis: Muligheter med ombruk av prefabrikkerte betongelementer.** || Entra
ExternalLink,primary_source_url,5017,28.02,str:1406,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873 || https://kommunikas
ExternalLink,quelltyp,5017,100.0,str:5017,keep_semantic,source identity / retrieval locator,external_link || external_reference || external_link_from_actor_registry
ExternalLink,source_count,5017,28.02,int:1406,drop,source/url probe/cache/provenance bookkeeping (re-derivable),1
ExternalLink,source_file,5017,6.36,str:319,drop,source/url probe/cache/provenance bookkeeping (re-derivable),akteursliste_master.md
ExternalLink,source_resolution_status,5017,31.91,str:1601,drop,source/url probe/cache/provenance bookkeeping (re-derivable),single_url_from_legacy_zitiert_quelle || trusted_incident_relationship_source_ur
ExternalLink,source_scope,5017,16.42,str:824,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_2_7_external_sources || research_file_url || external_reference || actor_reg
ExternalLink,source_url,5017,31.27,str:1569,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873 || https://kommunikas
ExternalLink,source_url_node_ids,5017,31.91,list[str]:1601,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""q_url_c8790eca26733521""] || [""q_url_5de14127acc58b64""] || [""q_url_5610dfaf580f"
ExternalLink,source_urls,5017,28.02,list[str]:1406,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873""] || [""https://komm"
ExternalLink,strict_invalid_url_cleanup,5017,0.6,str:30,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_invalid_url_cleanup_2026_05_23
ExternalLink,strict_node_url_array_cleanup,5017,0.64,str:32,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_node_url_array_cleanup_2026_05_23
ExternalLink,strict_source_url_cleanup,5017,0.6,str:30,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_source_url_binding_cleanup_2026_05_23
ExternalLink,title,5017,75.02,str:3764,keep_semantic,source identity / retrieval locator,ReCreate || STRUCTUREmag || ICLEI circular procurement case collection || UIA jo
ExternalLink,url,5017,100.0,str:5017,keep_semantic,source identity / retrieval locator,https://maryon.ch/v2/wp-content/uploads/2023.Juni_ARCH_EN.pdf || https://www.ark
ExternalLink,url_content_length_bytes,5017,39.69,int:1991,drop,source/url probe/cache/provenance bookkeeping (re-derivable),139176 || 13482991 || 3063 || 85395
ExternalLink,url_content_type,5017,45.62,str:2289,drop,source/url probe/cache/provenance bookkeeping (re-derivable),text/html || application/pdf || text/plain
ExternalLink,url_final_url,5017,52.44,str:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/3079873 || https://kommunikas
ExternalLink,url_http_code,5017,45.84,int:2300,drop,source/url probe/cache/provenance bookkeeping (re-derivable),200 || 403 || 404 || 525
ExternalLink,url_origin,5017,100.0,str:5017,drop,source/url probe/cache/provenance bookkeeping (re-derivable),research_md_link || pre_existing_quelle || dossier_md_link || dossier_bare_url
ExternalLink,url_redirect_chain,5017,52.44,list[]:1827; list[str]:804,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[] || [""https://munin.uit.no/bitstream/handle/10037/23335/thesis.pdf"",""https://h"
ExternalLink,url_server_header,5017,40.06,str:2010,drop,source/url probe/cache/provenance bookkeeping (re-derivable),CloudFront || nginx || AmazonS3 || cloudflare
ExternalLink,url_status,5017,52.44,str:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),dns_failure || reachable_2xx || dead_4xx || blocked_by_robots
ExternalLink,url_user_agent,5017,52.44,str:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mit-bestand-source-prober/1.0 (research-graph; contact: kinan.sarak@gmail.com)
ExternalLink,url_wayback_attempted,5017,52.44,bool:2631,drop,source/url probe/cache/provenance bookkeeping (re-derivable),true || false
ExternalLink,url_wayback_snapshot,5017,4.37,str:219,drop,source/url probe/cache/provenance bookkeeping (re-derivable),http://web.archive.org/web/20250908224821/https://nmbu.brage.unit.no/nmbu-xmlui/
ExternalLink,url_wayback_timestamp,5017,4.37,str:219,drop,source/url probe/cache/provenance bookkeeping (re-derivable),20250908224821 || 20260216000506 || 20240704094810 || 20240224223007
DossierEntityTarget,created_at_utc,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,2026-05-22T15:56:47.248320+00:00 || 2026-05-22T15:56:47.511976+00:00 || 2026-05-
DossierEntityTarget,entity_type,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,bauteil || prozessphase || thema || kennwert
DossierEntityTarget,entity_value,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,Bestandslagerhaus || Fassadenbekleidung externer Kern || Schadstoffprüfung || Rü
DossierEntityTarget,entity_value_norm,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,bestandslagerhaus || fassadenbekleidung externer kern || schadstoffprufung || ru
DossierEntityTarget,exact_match_candidate_ids,2591,100.0,list[]:2282; list[str]:309,meta_separate,audit/meta label; handled in the meta-node decision,"[] || [""la_brandschutz""] || [""bg_reuse_mehrere_decke_plattenvereinigung_deckenel"
DossierEntityTarget,exact_match_label,2591,11.81,str:306,meta_separate,audit/meta label; handled in the meta-node decision,Leistungsanforderung || Bauteilgruppe || Prozessphase || Projekt
DossierEntityTarget,exact_match_node_id,2591,11.81,str:306,meta_separate,audit/meta label; handled in the meta-node decision,la_brandschutz || bg_reuse_mehrere_decke_plattenvereinigung_deckenelemente || ph
DossierEntityTarget,id,2591,100.0,str:2591,keep_core,"identity (meta label, separate decision)",det_83190834155e588a7987dec0 || det_cc2a84349ab1701eb19f00a6 || det_73a7e06ebff7
DossierEntityTarget,name,2591,100.0,str:2591,keep_core,"identity (meta label, separate decision)",Bestandslagerhaus || Fassadenbekleidung externer Kern || Schadstoffprüfung || Rü
DossierEntityTarget,review_status,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,unresolved_no_exact_match || exact_unique_candidate || exact_ambiguous_candidate
DossierEntityTarget,source_scope,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,dossier_entity_target
DossierEntityTarget,unfolding_kind,2591,100.0,str:2591,meta_separate,audit/meta label; handled in the meta-node decision,dossier_row
Akteur,actor_registry_order,669,0.15,int:1,drop,bookkeeping/provenance already on edges or re-derivable,66
Akteur,aliases,669,2.39,list[str]:16,drop,sparse residue (<5% coverage); verify no unique value,"[""IMd raadgevende ingenieurs""] || [""bauburo_in_situ"",""baubüro in situ""] || [""Cle"
Akteur,id,669,100.0,str:669,keep_core,identity handle (constraint-backed),cbre || werner_sobek_p || gardiner_and_theobald || cantillon
Akteur,invalid_candidate_source_urls,669,32.29,list[str]:216,drop,bookkeeping/provenance already on edges or re-derivable,"["""",""https://t""] || [""https://projecta"",""https://pr""] || [""""] || [""https://ww""]"
Akteur,land,669,12.11,str:81,migrate_edge_then_drop,edge gaps exist; create missing edges first,NL || AT || FR || CH
Akteur,name,669,100.0,str:669,keep_core,human caption,CBRE || Werner Sobek || Gardiner & Theobald || Cantillon
Akteur,name_full,669,12.11,str:81,drop,redundant with name (protect budget),ABN AMRO Bank N.V. — Circl pavilion client / initiator || BAM Bouw + Techniek (R
Akteur,primary_source_url,669,20.03,str:134,drop,bookkeeping/provenance already on edges or re-derivable,https://labs.aap.cornell.edu/ccl/umar-unit || https://www.hft-stuttgart.com/rese
Akteur,repair_phase,669,0.3,str:2,drop,bookkeeping/provenance already on edges or re-derivable,1.5_1.6_residuals
Akteur,reuse_relevanz_text,669,0.15,str:1,drop,sparse residue (<5% coverage); verify no unique value,UMAR/Systemengineering: zirkuläre Gebäudesysteme und reversibles Bauen; eher Fut
Akteur,review_run,669,4.63,str:31,drop,bookkeeping/provenance already on edges or re-derivable,2026-05-28_bauteilboersen_integration
Akteur,review_status,669,79.97,str:535,drop,bookkeeping/provenance already on edges or re-derivable,needs_source_url_review || reviewed_legacy_profile_needs_url_fact_check
Akteur,source_count,669,20.03,int:134,drop,bookkeeping/provenance already on edges or re-derivable,1 || 3 || 4 || 5
Akteur,source_file,669,0.15,str:1,drop,sparse residue (<5% coverage); verify no unique value,akteursliste_master.md
Akteur,source_freshness_summary,669,95.37,str:638,drop,bookkeeping/provenance already on edges or re-derivable,"{""n_reachable"": 5, ""n_reachable_via_3xx"": 0, ""n_dead"": 1, ""n_unchecked"": 0, ""n_w"
Akteur,source_quality_summary,669,95.37,str:638,drop,bookkeeping/provenance already on edges or re-derivable,"{""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"""
Akteur,source_resolution_status,669,95.37,str:638,drop,bookkeeping/provenance already on edges or re-derivable,needs_source_url_review || trusted_incident_relationship_source_urls
Akteur,source_scope,669,100.0,list[str]:5; str:664,drop,bookkeeping/provenance already on edges or re-derivable,"actor_registry || bauteilboerse_legacy_review || [""actor_registry"",""actor_regist"
Akteur,source_trust_score,669,75.78,float:507,drop,bookkeeping/provenance already on edges or re-derivable,0.0 || 0.0054 || 0.0125 || 0.0185
Akteur,source_url,669,4.33,str:29,drop,bookkeeping/provenance already on edges or re-derivable,https://labs.aap.cornell.edu/ccl/umar-unit || https://www.zhaw.ch/en/archbau/ins
Akteur,source_url_node_ids,669,18.24,list[str]:122,drop,bookkeeping/provenance already on edges or re-derivable,"[""q_url_5368eaa41895c58f""] || [""q_url_576c46740500c21b"",""q_url_37e5c064bf50e5fd"""
Akteur,source_urls,669,20.03,list[str]:134,drop,bookkeeping/provenance already on edges or re-derivable,"[""https://labs.aap.cornell.edu/ccl/umar-unit""] || [""https://www.hft-stuttgart.co"
Akteur,strict_candidate_url_array_cleanup,669,32.29,str:216,drop,bookkeeping/provenance already on edges or re-derivable,mig_strict_candidate_url_array_cleanup_2026_05_23
Akteur,strict_invalid_url_cleanup,669,20.03,str:134,drop,bookkeeping/provenance already on edges or re-derivable,mig_strict_invalid_url_cleanup_2026_05_23
Akteur,strict_source_url_cleanup,669,82.66,str:553,drop,bookkeeping/provenance already on edges or re-derivable,mig_strict_source_url_binding_cleanup_2026_05_23
SectionRef,id,636,100.0,str:636,keep_core,source identity / retrieval locator,q_55_great_suffolk_street_london_s1 || q_55_great_suffolk_street_london_s2 || q_
SectionRef,invalid_candidate_source_urls,636,1.1,list[str]:7,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""""]"
SectionRef,name,636,100.0,str:636,keep_core,source identity / retrieval locator,ASBP — 55 Great Suffolk Street case study || New London Architecture — 55 Great 
SectionRef,primary_source_url,636,98.9,str:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://asbp.org.uk/case-studies/55-great-suffolk-street || https://www.nla.lond
SectionRef,quelltyp,636,100.0,str:636,drop,source/url probe/cache/provenance bookkeeping (re-derivable),external_reference || external_link
SectionRef,source_count,636,98.9,int:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),1
SectionRef,source_resolution_status,636,100.0,str:636,drop,source/url probe/cache/provenance bookkeeping (re-derivable),single_url_from_legacy_zitiert_quelle || incident_relationship_source_urls
SectionRef,source_scope,636,8.18,str:52,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_2_7_external_sources || external_reference
SectionRef,source_url,636,98.9,str:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://asbp.org.uk/case-studies/55-great-suffolk-street || https://www.nla.lond
SectionRef,source_url_node_ids,636,98.9,list[str]:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""q_url_f7a01727bf385ae0""] || [""q_url_83b88f93aa003a94""] || [""q_url_cd1210149cc4"
SectionRef,source_urls,636,98.9,list[str]:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""https://asbp.org.uk/case-studies/55-great-suffolk-street""] || [""https://www.nl"
SectionRef,strict_node_url_array_cleanup,636,1.1,str:7,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_strict_node_url_array_cleanup_2026_05_23
SectionRef,url,636,100.0,str:636,keep_semantic,source identity / retrieval locator,https://asbp.org.uk/case-studies/55-great-suffolk-street || https://www.nla.lond
SectionRef,url_content_length_bytes,636,78.77,int:501,drop,source/url probe/cache/provenance bookkeeping (re-derivable),251337 || 87444 || 108594 || 11754
SectionRef,url_content_type,636,91.67,str:583,drop,source/url probe/cache/provenance bookkeeping (re-derivable),text/html || application/pdf || text/plain
SectionRef,url_final_url,636,98.9,str:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),https://asbp.org.uk/case-studies/55-great-suffolk-street || https://www.nla.lond
SectionRef,url_http_code,636,92.14,int:586,drop,source/url probe/cache/provenance bookkeeping (re-derivable),200 || 403 || 525 || 404
SectionRef,url_origin,636,98.9,str:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),pre_existing_quelle
SectionRef,url_redirect_chain,636,98.9,list[]:416; list[str]:213,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[] || [""https://www.hawkinsbrown.com/projects/55-great-suffolk-street""] || [""htt"
SectionRef,url_server_header,636,80.5,str:512,drop,source/url probe/cache/provenance bookkeeping (re-derivable),Apache || LiteSpeed || Microsoft-IIS/10.0 || cloudflare
SectionRef,url_status,636,98.9,str:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),reachable_2xx || blocked_by_robots || dead_4xx || dead_5xx
SectionRef,url_user_agent,636,98.9,str:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mit-bestand-source-prober/1.0 (research-graph; contact: kinan.sarak@gmail.com)
SectionRef,url_wayback_attempted,636,98.9,bool:629,drop,source/url probe/cache/provenance bookkeeping (re-derivable),false || true
SectionRef,url_wayback_snapshot,636,7.7,str:49,drop,source/url probe/cache/provenance bookkeeping (re-derivable),http://web.archive.org/web/20250708053000/https://www.ribaj.com/intelligence/reu
SectionRef,url_wayback_timestamp,636,7.7,str:49,drop,source/url probe/cache/provenance bookkeeping (re-derivable),20250708053000 || 20240425010839 || 20240416204055 || 20230609154546
ResearchDocument,demoted_legal_condition_ids,402,0.25,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""rb_bauordnungsrecht"",""rb_bauproduktenverordnung_cpr"",""rb_boulder_deconstructio"
ResearchDocument,demoted_legal_condition_records,402,0.25,list[str]:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),"[""{\""id\"":\""rb_bauordnungsrecht\"",\""name\"":\""rb_bauordnungsrecht\"",\""source_scop"
ResearchDocument,id,402,100.0,str:402,keep_core,source identity / retrieval locator,q_research_aufbereitungsverfahren_reused_building_elements_md || q_research_baut
ResearchDocument,legal_condition_demoted_by,402,0.25,str:1,drop,source/url probe/cache/provenance bookkeeping (re-derivable),mig_repair_2_5_rechtliche_bedingung_demote
